Constellation,Name,Bayer,Flamsteed,Variable Star,Henry Draper Number,Hipparcos Number,Right Ascension,Declination,Visual Magnitude,Absolute Magnitude,Distance,Spectral class,Notes
Andromeda,64 Andromedae,,64,,14770,11220,02h 24m 24.89s,+50° 00′ 23.9′′,5.19,−0.11,375,G8III,
Andromeda,28 Andromedae,,28,GN,2628,2355,00h 30m 07.34s,+29° 45′ 06.1′′,5.20,1.43,185,A7III,"low-amplitude δ Sct variable , Δ*V* = 0.05m, *P* = 0.0693041 d"
Andromeda,14 Andromedae,,14,,221345,116076,23h 31m 17.20s,+39° 14′ 11.0′′,5.22,0.80,249,K0III,"Veritate,8] suspected variable; has a planet ([b )"
Andromeda,49 Andromedae,A[14],49,,9057,6999,01h 30m 06.10s,+47° 00′ 26.6′′,5.27,0.53,290,K0III,
Andromeda,32 Andromedae,,32,,3817,3231,00h 41m 07.20s,+39° 27′ 31.2′′,5.30,0.18,344,G8III,
Andromeda,4 Andromedae,,4,,218452,114200,23h 07m 39.28s,+46° 23′ 14.3′′,5.30,0.20,342,K5III,double star
Andromeda,6 Persei,,(6)[16],,13530,10366,02h 13m 36.02s,+51° 03′ 58.4′′,5.31,1.38,199,G8III:var,spectroscopic binary; suspected variable
Andromeda,62 Andromedae,c,62,,14212,10819,02h 19m 16.85s,+47° 22′ 48.0′′,5.31,0.84,255,A1V,
Andromeda,18 Andromedae,,18,,222304,116709,23h 39m 08.35s,+50° 28′ 18.3′′,5.35,−0.04,390,B9V,
Andromeda,55 Andromedae,,55,,11428,8814,01h 53m 17.35s,+40° 43′ 47.3′′,5.42,−0.67,540,K1III,double star
Andromeda,11 Andromedae,,11,,219945,115152,23h 19m 29.79s,+48° 37′ 30.7′′,5.44,0.43,328,K0III,
Andromeda,,,,,3421,2942,00h 37m 21.23s,+35° 23′ 58.2′′,5.45,−2.03,1022,G5III,
Andromeda,36 Andromedae,,36,,5286,4288,00h 54m 58.02s,+23° 37′ 42.4′′,5.46,2.51,127,K1IV,suspected variable
Andromeda,15 Andromedae,,15,V340,221756,116354,23h 34m 37.55s,+40° 14′ 11.6′′,5.55,1.28,233,A1III,"low-amplitude δ Sct variable, Δ*V* = 0.007m"
Andromeda,63 Andromedae,,63,PZ,14392,10944,02h 20m 58.17s,+50° 09′ 05.5′′,5.57,0.38,356,B9p Si,"α2 CVn variable, Δ*V* = 0.05m, *P* = 4.189 d"
Andromeda,47 Andromedae,,47,,8374,6514,01h 23m 40.56s,+37° 42′ 54.0′′,5.60,1.54,211,A1m,
Andromeda,,,,,10204,7825,01h 40m 39.56s,+43° 17′ 51.9′′,5.63,1.05,268,A9IV:,
Andromeda,44 Andromedae,,44,,6920,5493,01h 10m 18.85s,+42° 04′ 53.7′′,5.67,2.06,172,F8V,
Andromeda,5 Andromedae,,5,,218470,114210,23h 07m 45.25s,+49° 17′ 43.6′′,5.68,3.02,111,F5V,
Andromeda,HD 5788,,,,5788,4675,01h 00m 03.55s,+44° 42′ 47.9′′,5.69,0.14,420,A2Vn,binary star with HD 5789
Andromeda,56 Andromedae,,56,,11749,9021,01h 56m 09.23s,+37° 15′ 06.5′′,5.69,0.73,320,G8III...,multiple star
Andromeda,23 Andromedae,,23,,905,1086,00h 13m 30.94s,+41° 02′ 08.6′′,5.71,2.99,114,F0IV,
Andromeda,HD 16028,,,,16028,12072,02h 35m 38.74s,+37° 18′ 44.2′′,5.72,−0.86,676,K4III,triple star
Andromeda,13 Andromedae,,13,V388,220885,115755,23h 27m 07.33s,+42° 54′ 43.1′′,5.75,0.97,294,B9III,"α2 CVn variable, *V* max = 5.73m, *V* min = 5.77m, *P* = 1.47931 d"
Andromeda,12 Andromedae,,12,,220117,115280,23h 20m 53.17s,+38° 10′ 56.9′′,5.77,2.63,138,F5V,triple star
Andromeda,,,,,1632,1657,00h 20m 45.54s,+32° 54′ 40.4′′,5.79,−0.69,646,K5III,
Andromeda,45 Andromedae,,45,,7019,5550,01h 11m 10.29s,+37° 43′ 26.9′′,5.80,−1.44,916,B7III-IV,double star
Andromeda,HD 14622,,,,14622,11090,02h 22m 50.36s,+41° 23′ 47.5′′,5.81,2.44,154,F0III-IV,has two optical companions
Andromeda,10 Andromedae,,10,,219981,115191,23h 19m 52.38s,+42° 04′ 40.9′′,5.81,−0.30,542,M0III,
Andromeda,HD 222109,,,,222109,116582,23h 37m 32.03s,+44° 25′ 44.5′′,5.81,−1.20,823,B8V,double star
Andromeda,HD 224635,,,,224635,118281,23h 59m 29.33s,+33° 43′ 26.9′′,5.81,3.50,95,F8,multiple star
Andromeda,OU Andromedae,,,OU,223460,117503,23h 49m 40.96s,+36° 25′ 31.4′′,5.86,0.21,440,G1IIIe,"FK Com variable , Δ*V* = 0.07m, *P* = 24.2 d"
Andromeda,,,,,1439,1493,00h 18m 38.22s,+31° 31′ 02.0′′,5.88,−0.23,543,A0IV,
Andromeda,HD 2767,,,,2767,2475,00h 31m 25.61s,+33° 34′ 54.1′′,5.88,0.10,467,K1III...,binary star
Andromeda,HD 1606,,,,1606,1630,00h 20m 24.39s,+30° 56′ 08.2′′,5.89,−0.37,582,B7V,suspected variable
Andromeda,,,,,11727,9001,01h 55m 54.47s,+37° 16′ 40.1′′,5.89,−1.52,991,K5III,optical component of 56 And
Andromeda,KK Andromedae,,,KK,9531,7321,01h 34m 16.60s,+37° 14′ 13.9′′,5.90,0.50,392,B8Vp(Si),"α2 CVn variable, Δ*V* = 0.012m, *P* = 0.6684 d"
Andromeda,,,,,16176,12181,02h 36m 57.08s,+38° 44′ 02.3′′,5.91,2.24,177,F5V,
Andromeda,6 Andromedae,,6,,218804,114430,23h 10m 27.36s,+43° 32′ 41.1′′,5.91,3.65,112,F5V,Astrometric binary
Andromeda,,,,,10975,8423,01h 48m 38.84s,+37° 57′ 10.6′′,5.94,1.06,308,K0III,
Andromeda,39 Andromedae,,39,,6116,4903,01h 02m 54.28s,+41° 20′ 42.7′′,5.95,0.84,344,A5m,double star
Andromeda,,,,,8671,6711,01h 26m 18.60s,+43° 27′ 28.4′′,5.98,2.90,135,F7V,
Andromeda,9 Andromedae,,9,AN,219815,115065,23h 18m 23.33s,+41° 46′ 25.3′′,5.98,0.17,472,A7m,"β Lyr variable, *V* max = 5.96m, *V* min = 6.11m, *P* = 3.21952 d"
Andromeda,HD 5608,,,,5608,4552,00h 58m 14.19s,+33° 57′ 03.8′′,5.99,2.17,190,K0,has a transiting planet (b )
Andromeda,,,,,224165,117956,23h 55m 33.48s,+47° 21′ 21.0′′,6.01,−2.46,1614,G8Ib,
Andromeda,,,,,224342,118071,23h 57m 03.63s,+42° 39′ 29.7′′,6.01,−2.22,1442,F8III,
Andromeda,,,,,4335,3604,00h 46m 10.80s,+44° 51′ 41.4′′,6.03,0.32,452,B9.5IIIMNp.,
Andromeda,,,,,13594,10403,02h 14m 02.53s,+47° 29′ 03.8′′,6.05,2.96,135,F5V,
Andromeda,HD 3883,,,,3883,3269,00h 41m 35.98s,+24° 37′ 44.6′′,6.06,0.30,462,A7m,suspected variable
Andromeda,HD 166,,,V439,166,544,00h 06m 36.53s,+29° 01′ 19.0′′,6.07,5.39,45,K0V,"BY Draconis variable , Δ*V* = 0.04m, *P* = 6.23 d"
Andromeda,,,,,5118,4185,00h 53m 28.22s,+37° 25′ 05.9′′,6.07,0.77,374,K3III:,
Andromeda,,,,,221293,116030,23h 30m 39.54s,+38° 39′ 44.0′′,6.07,−0.33,621,G9III,
Andromeda,HD 223229,,,,223229,117340,23h 47m 33.05s,+46° 49′ 57.3′′,6.08,−1.96,1320,B3IV,suspected variable
Andromeda,,,,,225239,394,00h 04m 53.21s,+34° 39′ 34.4′′,6.09,3.26,120,G2V,
Andromeda,59 Andromedae,,59,,13294,10176,02h 10m 52.83s,+39° 02′ 22.5′′,6.09,1.56,263,B9V,binary star
Andromeda,26 Andromedae,,26,,1438,1501,00h 18m 42.15s,+43° 47′ 28.1′′,6.10,−0.53,692,B8V,double star
Andromeda,,,,,5526,4501,00h 57m 39.64s,+45° 50′ 21.8′′,6.10,0.45,439,K2III,
Andromeda,HD 225218,,,,225218,365,00h 04m 36.60s,+42° 05′ 33.2′′,6.11,−2.45,1680,B9III,double star
Andromeda,,,,,7647,5993,01h 17m 05.05s,+44° 54′ 07.5′′,6.11,−0.18,590,K5,
Andromeda,HD 1185,,,,1185,1302,00h 16m 21.50s,+43° 35′ 42.4′′,6.12,1.28,303,A2V,double star
Andromeda,,,,,218416,114162,23h 07m 10.05s,+52° 48′ 59.6′′,6.12,0.55,423,K0III,
Andromeda,GO Andromedae,,,GO,4778,3919,00h 50m 18.21s,+45° 00′ 08.1′′,6.13,1.34,296,A0p...,"α2 CVn variable, Δ*V* = 0.04m, *P* = 2.5481 d"
Andromeda,,,,,7158,5650,01h 12m 34.06s,+45° 20′ 14.9′′,6.13,−0.52,698,M1III,
Andromeda,66 Andromedae,,66,,15138,11465,02h 27m 51.75s,+50° 34′ 12.7′′,6.16,2.54,173,F4V,spectroscopic binary
Andromeda,,,,,14372,10924,02h 20m 41.50s,+47° 18′ 39.0′′,6.17,−0.87,836,B5V,
Andromeda,,,,,743,967,00h 11m 59.03s,+48° 09′ 08.5′′,6.18,0.05,550,K4III,
Andromeda,,,,,3411,2926,00h 37m 07.20s,+24° 00′ 51.3′′,6.18,1.13,334,K2III,
Andromeda,HD 221776,,,,221776,116365,23h 34m 46.73s,+38° 01′ 26.3′′,6.18,−0.41,678,K5,double star
Andromeda,,,,,16327,12287,02h 38m 17.86s,+37° 43′ 36.6′′,6.19,1.60,270,F6III,triple star
Andromeda,HD 221246,,,,221246,115996,23h 30m 07.39s,+49° 07′ 59.3′′,6.19,−0.91,856,K5III,member of the NGC 7686 star cluster
Andromeda,OP Andromedae,,,OP,9746,7493,01h 36m 27.21s,+48° 43′ 22.2′′,6.20,0.65,420,K1III:,"BY Dra variable , Δ*V* = 0.09m"
Andromeda,,,,,400,699,00h 08m 41.02s,+36° 37′ 38.7′′,6.21,3.61,108,F8IV,
Andromeda,,,,,14213,10814,02h 19m 10.84s,+46° 28′ 20.2′′,6.21,0.50,452,A4V,
Andromeda,,,,,952,1123,00h 14m 02.29s,+33° 12′ 21.9′′,6.22,1.45,293,A1V,
Andromeda,HD 895,,,,895,1076,00h 13m 23.93s,+26° 59′ 15.4′′,6.24,0.78,403,G0III,triple star
Andromeda,,,,,222451,116824,23h 40m 40.47s,+36° 43′ 14.6′′,6.24,3.01,144,F1V,
Andromeda,,,,,224906,137,00h 01m 43.85s,+42° 22′ 01.7′′,6.25,−1.80,1331,B9IIIp Mn,
Andromeda,,,,,11613,8922,01h 54m 53.75s,+40° 42′ 07.9′′,6.25,1.13,345,K2,
Andromeda,HD 220105,,,,220105,115261,23h 20m 44.11s,+44° 06′ 58.5′′,6.25,1.73,261,A5Vn,double star
Andromeda,,,,,221661,116292,23h 33m 42.99s,+45° 03′ 29.1′′,6.25,0.12,548,G8II,
Andromeda,HD 2942,,,,2942,2583,00h 32m 49.09s,+28° 16′ 48.8′′,6.26,0.47,469,G8II,triple star
Andromeda,,,,,8774,6776,01h 27m 06.21s,+34° 22′ 39.3′′,6.27,3.12,139,F7IVsvar,
Andromeda,,,,,2507,2270,00h 28m 56.67s,+36° 53′ 58.9′′,6.28,0.51,464,G5III,
Andromeda,,,,,8375,6512,01h 23m 37.31s,+34° 14′ 44.2′′,6.28,2.43,192,G8IV,
Andromeda,,,,,11624,8930,01h 54m 57.63s,+37° 07′ 42.0′′,6.28,0.25,525,K0,
Andromeda,,,,,7758,6087,01h 18m 10.14s,+47° 25′ 11.0′′,6.29,−2.07,1531,K0,
Andromeda,,,,,16350,12305,02h 38m 27.94s,+38° 05′ 21.0′′,6.29,−0.47,734,B9.5V,
Andromeda,,,,,219962,115171,23h 19m 41.37s,+48° 22′ 51.1′′,6.29,0.47,475,K1III,
Andromeda,,,,,217314,113501,22h 59m 10.37s,+52° 39′ 16.0′′,6.31,−0.26,672,K2,
Andromeda,,,,,10597,8127,01h 44m 26.53s,+46° 08′ 23.2′′,6.32,0.23,540,K5III,
Andromeda,,,,,219290,114714,23h 14m 14.34s,+50° 37′ 04.5′′,6.32,0.82,411,A0V,
Andromeda,,,,,10486,8044,01h 43m 16.39s,+45° 19′ 21.5′′,6.33,2.61,181,K2IV,
Andromeda,,,,,10874,8370,01h 47m 48.00s,+46° 13′ 47.6′′,6.33,2.50,190,F6V,
Andromeda,,,,,1075,1208,00h 15m 06.93s,+31° 32′ 08.7′′,6.34,−1.70,1320,K5,
Andromeda,HD 8673,,,,8673,6702,01h 26m 08.62s,+34° 34′ 47.7′′,6.34,3.43,125,F7V,has a planet (b )
Andromeda,,,,,1083,1215,00h 15m 10.55s,+27° 17′ 00.5′′,6.35,0.84,412,A1Vn,double star
Andromeda,,,,,1527,1575,00h 19m 41.58s,+40° 43′ 46.2′′,6.35,0.25,541,K1III,
Andromeda,,,,,221970,116505,23h 36m 30.52s,+32° 54′ 15.1′′,6.35,1.92,251,F6V,
Andromeda,CG Andromedae,,,CG,224801,63,00h 00m 43.62s,+45° 15′ 12.0′′,6.36,−0.23,678,B9p SiEu,"α2 CVn variable, *V* max = 6.32m, *V* min = 6.42m, *P* = 3.73975 d"
Andromeda,HD 16004,,,,16004,12057,02h 35m 27.89s,+39° 39′ 52.1′′,6.36,0.11,580,B9MNp...,triple star
Andromeda,,,,,13818,10562,02h 15m 57.69s,+47° 48′ 43.4′′,6.37,0.61,462,G9III-IV,
Andromeda,LN Andromedae,,,LN,217811,113802,23h 02m 45.15s,+44° 03′ 31.6′′,6.37,−1.42,1177,B2V,double star; not variable despite designation
Andromeda,V385 Andromedae,,,V385,220524,115530,23h 24m 08.88s,+41° 36′ 46.3′′,6.37,−1.55,1249,M0,"irregular variable , *V* max = 6.36m, *V* min = 6.47m"
Andromeda,GY Andromedae,,,GY,9996,7651,01h 38m 31.84s,+45° 23′ 58.9′′,6.38,0.66,455,B9Vp (Cr-Eu),"Promethium lines; α2 CVn variable, *V* max = 6.27m, *V* min = 6.44m, *P* = 8000 d"
Andromeda,,,,,13013,9983,02h 08m 33.55s,+44° 27′ 34.4′′,6.38,0.78,430,G8III,
Andromeda,,,,,218365,114152,23h 07m 04.99s,+35° 38′ 11.3′′,6.38,−0.08,638,K0,
Andromeda,,,,,9712,7444,01h 35m 52.46s,+41° 04′ 35.1′′,6.39,1.01,388,K1III,
Andromeda,V529 Andromedae,,,V529,8801,6794,01h 27m 26.67s,+41° 06′ 04.0′′,6.42,2.69,182,Am...,"δ Scuti variable , Δ*V* = 0.03m, *P* = 0.40331 d"
Andromeda,,,,,217731,113750,23h 02m 11.32s,+44° 34′ 22.4′′,6.43,1.22,359,K0,
Andromeda,HD 222641,,,,222641,116941,23h 42m 14.68s,+44° 59′ 30.3′′,6.43,−0.48,786,K5III,suspected variable
Andromeda,HD 7853,,,,7853,6140,01h 18m 47.02s,+37° 23′ 10.7′′,6.44,0.71,456,A5m,double star
Andromeda,,,,,14221,10830,02h 19m 22.77s,+48° 57′ 19.0′′,6.44,2.39,210,F4V,
Andromeda,,,,,219668,114981,23h 17m 16.59s,+45° 09′ 51.5′′,6.44,2.10,241,K0IV,
Andromeda,HD 6114,,,,6114,4911,01h 03m 01.47s,+47° 22′ 34.3′′,6.46,1.39,337,A9V,double star
Andromeda,,,,,11884,9163,01h 57m 59.23s,+47° 05′ 43.9′′,6.48,−1.24,1140,K0,
Andromeda,ET Andromedae,,,ET,219749,115036,23h 17m 55.99s,+45° 29′ 20.2′′,6.48,0.36,545,B9Vp(Si),"α2 CVn variable, Δ*V* = 0.03m, *P* = 1.61888 d"
Andromeda,HD 222399,,,,222399,116781,23h 40m 02.82s,+37° 39′ 10.2′′,6.49,1.74,291,F2IV,double star
Andromeda,PY Andromedae,,,PY,3322,2865,00h 36m 20.00s,+27° 15′ 17′′,6.50,-0.16,701,B8IIImnp...,"α2 CVn variable, Δ*V* = ~0.03m"
Andromeda,,,,,800,1009,00h 12m 34.08s,+44° 42′ 26.1′′,6.50,0.50,517,K0,
Andromeda,59 Andromedae,,59,,13295,10180,02h 10m 53.67s,+39° 02′ 36.0′′,6.82,−1.76,1698,A1Vn,component of the 59 And system
Andromeda,HD 222155,,,,222155,116616,23h 38m 00s,+48° 59′ 47′′,7.1,3.65,160,G2V,has a planet (b)
Andromeda,HD 16175,,,,16175,12191,02h 37m 01.91s,+42° 03′ 45.5′′,7.28,3.40,195,G0,Buna; has a planet (b )
Andromeda,R Andromedae,,,R,1967,1901,00h 24m 01.95s,+38° 34′ 37.3′′,7.39,-5.19,790,S6.5IIIeZr6Ti2,"Mira variable , *V* max = 5.8m, *V* min = 15.2m, *P* = 409.2 d"
Andromeda,HD 1605,,,,1605,1640,00h 20m 32.0s,+30° 58′ 29′′,7.52,2.88,276,K1IV,has two planets (b & c)
Andromeda,HD 13931,,,,13931,10626,02h 16m 47.38s,+43° 46′ 22.8′′,7.52,4.3,144,G0,has a planet (b )
Andromeda,HD 5583,,,,5583,,00h 57m 57.0s,+34° 59′ 08′′,7.6,0.88,721,K0,has a planet (b)
Andromeda,RW And,,,RW,4489,,00h 47m 18.92s,+32° 41′ 08.6′′,7.9,-0.52,1375,"M5e-M10e(S6,2e)","Mira variable , *V* max = 7.9m, *V* min = 15.7m, *P* = 430 d"
Andromeda,Groombridge 34,,,,1326,1475,00h 18m 22.9s,+44° 01′ 22′′,8.01,10.25,11.62,M6Ve + M1Ve,"16th closest star system, binary ; both components GQ and GX And flare stars"
Andromeda,HD 15082,,,,15082,11397,02h 26m 51.06s,+37° 33′ 01.7′′,8.3,3.0,377,A5,has a transiting planet WASP-33b
Andromeda,RU And,,,RU,,,01h 38m 37s,38° 40′ 12′′,9.9,,,M5e-M6e,"a variable star in the constellation of Andromeda) . It is classified as a semiregular variable pulsating giant star, and varies from an apparent visual magnitude of 14.5 at minimum brightness to a magnitude of 9.9 at maximum brightness, with a period of approximately 238.3 days.[17][18]"
Andromeda,Y And,,,,10112,,01h 39m 36.89s,+39° 20′ 35′′,10.39,,"8,000",M3-4.5e,Mira Cet variable
Andromeda,Z Andromedae,,,Z,221650,116287,23h 33m 39.95s,+48° 49′ 05.9′′,10.53,2.38,1393,M2III + B1eq,"prototype of Z And variables , *V* max = 7.7m, *V* min = 11.3m"
Andromeda,HAT-P-6,,,,,,23h 39m 05.81s,+42° 27′ 57.5′′,10.54,4.03,650,F,Sterrennacht; has a transiting planet (b )
Andromeda,HAT-P-16,,,,,,00h 38m 17.56s,+42° 27′ 47.2′′,10.8,3.9,766,F8,has a transiting planet (b)
Andromeda,HAT-P-32,,,,,,02h 01m 10s,+46° 41′ 16′′,11.29,3.76,1044,F/G,has a transiting planet (b )
Andromeda,WASP-1,,,,,,00h 20m 40.08s,+31° 59′ 23.8′′,11.79,3.89,1239,F7V,has a transiting planet (b )
Andromeda,Ross 248,,,,,,23h 41m 54.99s,+44° 10′ 40.8′′,12.29,14.79,10.32,M6e,"HH And; 8th closest star system, flare star"
Andromeda,HAT-P-19,,,,,,00h 38m 04s,+34° 42′ 42′′,12.9,6.24,701,K,has a transiting planet (b)
Andromeda,HAT-P-28,,,,,,00h 52m 00s,+34° 43′ 42′′,13.03,5.05,1288,G3,has a transiting planet (b)
Andromeda,HAT-P-53,,,,,,01h 27m 29.0s,+38° 58′ 05′′,13.73,4.45,2345,,has a transiting planet (b)
Andromeda,S Andromedae,,,S,,,00h 42m 43.11s,+41° 16′ 04.2′′,,,2600000,Ia,"SN 1885A; BD+40°147a; type Ia supernova in the Andromeda Galaxy , *V* max = 5.8m, *V* min = < 16m"
Antlia,Alpha Antliae,α,,,90610,51172,10h 27m 09.16s,−31° 04′ 04.1′′,4.28,−0.97,366,K4III,"suspected variable , *V* max = 4.22m, *V* min = 4.29m"
Antlia,Epsilon Antliae,ε,,,82150,46515,09h 29m 14.74s,−35° 57′ 04.9′′,4.51,−2.15,700,K3III,"variable star, Δ*V* = 0.003m, *P* = 0.09026 d"
Antlia,Iota Antliae,ι,,,94890,53502,10h 56m 43.00s,−37° 08′ 14.9′′,4.60,0.67,199,K0III,
Antlia,Theta Antliae,θ,,,84367,47758,09h 44m 12.13s,−27° 46′ 10.4′′,4.78,−0.58,384,A7V+...,binary star
Antlia,Eta Antliae,η,,,86629,48926,09h 58m 52.34s,−35° 53′ 27.4′′,5.23,2.66,106,A8IV,double star
Antlia,HD 90132,,,,90132,50888,10h 23m 29.41s,−38° 00′ 35.0′′,5.34,2.30,132,A8V,
Antlia,HD 96146,,,,96146,54173,11h 04m 54.21s,−35° 48′ 16.9′′,5.43,−0.63,530,A0V,binary star
Antlia,HD 82205,,,,82205,46578,09h 29m 54.52s,−26° 35′ 22.6′′,5.49,−1.36,763,K2IIICNII,double star
Antlia,U Antliae,,,U,91793,51821,10h 35m 12.88s,−39° 33′ 45.3′′,5.50,−1.54,836,"C6,3(N0)","slow irregular variable , *V* max = 5.27m, *V* min = 6.04m"
Antlia,HR 4049,,,AG,89353,50456,10h 18m 07.60s,−28° 59′ 31.3′′,5.52,−3.60,2173,B9.5Ib/II,"protoplanetary nebula , *V* max = 5.29m, *V* min = 5.83m, *P* = 429 d"
