,episode no.,speaker,dialouge
115,1,Jerry," Whoa! What is this on the floor? Some kind of literature for a really
                    nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad
                    here. Let's put your dad in a nursing home. Beth looks at Jerry angrily
                        and the heart hate starts beeping again."
116,1,Tom,"
offscreen. We're losing him."
117,1,Beth," Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
118,1,Rick," There she is. All right. Come on, Morty. Let's go."
119,1,Morty," Oh, geez, okay. Rick and Morty go through the portal and end up in a
                        crazy alternate dimension."
120,1,Morty," Oh, man, Rick. What is this place?"
121,1,Rick," It's Dimension 35-C, and it's got the perfect climate conditions for a special
                    type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and
                    there's seeds in those fruits. I'm talking about Mega Seeds. They're they're
                    incredibly powerful, and I need them to help me with my research, Morty."
122,1,Morty," Oh, man, Rick. I'm looking around this place, and I'm starting to work up some
                    anxiety about this whole thing."
123,1,Rick," All right, all right, calm down. Listen to me, Morty. I know that new situations
                    can be intimidating. You're looking around, and it's all scary and different,
                    but, you know, m-meeting them head on, charging right into them like a bull
                    that's how we grow as people. I'm no stranger to scary situations. I deal with
                    them all the time. Now, if you just stick with me, Morty, we're gonna be—
                        a gigantic alien monster suddenly appears behind them.
"
124,1,Rick," HOLY CRAP, MORTY RUN!!! they take off, running in complete and total fear
                        as the monster chases them."
125,1,Rick," I never seen that thing before in my life. I don't even know what the hell it
                    is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're
                    gonna die, Morty!"
126,1,Rick,"
having apparently escaped, they are walking through Dimension 35-C,
                        continuing their adventure."
127,1,Morty," All right, Rick, look how much longer is this gonna be? Shouldn't I be back at
                    school by now?"
128,1,Rick," Are you joking me? I mean, look at all the crazy crap surrounding us. Look at
                    that thing right there. a weird looking monster is seen cooing and
                        rolling around on the ground) What the hell is that thing? You think you're
                        gonna see that kind of thing at school? (offscreen) Look at it just
                        lumbering around. (onscreen."
129,1,Morty," Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason
                    why I want to leave. they come up to a cliff and Rick stops him
                        there."
130,1,Rick," Ta-ta-ta-ta-ta-ta. Morty, you see this? he and Morty are looking down
                        upon a vast forest of interdimensional trees."
131,1,Rick," You see what we just stumbled upon, Morty? Any idea what that is down there?"
132,1,Morty, The mega trees?
133,1,Rick," That's right, Morty the mega trees with the mega fruit on them and that's what
                    I'm talking about, Morty. That's where my seeds are. If we would have done what
                    you wanted, I would have never have found them, because you're so in love with
                    school."
134,1,Morty," All right, all right. So, what's so special about these seeds, anyways?"
135,1,Rick," You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an
                        burps) under- (burps) underfoot figure. (Rick gives Morty a pair of
                        shoes and Morty proceeds to put them on."
136,1,Rick," Just take these shoes, Morty. They're burps. special grappling
                    shoes. When you're wearing these things, these babies, you can basically just
                    walk on any surface you want, Morty up, down, below, turn around to the left.
                    These things really bring it all together."
137,1,Morty,"
walks off the cliff and plummets to the ground, screaming and smashing
                        into rocks."
138,1,Rick," You have to turn them on, Morty! The shoes have to be turned on!"
139,1,Beth," I am not putting my father in a home! He just came back into my life, and you
                    want to grab him and stuff him under a mattress like last month's Victoria's
                    Secret?"
140,1,Jerry," I told you I was ordering you something for Valentine's Day. More importantly,
                    your father is a horrible influence on our son."
141,1,Davin," Everything cool in here, Beth?"
142,1,Beth," It's fine, Davin."
143,1,Davin," Okay, cool. You know, we did something great today. There's nothing more noble
                    and free than the heart of a horse. Jerry closes the door on
                        Davin."
144,1,Jerry," Since we're fighting, if you ever have an affair with that guy, I will come to
                    the hotel room and blow my brains out all over your naked bodies."
145,1,Beth," Look, I appreciate the stress you're under, but Morty was having trouble in
                    school way before my dad moved in, and the only influence I can see Rick having
                    is that, for the first time in his life, Morty has a friend. the phone
                        starts ringing."
146,1,Jerry,"
sighs. Well, maybe you're right."
147,1,Beth," Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm
                    a heart surgeon?"
148,1,Jerry,"
coughs) Ahem, Horse heart surgeon. (Beth answers the phone and gets a
                        call from Morty's principal, Gene Vagina."
149,1,Principal Vagina,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and
                    Morty's father might be able to have a chat with me this afternoon?"
150,1,Rick,"
standing by Morty, who is lying on the ground with his legs broken)
                        Morty, oh, you really d-did a number on (offscreen) your legs right now. You
                        know, you got to turn (onscreen."
151,1,Morty," I'm in a lot of pain, Rick!"
152,1,Rick," Yeah, I can see that. But do you think you'll still be able to help me collect
                    my seeds, Morty?"
153,1,Morty," Are you kidding me?! That's it, Rick! That's the last straw! I can't believe
                    this! I'm sitting here with both of my legs broken, and you're still asking me
                    about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like
                    Hitler, but-but even Hitler cared about Germany or something."
154,1,Rick," Okay, hold on just a second, Morty. opens another portal and leaves Morty
                        behind, lying on the ground to suffer for a few seconds."
155,1,Morty," Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh! Rick finally
                        returns and injects Morty's legs with medicine, healing them to
                        perfection."
156,1,Morty," Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I
                    mean, I've never felt so good in my life. Thank you."
157,1,Rick," Don't worry about it, Morty. Just come help me get these seeds, all right,
                    buddy?"
158,1,Morty," Sure thing, Rick. goes up the tree and gets the Mega Fruit while Rick
                        talks to him."
159,1,Rick," Not that you asked, Morty, but what just happened there is I went into a future
                    dimension with such advanced medicine that they had broken-leg serum at every
                    corner drugstore. offscreen. The stuff was all over the place,
                    Morty."
160,1,Morty," Wow, that's pretty crazy, Rick."
161,1,Rick," There's just one problem, Morty one little hang-up. The dimension I visited was
                    so advanced, that burps) they had also halted the aging process, and
                        everyone there was young, Morty, and they had been forever. I was the only
                        old person there, Morty. (burps."
162,1,Morty, What?!
163,1,Rick," It's as good as garbage, Morty. It's not gonna work anymore, Morty."
164,1,Morty," Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at
                    school right now. How are we gonna get back home?"
165,1,Rick," There's ways to get back home, Morty. It's just it's just gonna be a little bit
                    of a hassle. We're gonna have to go through interdimensional customs, so you're
                    gonna have to do me a real solid."
166,1,Morty, Uh-oh.
167,1,Rick," When we get to customs, I'm gonna need you to take these seeds into the
                    bathroom, and I'm gonna need you to put them way up inside your butthole,
                    Morty."
168,1,Morty, In my butt?
169,1,Rick," Put them way up inside there, as far as they can fit."
170,1,Morty," Oh, geez, Rick. I really don't want to have to do that."
171,1,Rick," Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through
                    customs unless they're in someone's rectum, Morty"
172,1,Morty, Uuuh.
173,1,Rick," And they'll fall right out of mine. I've done this too many times, Morty. I
                    mean, you're young. Y-y-you've got your whole life ahead of you, and your anal
                    cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-
                        burps. you've got to put these seeds inside your butt."
174,1,Morty, In my butt?
175,1,Rick," Come on, Morty. Please, Morty. You have to do it, Morty."
176,1,Morty," Oh, man."
177,1,Principal Vagina,"The fact is, your son, Morty, has attended this school for a total of seven hours
                    over the last two months."
178,1,Beth, What? Why didn't you notify us?
179,1,Principal Vagina,"I done been notifying you. Have you not been getting the messages I've been
                    leaving with Morty's grandfather?"
180,1,Jerry," Boom! Told you! In your face! He is ruining our child! Wait, what am I
                    celebrating?"
181,1,Principal Vagina,"Yeah, see, I thought something was fishy there, because it's usually Morty's
                    grandpa that's taking him out of school. they stop to see Summer and some
                        other students, crying at an obituary for Frank."
182,1,Beth, Summer?
183,1,Summer,"
sobs. What kind of God lets this happen?"
184,1,Principal Vagina,"We had a little incident. A student was frozen to death. chuckles.
                    And there's no evidence that a Latino student did it! Everyone wants to take
                    this to a racial place. I won't let them."
185,1,Announcer, The glarp zone is for flarping and unglarping only.
186,1,Alien," So, I told him, ""give me the blimfarx,"" you know? This-this guy he doesn't
                    understand interstellar currency."
187,1,Alien," It's, like, I'm trying to eat a flimflam like, that's what we eat on
                    Girvonesk."
188,1,Announcer, The glarp zone is for flarping and unglarping only.
189,1,Rick,"
Morty comes up to him, who is waiting in line to get through
                        security."
190,1,Morty," Yeah, Rick. Let's just get this over with, okay? I mean, these things are
                    pointy. They hurt."
191,1,Rick," That means they're good ones. You're a good kid, Morty. Those mega seeds are
                    super valuable to my work. You've been a huge help to me. I'm gonna be able to
                    do a-"
192,1,Gromflomite," Okay, next through. stops Morty. Except you. You go over
                    there."
193,1,Rick, Why does he have to go over there?
194,1,Gromflomite, Random check. He's got to go through the new machine.
195,1,Rick, What new- burps. what new machine?
196,1,Gromflomite, It's a new machine. It detects stuff all the way up your butt.
197,1,Rick," Run, Morty! Run! grabs Morty and they run through security and dart for
                        the exit."
198,1,Morty, Aaaaaah!
199,1,Gromfomite," Red alert! team of Gromflomites starts chasing after Rick and
                        Morty."
200,1,Morty," Ohhhhh! Rick pushes over a giant capsule, with an alien fetus over,
                        smashing some Gromflomites, to slow them down."
201,1,Morty," Ohhhhhh! an alien is seen smoking a hookah and Morty runs past him and
                        accidentally inhales the smoke from the hookah while Rick comes from behind
                        and slaps the alien in the face, causing the alien to cry; he then coughs up
                        a life form from the smoke and the lifeform starts running through the glarp
                        zone and goes through the entire aging process from developing fetus to
                        decomposing corpse, over the course of three seconds."
202,1,Morty, Aaaaah!
203,1,Rick," Don't think about it! he and Morty are cornered but Morty activates the
                        grappling shoes and runs up the wall with Rick."
204,1,Rick," Ooh! Oh, nice, Morty! The student becomes the teacher. the Gromflomites
                        reveal that they can fly and then Rick and Morty start running
                    away."
205,1,Morty," Whoooooo! he and Rick run through the equipment on the ceiling, before
                        they slip off to the ground."
206,1,Alien," Aah! Aw, hell, no, dawg. You know me I'm just trying to— Rick and Morty
                        crash to the ground and he dies; they then run to the portal
                        computer."
207,1,Rick," I need to type in the coordinates to our home world, Morty. Cover me. he
                        tosses Morty a gun."
208,1,Morty," Oh, man. I mean, you know, I-I don't want to shoot nobody."
209,1,Rick," They're just robots, Morty! It's okay to shoot them! They're robots!
                        Morty shoots a Glenn, blowing his leg off, and making blood gush out
                        as he drops down in pain."
210,1,Glenn, Aaaaah! My leg is shot off!
211,1,Other Gromflomite,Glenn's bleeding to death! Someone call his wife and children!
212,1,Morty," They're not robots, Rick!"
213,1,Rick," It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just
                    keep shooting, Morty. You have no idea what prison is like here! Morty
                        continues shooting the Gromflomites and even kills some innocent bystanders
                        while Rick hacks into the portal to take them back home."
214,1,Morty," Holy crap! This is insane! Rick opens the portal and takes Morty in with
                        him."
215,1,Rick," Come on, Morty! We got to get the hell out of here! the portal opens up
                        in the lunchroom at school and Rick and Morty land on the table where
                        Jessica and her friends are eating."
216,1,Jessica, Wow. Did you just come into the cafeteria through a portal?
217,1,Morty," Uh, yeah. Well, you know, my-my Ferrari's in the shop. nervously
                        laughs."
218,1,Jessica," You're Morty, right?"
219,1,Morty," Yeah. Rick grabs Morty and takes him way.
"
220,1,Rick," You can get his number later. Come on, Morty. We got to get out of here. You got
                    to get those seeds out of your ass. Rick and Morty are stopped by Jerry,
                        Beth, and Principal Vagina."
221,1,Jerry," Oh, look, honey. It's our son with Albert Ein-douche."
222,1,Beth, What?
223,1,Jerry," I'm an angry father, not an improviser."
224,1,Rick," Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We
                    talked about this. Your-your parents and I are very disappointed in-in this
                    behavior... No? No takers? Rick and Morty are back at home in the garage
                        while Jerry and Beth start taking all his things and packing them up so he
                        can move to the nursing home."
225,1,Rick," You guys should really not be touching that stuff. It's beyond your
                    reasoning."
226,1,Jerry, You're beyond our reasoning!
227,1,Rick, Takes one to know one.
228,1,Beth," Dad, how could you make my son miss an entire semester of school? I mean, it's
                    not like he's a hot girl. He can't just bail on his life and set up shop in
                    someone else's."
229,1,Rick, What what are you guys doing with my stuff?
230,1,Beth, We're moving you to a nursing home.
231,1,Rick," A nursing home? What are what are you, nuts? I'm a genius. I build robots for
                    fun."
232,1,Jerry," Well, now you can build baskets and watch Paul Newman movies on VHS and mentally
                    scar the Boy Scouts every Christmas."
233,1,Beth, What does that mean?
234,1,Jerry, It's personal.
235,1,Morty," Dad, mom, come on. Rick just needed my help is all."
236,1,Jerry," Morty, stay out of this. You are obviously not capable of judging these
                    situations on your own."
237,1,Rick, What are you trying to say about Morty? That he's stupid or something?
238,1,Beth," Oh, don't high-road us, dad. You know fully well that Morty is the last child
                    that needs to be missing classes."
239,1,Rick," I-I-I don't know what you mean by that. Can can can you be a little bit more
                    specific?"
240,1,Jerry," Oh, for crying out—he's got some kind of disability or something. Is that what
                    you want us to say?"
241,1,Morty, I do?
242,1,Jerry," Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast
                    as the other kids, and if you want to compete in this world, you got to work
                    twice as hard."
243,1,Morty," Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once."
244,1,Rick," Morty, t-tell your parents the square root of pi."
245,1,Morty," Oh, come on, Rick. You know I can't."
246,1,Rick," The square root of Pi, Morty. Go!"
247,1,Morty, 1.77245385... Whoa!
248,1,Beth, What the hell?
249,1,Jerry,"
checks Morty's answer with calculator. Holy crap. He's right."
250,1,Rick," Morty, tell your parents the first law of Thermodynamics."
251,1,Morty," ""The increment in the internal energy of a system is equal to the increment of
                    heat supplied to the system."" Wow! I'm so smart!"
252,1,Jerry, But—
253,1,Rick," I told the both of you school is stupid. It's not how you learn things. Morty's
                    a gifted child. He has a special mind. That's why he's my little helper. He's
                    like me. He's gonna be doing great science stuff later in his life. He's too
                    smart for school. He needs to keep hanging out and helping me."
254,1,Beth," Jerry, I don't want whatever's happening here to stop."
255,1,Jerry," No, I-I understand. Uh, maybe we overreacted. But he has to keep going to
                    school."
256,1,Rick," Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no?
                    You-you really wear the pants around here. I just want you to know, between us,
                    from now on, it's gonna be clear communication. Summer butts in, crying
                        over the death of Frank."
257,1,Summer,"
crying. Frank Palicky was frozen to death today!"
258,1,Rick," No idea what you're talking about. Summer leaves, crying.
"
259,1,Jerry," Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night
                    again. This is good, though. This can work. I think we can be a family and now,
                    Beth, if you'll have me, I would love to have you."
260,1,Beth," You know what? Okay. she and Jerry leave.
"
261,1,Morty," Holy cow, Rick. I didn't know hanging out with you was making me smarter."
262,1,Rick," Full disclosure, Morty it's not. Temporary superintelligence is just a side
                    effect of the mega seeds dissolving in your rectal cavity."
263,1,Morty," Aw, man."
264,1,Rick," Yeah, and once those seeds wear off, you're gonna lose most of your motor
                    skills, and you're also gonna lose a significant amount of brain functionality
                    for 72 hours, Morty. Starting right about now."
265,1,Morty," Ohh, man. losing consciousness) Oh, geez! Ohh. (drops to the ground and
                        starts moaning as he has a seizure."
266,1,Rick," I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I
                    needed those seeds real bad, and I had to give them up just to get your parents
                    off my back, so now we're gonna have to go get more adventures. excitedly
                        looks down upon him, telling him about their future adventures."
267,2,TV, Coin collecting is considered the perfect hobby. Beautiful putt right there good birdie. That's only the eighth birdie of the day.
268,2,Jerry," What? Why are you looking at me? You want to go outside? Outside? Sigh
"
269,2,Jerry, Outside?
270,2,Jerry, Are you kidding me?! Come on!
271,2,Summer," Oh, my God."
272,2,Morty, What's wrong?
273,2,Jerry, Your idiot dog!
274,2,Morty," Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy."
275,2,Jerry," Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!"
276,2,Rick," Morty, come on. I need your help tonight."
277,2,Jerry," Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?"
278,2,Rick," I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty."
279,2,Jerry," Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!"
280,2,Summer, Ha-ha!
281,2,Morty," Aw, man!"
282,2,Rick," Boy, you really got me up against a wall this time, Jerry."
283,2,Rick," All right, Ruffles What's his name?"
284,2,Morty, Snuffles.
285,2,Rick," Snuffles, shake."
286,2,Rick, Roll over.
287,2,Rick, Go to the bathroom.
288,2,Jerry, Holy crap!
289,2,Summer, No way.
290,2,Rick," Yeah, you're at the top of your game now, Jerry. Have fun. Come on, Morty."
291,2,Morty," That was fantastic, Rick!"
292,2,Rick," Yeah, Morty, if you like that, boy, you're you're really going to flip your lid over this one."
293,2,Morty, W-w-w-what is it?
294,2,Rick," It's a device, Morty, that when you put it in your ear, you can enter people's dreams, Morty. It's just like that movie that you keep crowing about."
295,2,Morty," You talking about ""Inception""?"
296,2,Rick," That's right, Morty. This is gonna be a lot like that, except, you know, it's gonna may-Belch-be make sense."
297,2,Morty," ""Inception"" made sense."
298,2,Rick," You don't have to try to impress me, Morty. Listen, tonight we're gonna go into the home of your math teacher, Mr. Goldenfold, and we're gonna incept the idea in his brain to give you A's in math, Morty. That way you can, you know, y-you're gonna help me with my science, Morty, all the time."
299,2,Morty," Geez, Rick, in the time it took you to make this thing, couldn't you have just, you know, helped me with my homework?"
300,2,Rick," Are you listening to me, Morty? Homework is stupid. The whole point is to get less of it."
301,2,Rick," Come on, let's just get over there and deal with this thing. W-we're gonna incept your teacher. You're frustrating me."
302,2,Mrs. Pancakes, You don't know me!
303,2,Mr. Goldenfold,"' Nice, Mrs. Pancakes real nice."
304,2,Commercial Announcer," Next week on ""The days and nights of Mrs. Pancakes"""
305,2,Mrs. Pancakes, You don't know me!
306,2,Mr. Pancakes," Then let me get to know yo, damn it!"
307,2,Rick, Uh-oh! Spoilers!
308,2,Rick, I'm a full season behind.
