Date,User_ID,Steps,Calories,Distance,Active_Minutes,Heart_Rate,Sleep_Duration
2024-01-18,4,12564,2336,10.05,56,84,8.2
2024-01-19,4,8764,2546,7.01,82,69,6.9
2024-01-20,4,14539,3049,11.63,52,75,6.6
2024-01-21,4,19602,1677,15.68,89,69,4.6
2024-01-22,4,16080,1703,12.86,118,98,7.3
2024-01-23,4,8708,3308,6.97,31,84,8.1
2024-01-24,4,3115,2714,2.49,30,85,4.2
2024-01-25,4,13126,3450,10.5,106,64,5.3
2024-01-26,4,18858,3011,15.09,42,76,5.8
2024-01-27,4,15974,3024,12.78,101,76,6.2
2024-01-28,4,7890,1748,6.31,116,85,4.2
2024-01-29,4,9347,1871,7.48,57,93,7.1
2024-01-30,4,15872,2754,12.7,75,76,5.8
2024-01-01,5,18124,2491,14.5,64,68,5.5
2024-01-02,5,11815,1754,9.45,66,61,5.3
2024-01-03,5,3027,2550,2.42,58,68,8.2
2024-01-04,5,7069,1619,5.66,60,83,8.9
2024-01-05,5,3814,3487,3.05,65,63,7.1
2024-01-06,5,12093,2396,9.67,94,86,4.3
2024-01-07,5,10246,2176,8.2,32,63,7.8
2024-01-08,5,19074,2946,15.26,114,98,4.9
2024-01-09,5,5766,2191,4.61,78,61,5.4
2024-01-10,5,15098,2266,12.08,51,73,7.8
2024-01-11,5,7327,1930,5.86,91,67,5.8
2024-01-12,5,17490,1975,13.99,108,76,8.7
2024-01-13,5,7988,2389,6.39,49,64,6.1
2024-01-14,5,6988,2987,5.59,40,92,5.5
2024-01-15,5,10872,1612,8.7,97,84,7.0
2024-01-16,5,17186,1982,13.75,114,100,8.8
2024-01-17,5,17133,1888,13.71,39,77,8.9
2024-01-18,5,3556,3164,2.84,87,68,8.8
2024-01-19,5,15530,2731,12.42,89,60,6.0
2024-01-20,5,5456,2259,4.36,73,85,5.3
2024-01-21,5,13999,3434,11.2,45,100,4.3
2024-01-22,5,11415,1869,9.13,69,69,6.2
2024-01-23,5,15586,2472,12.47,76,81,5.7
2024-01-24,5,10034,2178,8.03,78,98,5.7
2024-01-25,5,12369,2368,9.9,37,60,6.7
2024-01-26,5,3413,3261,2.73,46,92,4.5
2024-01-27,5,18538,2982,14.83,55,91,8.9
2024-01-28,5,11778,3132,9.42,62,72,5.6
2024-01-29,5,7769,2094,6.22,50,68,4.3
2024-01-30,5,18871,3425,15.1,88,63,6.1
2024-01-01,6,4815,2203,3.85,32,97,5.0
2024-01-02,6,3401,1662,2.72,53,99,6.5
2024-01-03,6,8993,3078,7.19,89,92,5.5
2024-01-04,6,6821,2685,5.46,38,98,5.7
2024-01-05,6,11387,3324,9.11,80,99,6.9
2024-01-06,6,10283,1573,8.23,57,84,5.4
2024-01-07,6,12787,2990,10.23,64,80,6.0
2024-01-08,6,5578,2564,4.46,120,77,8.5
2024-01-09,6,11113,1990,8.89,84,76,8.1
2024-01-10,6,7703,2424,6.16,94,69,7.9
2024-01-11,6,9518,3214,7.61,108,88,6.9
2024-01-12,6,16262,2475,13.01,66,64,7.4
2024-01-13,6,13585,2289,10.87,38,63,5.4
2024-01-14,6,17827,2051,14.26,70,71,5.4
2024-01-15,6,16744,1591,13.4,33,98,7.1
2024-01-16,6,11116,1733,8.89,78,60,4.6
2024-01-17,6,12121,1555,9.7,53,75,7.8
2024-01-18,6,14866,1941,11.89,77,92,6.8
2024-01-19,6,14169,2360,11.34,90,94,6.9
2024-01-20,6,13948,1654,11.16,51,74,5.6
2024-01-21,6,4356,1983,3.48,53,94,6.1
2024-01-22,6,13588,3108,10.87,66,88,8.5
2024-01-23,6,5139,3432,4.11,68,96,7.7
2024-01-24,6,4133,2516,3.31,50,87,5.8
2024-01-25,6,19326,1896,15.46,57,62,8.9
2024-01-26,6,3879,2287,3.1,82,84,5.2
2024-01-27,6,7273,2963,5.82,81,95,5.4
2024-01-28,6,6735,2493,5.39,89,62,4.8
2024-01-29,6,13111,2144,10.49,30,91,7.3
2024-01-30,6,5734,3253,4.59,51,87,7.3
2024-01-01,7,15885,1731,12.71,115,62,5.6
2024-01-02,7,17632,2036,14.11,109,91,8.3
2024-01-03,7,9295,1865,7.44,114,65,8.5
2024-01-04,7,7537,3222,6.03,36,75,4.6
2024-01-05,7,3500,2778,2.8,84,63,6.9
2024-01-06,7,6303,3160,5.04,115,65,7.0
2024-01-07,7,13025,3103,10.42,40,95,5.0
2024-01-08,7,17300,1758,13.84,64,78,7.8
2024-01-09,7,18769,2045,15.02,70,85,4.5
2024-01-10,7,14627,2780,11.7,39,81,6.0
2024-01-11,7,15205,3350,12.16,101,93,5.6
2024-01-12,7,4387,3034,3.51,55,76,7.6
2024-01-13,7,11291,3210,9.03,114,72,6.6
2024-01-14,7,16597,2632,13.28,59,93,4.6
2024-01-15,7,12708,3219,10.17,61,73,5.0
2024-01-16,7,12800,1840,10.24,58,69,4.8
2024-01-17,7,17184,2339,13.75,53,89,6.6
2024-01-18,7,3291,2355,2.63,61,91,7.4
2024-01-19,7,15800,1612,12.64,81,81,8.4
2024-01-20,7,19402,1546,15.52,118,75,8.0
2024-01-21,7,17838,1894,14.27,30,62,6.0
2024-01-22,7,8970,2124,7.18,34,88,5.3
2024-01-23,7,15198,2061,12.16,116,61,4.9
2024-01-24,7,7760,2857,6.21,69,84,8.1
2024-01-25,7,19860,2060,15.89,101,86,4.1
2024-01-26,7,16132,3207,12.91,41,62,5.9
2024-01-27,7,8348,3273,6.68,92,87,7.0
2024-01-28,7,3850,2381,3.08,71,73,7.3
2024-01-29,7,7735,1981,6.19,45,80,8.5
2024-01-30,7,4345,2370,3.48,115,95,7.7
2024-01-01,8,18394,2088,14.72,45,71,6.2
2024-01-02,8,10257,2688,8.21,60,82,7.1
2024-01-03,8,9624,2603,7.7,45,77,4.1
2024-01-04,8,15907,1748,12.73,50,70,4.7
2024-01-05,8,9483,3355,7.59,109,74,5.4
2024-01-06,8,3742,1660,2.99,61,85,4.1
2024-01-07,8,15890,2307,12.71,51,99,5.2
2024-01-08,8,6665,3398,5.33,107,85,7.2
2024-01-09,8,7922,2028,6.34,71,86,5.8
2024-01-10,8,14034,3225,11.23,69,93,6.0
2024-01-11,8,5575,1723,4.46,46,82,6.5
2024-01-12,8,5122,2777,4.1,81,86,8.5
2024-01-13,8,7399,3304,5.92,81,79,4.3
2024-01-14,8,15435,2333,12.35,71,75,8.5
2024-01-15,8,9940,2198,7.95,77,89,6.8
2024-01-16,8,3944,2260,3.16,77,98,4.9
2024-01-17,8,13866,3103,11.09,52,100,5.6
2024-01-18,8,11850,3254,9.48,64,80,5.7
2024-01-19,8,18415,3248,14.73,37,63,4.1
2024-01-20,8,11976,2496,9.58,103,74,7.3
2024-01-21,8,5317,2566,4.25,84,91,9.0
2024-01-22,8,17605,2484,14.08,31,93,5.3
2024-01-23,8,19033,1563,15.23,43,60,8.6
2024-01-24,8,5334,2639,4.27,83,71,8.0
2024-01-25,8,16193,3323,12.95,49,100,8.0
2024-01-26,8,4069,2785,3.26,60,96,7.9
2024-01-27,8,5092,3386,4.07,96,93,7.1
2024-01-28,8,7495,3222,6.0,106,81,5.3
2024-01-29,8,4555,3289,3.64,48,85,6.6
2024-01-30,8,10790,3345,8.63,98,84,5.0
2024-01-01,9,16306,2824,13.04,56,78,4.0
2024-01-02,9,4483,2581,3.59,110,88,5.3
2024-01-03,9,12021,1738,9.62,81,62,4.6
2024-01-04,9,10073,1556,8.06,84,90,4.1
2024-01-05,9,10645,2152,8.52,108,73,7.5
2024-01-06,9,14334,2704,11.47,94,97,5.2
2024-01-07,9,10835,2850,8.67,32,99,6.2
2024-01-08,9,17608,3254,14.09,37,92,5.7
2024-01-09,9,7015,3045,5.61,67,85,6.1
2024-01-10,9,8829,1668,7.06,109,100,8.2
2024-01-11,9,19690,2850,15.75,97,76,8.1
2024-01-12,9,15717,3238,12.57,116,95,6.4
2024-01-13,9,4325,2302,3.46,75,61,8.8
2024-01-14,9,4225,3302,3.38,92,62,4.3
2024-01-15,9,7380,1595,5.9,70,84,8.3
2024-01-16,9,4213,2695,3.37,53,80,4.9
2024-01-17,9,10653,2759,8.52,99,84,5.7
2024-01-18,9,14784,2842,11.83,113,70,4.4
2024-01-19,9,10672,2967,8.54,34,67,5.5
2024-01-20,9,16138,2958,12.91,36,79,8.0
2024-01-21,9,7459,1542,5.97,106,78,8.6
2024-01-22,9,3620,1801,2.9,88,66,6.6
2024-01-23,9,17940,2993,14.35,41,70,8.6
2024-01-24,9,16513,2118,13.21,39,100,4.4
2024-01-25,9,16099,3422,12.88,92,76,4.7
2024-01-26,9,10308,3270,8.25,50,65,4.2
2024-01-27,9,3049,1965,2.44,37,65,5.3
2024-01-28,9,15867,2806,12.69,105,98,8.8
2024-01-29,9,10100,3178,8.08,65,63,5.3
2024-01-30,9,16954,1627,13.56,60,70,8.5
2024-01-01,10,8975,3004,7.18,60,84,5.5
2024-01-02,10,5946,2672,4.76,94,72,7.1
2024-01-03,10,8564,3032,6.85,91,96,6.4
2024-01-04,10,11335,2417,9.07,56,77,4.8
2024-01-05,10,3628,2247,2.9,102,84,4.2
2024-01-06,10,7893,3058,6.31,73,80,4.6
2024-01-07,10,5192,2375,4.15,98,94,8.7
2024-01-08,10,7874,1566,6.3,43,80,5.2
2024-01-09,10,5583,1610,4.47,50,89,6.7
2024-01-10,10,4454,1923,3.56,33,80,6.4
2024-01-11,10,11072,2737,8.86,36,73,4.7
2024-01-12,10,16021,2620,12.82,50,86,8.9
2024-01-13,10,16302,3318,13.04,85,85,8.8
2024-01-14,10,13162,2129,10.53,100,85,8.3
2024-01-15,10,3273,3133,2.62,84,72,7.7
2024-01-16,10,11070,3415,8.86,67,60,7.9
2024-01-17,10,18032,2862,14.43,45,61,7.1
2024-01-18,10,11707,3207,9.37,48,82,7.4
2024-01-19,10,11334,1808,9.07,58,90,5.6
2024-01-20,10,19899,2989,15.92,120,76,5.6
2024-01-21,10,5333,2964,4.27,99,84,5.8
2024-01-22,10,18836,2799,15.07,83,95,6.7
2024-01-23,10,9125,1655,7.3,97,98,5.8
2024-01-24,10,5166,2568,4.13,93,91,7.1
2024-01-25,10,7838,2607,6.27,30,92,4.8
2024-01-26,10,12920,2020,10.34,93,90,4.6
2024-01-27,10,7349,2097,5.88,43,78,8.0
2024-01-28,10,19709,2217,15.77,84,66,6.2
2024-01-29,10,9260,3493,7.41,37,80,6.1
2024-01-30,10,10177,3346,8.14,51,61,4.1
2024-01-01,11,15080,2237,12.06,97,99,8.7
2024-01-02,11,16323,2619,13.06,81,99,5.9
2024-01-03,11,9659,2740,7.73,31,88,7.0
2024-01-04,11,17911,2334,14.33,51,67,6.7
2024-01-05,11,7108,1752,5.69,113,71,5.1
2024-01-06,11,16801,3002,13.44,64,86,6.2
2024-01-07,11,3287,1513,2.63,38,74,6.1
2024-01-08,11,11818,2868,9.45,76,77,5.8
2024-01-09,11,6509,2470,5.21,112,68,8.5
2024-01-10,11,14215,2989,11.37,112,94,5.3
2024-01-11,11,9051,2852,7.24,85,96,6.8
2024-01-12,11,12704,2586,10.16,119,94,5.0
2024-01-13,11,11695,1924,9.36,108,78,4.7
2024-01-14,11,8151,1966,6.52,77,67,8.2
2024-01-15,11,7145,2654,5.72,106,81,8.5
2024-01-16,11,13286,3155,10.63,58,84,6.3
2024-01-17,11,19219,3036,15.38,40,65,7.0
2024-01-18,11,10169,2203,8.14,77,68,8.3
2024-01-19,11,10319,2607,8.26,113,66,6.5
2024-01-20,11,15733,2737,12.59,98,77,6.5
2024-01-21,11,17263,1687,13.81,81,80,7.4
2024-01-22,11,13757,3327,11.01,116,63,4.4
2024-01-23,11,10220,1675,8.18,80,94,8.7
2024-01-24,11,16821,1906,13.46,120,85,8.0
2024-01-25,11,5579,3367,4.46,107,90,6.6
2024-01-26,11,13173,2479,10.54,102,63,6.6
2024-01-27,11,4241,3381,3.39,90,91,7.2
2024-01-28,11,10989,2902,8.79,51,81,4.3
2024-01-29,11,17452,3150,13.96,113,72,6.0
2024-01-30,11,15542,3254,12.43,42,99,6.9
2024-01-01,12,15321,2441,12.26,46,69,5.9
2024-01-02,12,8593,3260,6.87,79,100,4.3
2024-01-03,12,17536,1891,14.03,75,74,7.0
2024-01-04,12,12188,2278,9.75,75,61,4.1
2024-01-05,12,18339,1634,14.67,36,86,7.6
2024-01-06,12,11315,3202,9.05,106,95,6.7
2024-01-07,12,15437,2412,12.35,93,80,7.9
2024-01-08,12,12234,3406,9.79,64,63,7.4
2024-01-09,12,14701,2476,11.76,62,75,8.3
2024-01-10,12,10617,2942,8.49,39,77,8.9
2024-01-11,12,4742,2832,3.79,38,73,6.6
2024-01-12,12,17043,1787,13.63,113,74,6.3
2024-01-13,12,11761,3195,9.41,117,66,8.9
2024-01-14,12,16259,2713,13.01,120,94,8.6
2024-01-15,12,13524,2384,10.82,97,98,7.2
2024-01-16,12,9856,2682,7.88,108,71,8.5
2024-01-17,12,11714,2733,9.37,115,67,4.9
2024-01-18,12,3072,2920,2.46,101,87,4.7
2024-01-19,12,14717,1886,11.77,51,68,8.4
2024-01-20,12,7250,1771,5.8,64,96,8.7
2024-01-21,12,13197,2728,10.56,77,75,5.8
2024-01-22,12,19217,2034,15.37,111,63,8.6
2024-01-23,12,13383,1936,10.71,32,82,4.4
2024-01-24,12,15652,3241,12.52,117,83,7.3
2024-01-25,12,17943,2817,14.35,109,91,6.3
2024-01-26,12,14532,2697,11.63,89,100,6.2
2024-01-27,12,13821,2569,11.06,86,96,4.8
2024-01-28,12,11027,2378,8.82,88,72,5.1
2024-01-29,12,3756,2906,3.0,85,75,5.5
2024-01-30,12,18215,2353,14.57,72,98,7.5
2024-01-01,13,15659,2191,12.53,100,98,8.8
2024-01-02,13,5778,1993,4.62,57,71,7.9
2024-01-03,13,4712,3452,3.77,58,86,6.9
2024-01-04,13,17101,3464,13.68,117,69,8.8
2024-01-05,13,15840,2875,12.67,54,98,7.2
2024-01-06,13,17138,3176,13.71,90,60,7.7
2024-01-07,13,13458,1779,10.77,101,81,4.7
2024-01-08,13,12539,3399,10.03,108,93,6.1
2024-01-09,13,8127,2782,6.5,62,84,4.6
2024-01-10,13,16775,1556,13.42,107,82,5.5
2024-01-11,13,5277,2648,4.22,56,81,5.6
2024-01-12,13,19358,1882,15.49,41,100,5.2
2024-01-13,13,4516,3479,3.61,96,65,5.7
2024-01-14,13,5517,3097,4.41,68,94,6.0
2024-01-15,13,16293,2347,13.03,62,81,7.9
2024-01-16,13,15932,1530,12.75,105,71,4.2
2024-01-17,13,10878,1694,8.7,61,93,8.2
2024-01-18,13,12361,2668,9.89,111,84,6.0
2024-01-19,13,11856,2991,9.48,61,88,8.4
2024-01-20,13,18358,3446,14.69,119,93,7.8
2024-01-21,13,9139,1593,7.31,115,82,5.0
2024-01-22,13,16709,2083,13.37,95,84,6.0
2024-01-23,13,19513,1979,15.61,97,67,5.4
2024-01-24,13,17975,3065,14.38,109,65,6.4
2024-01-25,13,7428,2470,5.94,117,93,6.1
2024-01-26,13,13131,2421,10.5,118,63,6.9
2024-01-27,13,15991,1638,12.79,106,63,7.5
2024-01-28,13,13217,2685,10.57,100,82,4.2
2024-01-29,13,9027,1860,7.22,54,72,7.0
2024-01-30,13,15387,1763,12.31,64,87,6.0
2024-01-01,14,12075,2321,9.66,110,83,5.0
2024-01-02,14,12872,3263,10.3,53,99,7.6
2024-01-03,14,4905,3082,3.92,71,99,4.5
2024-01-04,14,19827,3191,15.86,109,80,6.1
2024-01-05,14,4885,3095,3.91,102,96,8.5
2024-01-06,14,5650,1660,4.52,115,77,4.7
2024-01-07,14,16776,2342,13.42,96,78,8.1
2024-01-08,14,17062,3361,13.65,114,81,6.0
2024-01-09,14,17068,2707,13.65,73,78,7.7
2024-01-10,14,16005,1571,12.8,51,76,5.7
2024-01-11,14,8232,2745,6.59,116,66,6.2
2024-01-12,14,10274,2100,8.22,101,99,8.7
2024-01-13,14,15429,1662,12.34,55,73,7.4
2024-01-14,14,16071,2278,12.86,81,83,8.8
2024-01-15,14,19784,1541,15.83,69,88,7.8
2024-01-16,14,13426,2795,10.74,73,60,7.9
2024-01-17,14,12410,1747,9.93,67,87,8.0
2024-01-18,14,4737,2341,3.79,50,61,8.0
2024-01-19,14,5753,3183,4.6,105,97,5.0
2024-01-20,14,12470,2663,9.98,80,98,7.5
2024-01-21,14,9822,2931,7.86,62,72,8.5
2024-01-22,14,19890,2916,15.91,33,74,8.1
2024-01-23,14,11606,1849,9.28,74,83,5.6
2024-01-24,14,17771,2338,14.22,107,89,4.8
2024-01-25,14,7923,2789,6.34,73,67,9.0
2024-01-26,14,10135,3235,8.11,101,84,6.0
2024-01-27,14,5662,1538,4.53,47,73,8.2
2024-01-28,14,15100,2027,12.08,43,99,5.8
2024-01-29,14,6224,2085,4.98,118,76,4.9
2024-01-30,14,6998,1824,5.6,41,96,5.7
2024-01-01,15,9806,2727,7.84,95,63,5.0
2024-01-02,15,12247,2139,9.8,108,97,6.0
2024-01-03,15,16863,1518,13.49,30,74,5.0
2024-01-04,15,19753,2149,15.8,47,64,6.0
2024-01-05,15,5135,3488,4.11,108,73,4.9
2024-01-06,15,17517,2833,14.01,87,85,6.2
2024-01-07,15,17517,1913,14.01,60,68,4.8
2024-01-08,15,10113,3261,8.09,72,84,5.3
2024-01-09,15,4687,2138,3.75,77,65,5.2
2024-01-10,15,3478,1652,2.78,78,73,6.3
2024-01-11,15,14306,1511,11.44,34,88,5.8
2024-01-12,15,5698,1649,4.56,32,70,5.1
2024-01-13,15,18170,2111,14.54,87,100,4.4
2024-01-14,15,4493,2989,3.59,54,68,4.6
2024-01-15,15,17662,1728,14.13,106,95,7.2
2024-01-16,15,13422,1506,10.74,31,63,5.6
2024-01-17,15,4862,3162,3.89,63,82,6.4
2024-01-18,15,14792,1786,11.83,69,63,7.3
2024-01-19,15,10155,1940,8.12,108,70,8.6
2024-01-20,15,3083,2735,2.47,51,98,6.8
2024-01-21,15,15829,3122,12.66,86,80,7.8
2024-01-22,15,13483,3190,10.79,115,69,8.8
2024-01-23,15,19296,2643,15.44,83,66,6.3
2024-01-24,15,12976,2724,10.38,89,88,6.6
2024-01-25,15,11959,2196,9.57,74,73,5.2
2024-01-26,15,3620,2556,2.9,83,84,9.0
2024-01-27,15,18570,2659,14.86,99,63,5.3
2024-01-28,15,8407,1513,6.73,92,82,8.6
2024-01-29,15,13798,3277,11.04,53,67,6.9
2024-01-30,15,18418,2758,14.73,104,63,6.9
2024-01-01,16,19943,1939,15.95,63,72,4.4
2024-01-02,16,10038,2556,8.03,67,80,5.3
2024-01-03,16,18226,2624,14.58,57,80,4.6
2024-01-04,16,4073,2222,3.26,52,97,5.2
2024-01-05,16,14747,2814,11.8,99,69,7.4
2024-01-06,16,11056,2457,8.84,58,84,7.8
2024-01-07,16,18174,3138,14.54,53,62,8.3
2024-01-08,16,10323,2928,8.26,115,74,8.7
2024-01-09,16,3727,2280,2.98,41,85,4.2
2024-01-10,16,3683,3069,2.95,45,63,4.4
2024-01-11,16,14244,2047,11.4,51,82,4.0
2024-01-12,16,18541,2853,14.83,93,99,4.6
2024-01-13,16,15386,3478,12.31,76,87,7.0
2024-01-14,16,10572,2575,8.46,98,84,5.4
2024-01-15,16,14397,2453,11.52,58,60,5.5
2024-01-16,16,4767,2596,3.81,102,95,6.7
2024-01-17,16,10788,2462,8.63,41,99,8.6
2024-01-18,16,16276,2595,13.02,77,68,6.4
2024-01-19,16,15790,3078,12.63,106,100,5.5
2024-01-20,16,10974,2051,8.78,115,85,4.4
2024-01-21,16,9593,2016,7.67,115,70,5.2
2024-01-22,16,10524,2347,8.42,54,70,4.5
2024-01-23,16,3012,1893,2.41,41,96,8.1
2024-01-24,16,9561,2793,7.65,85,90,8.4
2024-01-25,16,13588,1562,10.87,41,67,7.4
2024-01-26,16,9773,1790,7.82,67,88,8.8
2024-01-27,16,7489,2946,5.99,50,60,8.3
2024-01-28,16,4001,1924,3.2,48,98,4.6
2024-01-29,16,16051,1508,12.84,45,76,8.0
2024-01-30,16,12473,2814,9.98,72,91,7.3
2024-01-01,17,14983,3376,11.99,107,88,8.1
2024-01-02,17,10887,2427,8.71,43,91,5.4
2024-01-03,17,7909,3263,6.33,82,98,7.7
2024-01-04,17,19703,2842,15.76,119,66,5.1
2024-01-05,17,3068,2838,2.45,31,85,4.6
2024-01-06,17,9679,2024,7.74,60,95,5.8
2024-01-07,17,3337,1566,2.67,34,98,6.5
2024-01-08,17,19939,3078,15.95,54,66,7.8
2024-01-09,17,10682,3280,8.55,36,90,6.6
2024-01-10,17,13496,2210,10.8,30,76,8.1
2024-01-11,17,7906,3034,6.32,109,97,4.1
2024-01-12,17,13059,3291,10.45,89,89,5.3
2024-01-13,17,7457,1898,5.97,59,67,6.8
2024-01-14,17,9920,2026,7.94,90,99,5.5
2024-01-15,17,9154,2135,7.32,77,62,7.3
2024-01-16,17,15480,2798,12.38,101,74,7.8
2024-01-17,17,14139,2786,11.31,106,77,7.5
2024-01-18,17,9543,1568,7.63,116,98,4.2
2024-01-19,17,14202,2982,11.36,48,95,8.9
2024-01-20,17,18933,2576,15.15,109,65,5.3
2024-01-21,17,5306,3091,4.24,118,67,7.0
2024-01-22,17,16186,2075,12.95,76,60,5.5
2024-01-23,17,14590,2304,11.67,109,97,6.4
2024-01-24,17,15113,3477,12.09,33,66,5.4
2024-01-25,17,18454,2718,14.76,117,79,4.9
2024-01-26,17,19920,3147,15.94,62,99,6.4
2024-01-27,17,7240,3358,5.79,54,64,4.5
2024-01-28,17,19710,2043,15.77,83,90,7.5
2024-01-29,17,5632,2230,4.51,87,67,7.5
2024-01-30,17,9674,2380,7.74,104,90,8.3
2024-01-01,18,7281,1805,5.82,81,88,6.4
2024-01-02,18,5003,2989,4.0,101,89,6.2
2024-01-03,18,18914,2444,15.13,100,98,7.8
2024-01-04,18,13969,3000,11.18,76,96,7.3
2024-01-05,18,11140,2856,8.91,58,73,8.2
