,Name,Top Critics Reviews,Rotten/Fresh,Date
26,Philip De Semlyen,"With a 3D conversion from the medium's pioneer-in-chief, Titanic is a big-screen romance that's every bit as epic as you remember.",fresh,"April 4, 2012"
27,R. Kurt Osenlund,"The re-release is keenly timed with the 100th anniversary of the actual sinking of the RMS Titanic, yet another factor to validate the 3D film's existence.",fresh,"April 4, 2012"
28,Claudia Puig,"Sure, it's corny, but there's something endearing about the tale of young love and its earnest lack of irony.",fresh,"April 4, 2012"
29,Robbie Collin,"Cameron's detractors grouse about his use of scale and spectacle to invest archetypal, even clichd stories with an extra, unearned emotional significance. They're absolutely right, with one crucial caveat: there's absolutely nothing unearned about it.",fresh,"April 4, 2012"
30,Joe Neumaier,"Like Kathy Bates' ""unsinkable"" Molly Brown, ""Titanic"" is unabashedly American: It's big, brash and sometimes gauche, yet also unapologetically earnest, amazing to look at and devoted to its own cause. And it knows how to win us over.",fresh,"April 4, 2012"
31,Liam Lacey,"Overall, for a blockbuster movie about one great big thing hitting another great big thing, the new film shows distinctly upper-deck restraint.",fresh,"April 4, 2012"
32,Peter Howell,"The letdown factor has been most keenly felt in conversions from 2D, but Titanic 3D shows how the ambition can be realized if the will and skill are there. We can only hope that other filmmakers follow Cameron's example.",fresh,"April 3, 2012"
33,Nick Pinkerton,"But the power of Titanic didn't come from originality; it came from punching clichs across with a seldom-seen directness and sincerity that seemed pure of heart, ""old-fashioned,"" or plain corny, depending on your perspective.",fresh,"April 3, 2012"
34,Lou Lumenick,"James Cameron's spectacular new 3-D version of ""Titanic'' is everything I'd hoped for, and more.",fresh,"April 3, 2012"
35,Rene Rodriguez,"Here is a rare opportunity to return to something you once loved, and discover it still holds up, no apologies necessary.",fresh,"April 2, 2012"
36,Paul Byrnes,"Turns out hubris and greed float, like sorrow.",fresh,"March 28, 2012"
37,David Edelstein,Now it can be told: The Titanic went down because of two distracting smoochers on the poop deck.,rotten,"January 29, 2008"
38,Todd McCarthy,A spectacular demonstration of what modern technology can contribute to dramatic storytelling.,fresh,"January 29, 2008"
39,Desson Thomson,"Titanic is a good, often stunning movie caught in a three-and-a-half hour drift.",rotten,"January 29, 2008"
40,Stephen Hunter,This is Cameron at his best.,fresh,"January 29, 2008"
41,David Ansen,"Titanic is big, bold, touchingly uncynical filmmaking.",fresh,"January 29, 2008"
42,Andrew Sarris,Titanic runs well enough in the backstretch of intrigue and contrivance to cross the finish line well ahead of all but a few of the screen's superspectacles in this century.,fresh,"April 27, 2007"
43,Steven D. Greydanus,"Perhaps the most melancholy thing about Titanic is its celebration of romantic ideals to the exclusion of such self-denying virtues as honor, duty, and heroism.",rotten,"October 27, 2006"
44,Geoff Andrew,"Cost: well over $200m. Disregarding the ethics of such expenditure on a film, this unprecedented extravagance has not resulted in sophisticated or even very satisfying storytelling.",rotten,"February 9, 2006"
45,Douglas Pratt,A grand and classy production.,fresh,"December 6, 2005"
46,Eric Henderson,It's something of an ingenuous revision of the standard disaster movie.,fresh,"October 23, 2005"
47,Rick Groen,Titanic is awesome even when it's awful -- you can't take your eyes off the extraordinary thing.,fresh,"April 12, 2002"
48,Almar Haflidason,Despite its failings it's hard not to become swept up in the sheer grandeur of Titanic.,fresh,"April 17, 2001"
49,Kenneth Turan,"A hackneyed, completely derivative copy of old Hollywood romances, a movie that reeks of phoniness and lacks even minimal originality.",rotten,"February 14, 2001"
50,Jay Carr,"Titanic is big-budget spectacle and director Cameron brings it off with high-tech bravura, placing us aboard the ship in real time.",fresh,"January 1, 2000"
51,Mike Clark,"Credit Cameron for locating that latitude-longitude spot where haunting loss intersects with sheer cinematic braggadocio. His movie may not be perfect, but visually and viscerally, it pretty well is.",fresh,"January 1, 2000"
52,James Berardinelli,"You don't just watch Titanic, you experience it.",fresh,"January 1, 2000"
53,Marc Savlov,"It's still by far and away a grand, gorgeous, breathtaking spectacle.",fresh,"January 1, 2000"
54,John Hartl,"No other film has made the horror of the ship's sinking so palpable, and none other has dared to dramatize the night of the living dead that followed after it sank beneath the North Atlantic.",fresh,"January 1, 2000"
55,Stephanie Zacharek,Glub glub glub.,rotten,"January 1, 2000"
56,Jonathan Rosenbaum,"All things considered, Titanic is old-fashioned epic filmmaking that carries a wallop.",fresh,"January 1, 2000"
57,Roger Ebert,"James Cameron's 194-minute, $200 million film of the tragic voyage is in the tradition of the great Hollywood epics. It is flawlessly crafted, intelligently constructed, strongly acted and spellbinding.",fresh,"January 1, 2000"
58,Michael Wilmington,"Titanic is a film that sweeps us away into a world of spectacle, beauty and excitement.",fresh,"January 1, 2000"
59,Owen Gleiberman,A lush and terrifying spectacle of romantic doom.,fresh,"January 1, 2000"
60,Janet Maslin,"Cameron succeeds magically in linking his film's young lovers, played enchantingly by Leonardo DiCaprio and Kate Winslet.",fresh,"January 1, 2000"
61,Nell Minow,The movie raises important questions about choices faced by the characters.,fresh,"January 1, 2000"
62,Adam Smith,"James Cameron has gone and delivered a spectacular, moving, utterly engrossing three-and-a-bit hour epic.",fresh,"January 1, 2000"
63,Jeff Millar,Titanic will give you your money's worth.,fresh,"January 1, 2000"
64,Tom Keogh,The would-be emotional centerpiece of his three-hours-plus adventure flick is the most juvenile romantic tale of 1997.,rotten,"January 1, 2000"
65,Peter Rainer,There's a lot to like here.,fresh,"January 1, 2000"
66,Peter Brunette,The disaster is definitely worth the wait.,fresh,"January 1, 2000"
67,Stanley Kauffmann,"Bursting through gaps in the hull, rushing down corridors, licking at rooms, triumphing over great ballrooms and tiny closets, down stairways and into elevators, the sea, in the hands of Cameron and his technical associates, becomes hungry, vindictive.",fresh,"January 1, 2000"
68,Robert Horton,"Like it or hate it, Titanic lives and breathes as a piece of pure cinema.",fresh,"January 1, 2000"
69,Susan Stark,"As spectacle, Titanic sets a new standard; as romantic drama, it's substandard.",rotten,"January 1, 2000"
70,Mick LaSalle,"The last hour of Titanic is huge and staggering, but there's no horror in it.",rotten,"January 1, 2000"
71,Richard Corliss,The regretful verdict here: dead in the water.,rotten,"January 1, 2000"
