Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
71.0,7276.0,8942.0,Salaried,49.0,Single,3.0,637.0,4.0,0.41,4239.0,14688.0,3340.0,,Home,Rural,Not Graduate,Male,Private,No
72.0,18448.0,1762.0,Contract,42.0,Married,2.0,753.0,3.0,0.11,12128.0,23457.0,27179.0,24.0,Business,Semiurban,Graduate,Male,Private,Yes
73.0,18216.0,7101.0,Salaried,29.0,Married,3.0,565.0,4.0,0.2,15856.0,,28873.0,12.0,Education,Urban,Graduate,Male,Government,No
74.0,10006.0,7674.0,Salaried,,Married,3.0,700.0,0.0,0.35,9611.0,39895.0,39057.0,60.0,Education,,Graduate,Male,Government,Yes
75.0,4568.0,6122.0,Salaried,30.0,Single,3.0,717.0,2.0,0.58,4150.0,29960.0,1597.0,36.0,Education,Rural,Not Graduate,Female,Business,No
76.0,4027.0,481.0,Salaried,56.0,Married,1.0,737.0,2.0,0.29,11109.0,36486.0,30119.0,36.0,,Urban,Not Graduate,Male,Private,No
77.0,4695.0,153.0,Salaried,57.0,Single,2.0,622.0,3.0,0.31,1446.0,22159.0,16025.0,84.0,Personal,Rural,Not Graduate,Male,Business,No
,17422.0,7617.0,Unemployed,48.0,Married,2.0,581.0,4.0,0.46,11936.0,7910.0,8145.0,84.0,Business,Rural,Not Graduate,Female,Business,No
79.0,7258.0,1524.0,Self-employed,48.0,Single,0.0,564.0,1.0,0.4,11036.0,2693.0,36670.0,24.0,Car,Rural,Graduate,Male,Private,No
80.0,8736.0,2120.0,Self-employed,41.0,Married,0.0,778.0,4.0,0.25,6468.0,49777.0,8694.0,72.0,Education,Urban,,Female,Government,Yes
81.0,,2343.0,Salaried,44.0,Single,0.0,690.0,0.0,0.31,,15858.0,5830.0,84.0,Business,Rural,Not Graduate,Male,Private,No
,15986.0,5136.0,Salaried,22.0,Married,0.0,554.0,1.0,0.21,4175.0,28810.0,24930.0,48.0,Car,Rural,Graduate,Male,Private,No
83.0,14666.0,5760.0,Salaried,28.0,Single,2.0,752.0,2.0,0.58,15390.0,20092.0,24752.0,60.0,Home,Semiurban,Graduate,Male,Government,No
84.0,7892.0,1240.0,Self-employed,47.0,Married,3.0,623.0,3.0,0.17,5080.0,23243.0,11489.0,,Education,Rural,Graduate,Male,Unemployed,No
85.0,5561.0,60.0,Salaried,42.0,Married,3.0,601.0,3.0,0.29,15471.0,48700.0,33692.0,36.0,,Semiurban,Not Graduate,Male,Private,No
86.0,8184.0,9130.0,,57.0,Married,1.0,626.0,2.0,0.11,14893.0,,16768.0,48.0,Home,Urban,Not Graduate,Male,Private,No
87.0,10392.0,1639.0,Self-employed,47.0,Single,3.0,718.0,0.0,0.21,17248.0,,3160.0,12.0,Education,Urban,Not Graduate,Male,Private,Yes
88.0,15067.0,6185.0,Salaried,49.0,Married,2.0,730.0,2.0,0.49,16009.0,28555.0,21133.0,60.0,Personal,Urban,Not Graduate,Male,Private,No
89.0,17265.0,7970.0,Salaried,23.0,Single,2.0,659.0,0.0,0.2,6217.0,6398.0,36690.0,48.0,Education,Urban,Not Graduate,Female,Government,Yes
90.0,4454.0,,Salaried,33.0,Married,,727.0,1.0,0.14,5672.0,7252.0,23870.0,12.0,Personal,Semiurban,Not Graduate,Female,Business,No
91.0,13837.0,4203.0,Unemployed,30.0,Married,1.0,692.0,2.0,0.34,1502.0,11721.0,25496.0,24.0,,Semiurban,Not Graduate,Male,Private,Yes
92.0,16039.0,8363.0,Self-employed,56.0,Married,0.0,655.0,0.0,0.1,1410.0,17939.0,37572.0,48.0,Personal,Urban,,Male,Unemployed,Yes
93.0,12965.0,9650.0,Salaried,29.0,Single,3.0,797.0,1.0,0.14,3770.0,11825.0,3368.0,60.0,Business,Urban,Graduate,Female,Private,Yes
94.0,11762.0,3549.0,Salaried,47.0,Single,2.0,676.0,2.0,0.5,10097.0,25251.0,37700.0,12.0,Business,Urban,Graduate,Female,MNC,No
95.0,7056.0,4197.0,Unemployed,54.0,Single,,556.0,3.0,0.49,4001.0,36955.0,30203.0,48.0,Personal,Semiurban,Not Graduate,Male,MNC,No
96.0,16948.0,7009.0,Self-employed,21.0,Married,0.0,589.0,2.0,0.56,19867.0,,12552.0,24.0,Home,Urban,Graduate,,Government,No
97.0,10110.0,6667.0,Salaried,52.0,Single,2.0,705.0,4.0,0.53,598.0,36.0,6608.0,48.0,Personal,Urban,Graduate,Male,Private,No
98.0,15773.0,2322.0,Contract,45.0,Single,3.0,709.0,2.0,0.44,,28412.0,23485.0,12.0,Car,Urban,Graduate,Male,Government,No
99.0,,,Salaried,49.0,Married,1.0,,4.0,0.13,19425.0,18171.0,10862.0,,Personal,Urban,Graduate,Female,Business,No
100.0,2502.0,4090.0,Self-employed,27.0,Single,2.0,692.0,1.0,0.49,6391.0,39051.0,39299.0,60.0,Business,Semiurban,Graduate,,MNC,No
101.0,8910.0,6960.0,Self-employed,23.0,Single,3.0,789.0,2.0,0.52,16450.0,32761.0,11412.0,36.0,Business,Urban,Graduate,Female,Government,
102.0,14685.0,3004.0,Salaried,40.0,Single,2.0,777.0,1.0,0.5,14908.0,15202.0,22354.0,12.0,Car,Urban,Graduate,Male,Government,No
103.0,2206.0,5136.0,Unemployed,40.0,Single,0.0,634.0,1.0,0.35,11590.0,8060.0,7344.0,12.0,Car,Urban,Graduate,Male,MNC,No
104.0,19868.0,329.0,Contract,50.0,Married,2.0,747.0,0.0,0.22,16279.0,8065.0,18993.0,12.0,Education,Urban,Graduate,Female,Unemployed,Yes
105.0,17934.0,3640.0,Self-employed,55.0,Married,2.0,614.0,1.0,0.52,2750.0,29873.0,29682.0,12.0,Home,Rural,Graduate,Male,Business,No
106.0,19247.0,7982.0,Salaried,55.0,Single,1.0,681.0,1.0,0.46,9916.0,36648.0,29415.0,48.0,Home,Urban,Graduate,Male,MNC,No
107.0,10755.0,4107.0,Salaried,59.0,Married,0.0,560.0,2.0,,6806.0,5932.0,20323.0,60.0,Home,Urban,Graduate,,Government,No
108.0,14383.0,1341.0,Salaried,47.0,Single,0.0,657.0,2.0,0.18,6429.0,26470.0,18997.0,24.0,Business,Semiurban,Graduate,Male,Business,Yes
,16820.0,8407.0,Contract,46.0,Single,1.0,,3.0,0.21,8123.0,8328.0,4679.0,60.0,Home,Urban,Graduate,Male,,No
110.0,9574.0,338.0,Salaried,34.0,Single,2.0,738.0,0.0,0.21,18015.0,6333.0,30489.0,12.0,Education,Rural,Not Graduate,Male,Business,Yes
111.0,8374.0,5895.0,Self-employed,37.0,Single,3.0,714.0,1.0,0.5,6452.0,46638.0,10488.0,72.0,Education,Urban,Graduate,Female,,No
112.0,3678.0,2708.0,Contract,38.0,Married,0.0,700.0,0.0,0.19,17158.0,11268.0,4996.0,48.0,Home,Urban,Graduate,Female,Government,Yes
113.0,3059.0,1750.0,Salaried,49.0,Married,0.0,770.0,4.0,0.13,15456.0,5067.0,6695.0,72.0,Car,Rural,Graduate,Male,Government,No
114.0,18198.0,5604.0,Self-employed,40.0,Married,2.0,634.0,1.0,0.6,4019.0,48384.0,31204.0,48.0,Education,Semiurban,Graduate,Female,Private,No
115.0,11914.0,2421.0,Salaried,47.0,Married,,789.0,0.0,0.11,12419.0,,,12.0,Car,Rural,Graduate,Male,Private,Yes
116.0,12817.0,7119.0,Unemployed,38.0,Married,0.0,786.0,3.0,0.52,929.0,17045.0,15235.0,48.0,Business,Urban,Graduate,Male,MNC,No
117.0,12921.0,8901.0,Salaried,24.0,Married,2.0,786.0,3.0,0.28,19396.0,,3366.0,12.0,Education,Urban,Graduate,Female,Government,Yes
118.0,11789.0,5319.0,Salaried,21.0,Single,3.0,790.0,1.0,0.52,6264.0,22770.0,28467.0,60.0,Car,Urban,Graduate,Male,Private,No
119.0,18312.0,6609.0,Salaried,21.0,Single,0.0,768.0,4.0,0.38,7973.0,42770.0,7764.0,84.0,Home,Rural,Graduate,Male,MNC,Yes
120.0,13252.0,5387.0,Salaried,46.0,,3.0,780.0,3.0,0.55,9697.0,7887.0,,36.0,Business,Rural,,Female,MNC,No
121.0,4693.0,3993.0,Contract,40.0,Married,3.0,,3.0,0.56,11136.0,33182.0,32923.0,48.0,Personal,Urban,Graduate,Female,Government,No
,15931.0,8680.0,Contract,43.0,Single,2.0,754.0,4.0,,19203.0,32370.0,31175.0,12.0,Personal,Rural,Not Graduate,Male,Private,Yes
123.0,5627.0,8044.0,Self-employed,30.0,Married,3.0,700.0,0.0,0.14,1184.0,39618.0,17292.0,72.0,Home,Rural,Graduate,Male,,
124.0,18157.0,8238.0,Salaried,31.0,Married,2.0,672.0,3.0,0.23,16911.0,24918.0,2614.0,12.0,Business,Urban,Graduate,Male,MNC,Yes
125.0,12173.0,4873.0,,25.0,Married,1.0,,2.0,0.43,916.0,35497.0,21939.0,72.0,Business,,Graduate,Male,Private,No
126.0,12230.0,4806.0,Salaried,21.0,Married,2.0,771.0,3.0,0.54,3574.0,28026.0,,48.0,Business,Urban,Not Graduate,Male,Private,No
127.0,17707.0,8592.0,Self-employed,,Married,3.0,738.0,0.0,0.33,3319.0,11929.0,24246.0,24.0,Business,Urban,Graduate,Male,Government,Yes
128.0,13494.0,5913.0,Contract,42.0,Single,1.0,617.0,0.0,0.4,17790.0,47756.0,32688.0,72.0,Personal,Semiurban,Graduate,Female,Business,No
129.0,3306.0,7124.0,Salaried,54.0,Married,2.0,653.0,1.0,0.19,17625.0,36665.0,28962.0,12.0,,Urban,Graduate,Male,Private,No
130.0,8776.0,3157.0,Salaried,49.0,Married,3.0,629.0,2.0,0.5,5206.0,34937.0,30764.0,48.0,Business,Urban,Graduate,Male,Government,No
131.0,11474.0,390.0,Self-employed,24.0,Married,0.0,708.0,,0.58,19517.0,13563.0,33470.0,12.0,Car,Rural,Not Graduate,Male,Government,No
132.0,9526.0,,Contract,25.0,Married,0.0,602.0,4.0,0.23,17182.0,28546.0,39501.0,24.0,Business,Semiurban,Graduate,Male,MNC,No
133.0,7530.0,8820.0,Contract,31.0,Single,2.0,,2.0,,17907.0,12888.0,,36.0,Education,Semiurban,Graduate,Female,Government,Yes
134.0,5748.0,7686.0,Contract,41.0,Single,2.0,702.0,2.0,0.14,4928.0,37338.0,23072.0,,Education,Rural,,Male,Government,Yes
,15545.0,4232.0,Salaried,55.0,Single,0.0,593.0,4.0,0.38,16105.0,34283.0,29242.0,84.0,Education,Urban,Graduate,Female,Unemployed,No
136.0,2663.0,8007.0,Salaried,32.0,Married,3.0,689.0,3.0,0.35,2888.0,16958.0,38132.0,24.0,Business,Semiurban,Graduate,Female,Private,No
137.0,3998.0,1521.0,Contract,46.0,Single,3.0,639.0,4.0,0.17,2690.0,12634.0,18861.0,60.0,Car,Rural,Graduate,Female,Private,No
138.0,9994.0,9018.0,Self-employed,39.0,Single,3.0,,4.0,0.32,4091.0,19251.0,5960.0,48.0,,Urban,Graduate,Male,MNC,No
139.0,19879.0,1500.0,,27.0,Single,2.0,789.0,3.0,0.27,13960.0,46566.0,19781.0,24.0,Home,Semiurban,Not Graduate,Female,Private,Yes
140.0,5304.0,6737.0,Contract,27.0,Married,1.0,646.0,3.0,0.36,690.0,19928.0,32126.0,36.0,Personal,Urban,Graduate,Male,MNC,No
141.0,15808.0,3294.0,Contract,46.0,Married,1.0,769.0,3.0,0.39,1495.0,37245.0,23578.0,12.0,Business,Urban,Not Graduate,Male,Private,Yes
142.0,8585.0,,,25.0,Married,1.0,558.0,3.0,0.1,11085.0,16455.0,18883.0,48.0,Education,Semiurban,Graduate,Male,,No
143.0,19675.0,2419.0,Self-employed,41.0,Single,1.0,561.0,3.0,0.48,17276.0,27144.0,30782.0,72.0,Education,Rural,Graduate,Male,Unemployed,No
144.0,13649.0,9126.0,Salaried,,Married,1.0,618.0,4.0,0.46,10720.0,28013.0,17979.0,24.0,Car,Urban,Graduate,Male,Government,No
145.0,3636.0,3042.0,Self-employed,24.0,Married,2.0,731.0,1.0,0.28,5873.0,21876.0,34746.0,36.0,Business,Urban,Not Graduate,Male,Business,No
146.0,19082.0,4497.0,Self-employed,43.0,Single,2.0,793.0,1.0,0.13,4503.0,26962.0,1730.0,24.0,Personal,Rural,Graduate,Male,Private,Yes
147.0,6737.0,1466.0,Contract,40.0,Single,1.0,731.0,0.0,0.48,11720.0,28084.0,1056.0,60.0,Business,Urban,Graduate,Female,Private,No
148.0,16555.0,3561.0,Contract,35.0,Single,2.0,577.0,1.0,0.58,13964.0,42319.0,32457.0,84.0,Business,Urban,Graduate,Male,MNC,No
149.0,15877.0,,Contract,49.0,Married,2.0,605.0,1.0,0.22,897.0,21143.0,,84.0,Education,Rural,Not Graduate,Male,Private,No
150.0,2854.0,5392.0,Salaried,28.0,Single,1.0,648.0,4.0,0.26,17094.0,26091.0,2701.0,48.0,Personal,Semiurban,Graduate,Female,Government,No
151.0,7855.0,7693.0,Contract,39.0,,3.0,746.0,3.0,0.19,3695.0,14179.0,,12.0,,Rural,Graduate,Male,Private,Yes
152.0,9392.0,9374.0,Contract,59.0,Married,2.0,,3.0,,2686.0,32807.0,16100.0,36.0,Education,Rural,Graduate,Female,Private,Yes
153.0,15949.0,3223.0,Self-employed,48.0,Married,3.0,659.0,4.0,0.18,5778.0,10222.0,1947.0,24.0,Personal,Rural,Not Graduate,Female,MNC,Yes
154.0,7791.0,7138.0,Contract,47.0,Married,2.0,775.0,1.0,0.28,,23949.0,21505.0,48.0,,Rural,Not Graduate,Male,MNC,Yes
155.0,6931.0,2667.0,Contract,24.0,Married,2.0,626.0,4.0,0.45,16799.0,16116.0,7553.0,24.0,Education,Urban,Graduate,Male,Business,No
156.0,2202.0,7980.0,Salaried,35.0,Single,1.0,652.0,0.0,0.38,9663.0,48817.0,34525.0,48.0,Car,,,Female,Business,No
157.0,13447.0,130.0,Self-employed,55.0,Married,2.0,655.0,3.0,0.29,4180.0,37564.0,15866.0,84.0,Education,Urban,Not Graduate,Female,Government,Yes
158.0,14688.0,2983.0,Salaried,57.0,Single,0.0,658.0,,0.31,4262.0,37374.0,31472.0,60.0,Business,Urban,Not Graduate,Female,Government,Yes
159.0,6389.0,,Salaried,,Married,0.0,661.0,0.0,0.38,2515.0,17667.0,6651.0,24.0,Personal,Urban,Graduate,Male,Business,Yes
160.0,4327.0,7126.0,Self-employed,23.0,Married,1.0,607.0,0.0,0.1,11236.0,8775.0,8273.0,60.0,Car,Rural,Not Graduate,Female,Private,No
161.0,10004.0,8230.0,Contract,44.0,Married,3.0,627.0,4.0,0.14,14104.0,29655.0,11033.0,72.0,Education,Urban,Graduate,Male,Private,No
162.0,9777.0,7694.0,Salaried,47.0,Married,3.0,624.0,1.0,0.54,6616.0,47632.0,4535.0,72.0,Car,Urban,Graduate,Male,Unemployed,No
163.0,2197.0,6640.0,Salaried,56.0,Married,3.0,,,0.14,17376.0,14193.0,19677.0,84.0,Education,Rural,Not Graduate,Male,Private,No
164.0,3930.0,5468.0,Self-employed,54.0,Married,0.0,715.0,2.0,0.45,4370.0,14676.0,18488.0,36.0,Education,Semiurban,Graduate,Male,Private,No
165.0,13774.0,920.0,Salaried,49.0,Married,3.0,617.0,0.0,0.56,18157.0,30776.0,1908.0,60.0,Home,Rural,Not Graduate,Female,Government,No
166.0,17087.0,7564.0,Salaried,44.0,Married,3.0,,2.0,0.24,19945.0,43225.0,5617.0,48.0,Home,Urban,Graduate,Female,Business,Yes
,11339.0,8684.0,Salaried,44.0,Married,1.0,582.0,1.0,0.29,3816.0,17199.0,31431.0,36.0,Home,Urban,Graduate,Female,Government,No
168.0,13589.0,9323.0,Salaried,24.0,Single,3.0,620.0,1.0,0.38,1756.0,48812.0,24453.0,24.0,Car,Rural,Not Graduate,Male,Private,No
169.0,17708.0,8502.0,Salaried,23.0,Married,0.0,605.0,2.0,0.54,2373.0,15066.0,36079.0,24.0,Business,Urban,Graduate,Male,Unemployed,No
170.0,19043.0,8930.0,Salaried,54.0,Single,0.0,654.0,3.0,,2576.0,18895.0,17020.0,,Education,Rural,Graduate,Female,Business,No
171.0,4811.0,3241.0,Salaried,43.0,Single,0.0,749.0,1.0,0.47,4184.0,246.0,27562.0,12.0,Personal,Urban,Not Graduate,Male,MNC,No
