Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,"17,43,00,000",Non-English,Show
Murder Mystery 2,Yes,2023-03-31,"17,36,00,000",English,Movie
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,"17,24,00,000",English,Show
"Pablo Escobar, el patrón del mal: Season 1",Yes,,"17,01,00,000",Non-English,Show
Never Have I Ever: Season 4,Yes,2023-06-08,"16,83,00,000",English,Show
Your Place or Mine,Yes,2023-02-10,"16,30,00,000",English,Movie
Chiquititas (2013),No,,"16,20,00,000",English,Movie
Emily in Paris: Season 3,Yes,2022-12-21,"16,11,00,000",English,Show
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,"15,76,00,000",Japanese,Show
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,"15,53,00,000",Korean,Movie
Outer Banks: Season 2,Yes,2021-07-30,"15,39,00,000",English,Show
New Amsterdam (2018): Season 1,No,,"15,30,00,000",English,Show
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,"15,21,00,000",English,Show
Mr. Queen // 철인왕후,No,,"15,15,00,000",Korean,Movie
Manifest: Season 1,No,2021-06-10,"15,14,00,000",English,Show
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,"15,02,00,000",Korean,Movie
PAW Patrol: Season 6,No,,"14,93,00,000",English,Show
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,"14,86,00,000",Korean,Movie
The Recruit: Season 1,Yes,2022-12-16,"14,69,00,000",English,Show
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,"14,67,00,000",Korean,Show
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,"14,29,00,000",English,Movie
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,"14,01,00,000",Non-English,Show
Black Mirror: Season 6,Yes,2023-06-15,"13,99,00,000",English,Show
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,"13,93,00,000",Non-English,Show
The Walking Dead: Season 11,No,,"13,68,00,000",English,Show
Bridgerton: Season 1,Yes,2020-12-25,"13,66,00,000",English,Show
CoComelon: Season 1,No,2020-05-31,"13,62,00,000",English,Show
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,"13,59,00,000",Korean,Show
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,"13,48,00,000",English,Show
Stranger Things 4,Yes,2022-05-27,"13,36,00,000",English,Movie
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,"13,35,00,000",Non-English,Show
Bridgerton: Season 2,Yes,2022-03-25,"13,34,00,000",English,Show
Little Angel: Volume 1,Yes,,"13,21,00,000",English,Movie
PAW Patrol: Season 5,No,,"13,07,00,000",English,Show
Pasión de Gavilanes: Season 1,No,,"12,92,00,000",Non-English,Show
Suits (2011): Season 1,Yes,,"12,91,00,000",English,Show
Sex/Life: Season 1,Yes,2021-06-25,"12,64,00,000",English,Show
We Have a Ghost,Yes,2023-02-24,"12,44,00,000",English,Movie
You: Season 1,Yes,2018-12-26,"12,35,00,000",English,Show
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,"12,07,00,000",Korean,Show
The Pale Blue Eye,Yes,2023-01-06,"12,05,00,000",English,Movie
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,"12,03,00,000",Korean,Show
AKA,Yes,2023-04-28,"12,00,00,000",English,Movie
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,"11,89,00,000",English,Movie
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,"11,86,00,000",Korean,Show
Vikings: Valhalla: Season 1,Yes,2022-02-25,"11,65,00,000",English,Show
Breaking Bad: Season 2,No,,"11,62,00,000",English,Show
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,"11,58,00,000",English,Movie
Lockwood & Co.: Season 1,Yes,2023-01-27,"11,36,00,000",English,Show
You: Season 3,Yes,2021-10-15,"10,72,00,000",English,Show
Breaking Bad: Season 5,No,,"10,70,00,000",English,Show
Suits (2011): Season 2,Yes,,"10,66,00,000",English,Show
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,"10,46,00,000",English,Show
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,"10,45,00,000",Non-English,Show
Breaking Bad: Season 3,No,,"10,43,00,000",English,Show
Lucifer: Season 3,No,2017-10-03,"10,28,00,000",English,Show
CoComelon: Season 2,No,2020-12-17,"10,23,00,000",English,Show
Café con aroma de mujer: Season 1,No,2021-12-29,"10,17,00,000",Non-English,Show
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,"9,99,00,000",Korean,Show
The Blacklist: Season 1,No,,"9,99,00,000",English,Show
Shadow and Bone: Season 1,Yes,2021-04-23,"9,95,00,000",English,Show
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,"9,90,00,000",English,Show
Designated Survivor: Season 1,Yes,2016-09-22,"9,85,00,000",English,Show
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,"9,78,00,000",Korean,Movie
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,"9,76,00,000",Non-English,Show
Minions: The Rise of Gru,No,,"9,64,00,000",English,Movie
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,"9,58,00,000",Japanese,Movie
The Blacklist: Season 9,No,,"9,57,00,000",English,Show
That '90s Show: Part 1,Yes,2023-01-19,"9,51,00,000",English,Movie
You: Season 2,Yes,2019-12-26,"9,50,00,000",English,Show
La Reina del Sur: Season 1,No,2011-09-05,"9,47,00,000",English,Show
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,"9,46,00,000",Korean,Show
New Amsterdam (2018): Season 2,No,,"9,44,00,000",English,Show
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,"9,43,00,000",Korean,Show
Breaking Bad: Season 4,No,,"9,43,00,000",English,Show
Obsession: Limited Series,Yes,2023-04-13,"9,42,00,000",English,Movie
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,"9,29,00,000",Non-English,Movie
La Reina del Sur: Season 2,No,2019-08-16,"9,25,00,000",English,Show
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,"9,23,00,000",Non-English,Movie
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,"9,22,00,000",Japanese,Show
CoComelon: Season 3,No,2021-05-31,"9,14,00,000",English,Show
Firefly Lane: Season 1,Yes,2021-02-03,"9,12,00,000",English,Show
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,"9,08,00,000",Non-English,Movie
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,"9,02,00,000",English,Show
Sweet Tooth: Season 1,Yes,2021-06-04,"8,90,00,000",English,Show
S.W.A.T. (2017): Season 1,No,,"8,86,00,000",English,Show
Murder Mystery,Yes,2019-06-14,"8,79,00,000",English,Movie
True Beauty // 여신강림,No,,"8,73,00,000",Korean,Movie
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,"8,72,00,000",Korean,Show
Little Angel: Volume 2,Yes,,"8,62,00,000",English,Movie
Manifest: Season 2,No,2021-06-10,"8,62,00,000",English,Show
Extraction,Yes,2020-04-24,"8,61,00,000",English,Movie
Lucifer: Season 2,No,2017-08-31,"8,61,00,000",English,Show
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,"8,60,00,000",Non-English,Movie
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,"8,54,00,000",English,Show
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,"8,50,00,000",Non-English,Show
Florida Man: Limited Series,Yes,2023-04-13,"8,46,00,000",English,Movie
Lucifer: Season 1,No,2017-07-23,"8,44,00,000",English,Show
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,"8,36,00,000",Non-English,Show
Breaking Bad: Season 1,No,,"8,32,00,000",English,Show
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,"8,32,00,000",English,Movie
Selling Sunset: Season 6,Yes,2023-05-19,"8,28,00,000",English,Show
CoComelon: Season 4,No,2021-10-14,"8,25,00,000",English,Show
Suits (2011): Season 3,Yes,,"8,25,00,000",English,Show
Sam & Cat: Season 1,No,,"8,24,00,000",English,Show
Gilmore Girls: Season 1,Yes,,"8,21,00,000",English,Show
Sonic Prime: Season 1,Yes,2022-12-15,"8,21,00,000",English,Show
Peppa Pig: Season 1,No,,"8,18,00,000",English,Show
Manifest: Season 3,No,2021-08-21,"8,17,00,000",English,Show
Roald Dahl's Matilda The Musical,Yes,2022-12-25,"8,10,00,000",English,Movie
Better Call Saul: Season 6,No,2022-04-19,"8,08,00,000",English,Show
Sing (2016),No,,"8,05,00,000",English,Movie
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,"8,03,00,000",Japanese,Show
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,"8,00,00,000",English,Movie
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,"7,97,00,000",English,Show
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,"7,82,00,000",English,Show
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,"7,82,00,000",Japanese,Show
Chupa,Yes,2023-04-07,"7,78,00,000",English,Movie
Stranger Things,Yes,2016-07-15,"7,78,00,000",English,Movie
Paw Patrol: The Movie,No,,"7,72,00,000",English,Movie
Sing 2,No,,"7,66,00,000",English,Movie
The Crown: Season 5,Yes,2022-11-09,"7,63,00,000",English,Show
Next in Fashion: Season 2,Yes,2023-03-03,"7,57,00,000",English,Show
Gilmore Girls: Season 2,Yes,,"7,52,00,000",English,Show
Lucifer: Season 5,No,2020-08-21,"7,52,00,000",English,Show
The Boss Baby,No,,"7,51,00,000",English,Movie
Treason: Limited Series,Yes,2022-12-26,"7,43,00,000",English,Movie
Trolls,No,,"7,34,00,000",English,Movie
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,"7,33,00,000",English,Show
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,"7,31,00,000",English,Movie
Rough Diamonds: Season 1,Yes,2023-04-21,"7,28,00,000",English,Show
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20,"7,28,00,000",Korean,Show
The Walking Dead: Season 10,No,,"7,22,00,000",English,Show
The Witcher: Season 1,Yes,2019-12-20,"7,22,00,000",English,Show
Gabby's Dollhouse: Season 1,Yes,2021-01-05,"7,16,00,000",English,Show
The Walking Dead: Season 3,No,,"7,16,00,000",English,Show
Carrossel,No,,"7,13,00,000",English,Movie
Gilmore Girls: Season 3,Yes,,"7,13,00,000",English,Show
Red Rose: Season 1,Yes,2023-02-15,"7,11,00,000",English,Show
Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20,"7,10,00,000",Non-English,Show
New Amsterdam (2018): Season 3,No,,"7,06,00,000",English,Show
Gilmore Girls: Season 5,Yes,,"6,99,00,000",English,Show
Gilmore Girls: Season 4,Yes,,"6,98,00,000",English,Show
The Blacklist: Season 2,No,,"6,97,00,000",English,Show
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2023-03-04,"6,95,00,000",Korean,Movie
Stranger Things 2,Yes,2017-10-27,"6,92,00,000",English,Movie
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28,"6,90,00,000",Korean,Show
Love Is Blind: Season 3,Yes,2022-10-19,"6,89,00,000",English,Show
Kill Boksoon // 길복순,Yes,2023-03-31,"6,85,00,000",Korean,Movie
The Thundermans: Season 1,No,,"6,85,00,000",English,Show
The Flash (2014): Season 1,No,,"6,82,00,000",English,Show
Red Notice,Yes,2021-11-12,"6,81,00,000",English,Movie
Henry Danger: Season 1,No,,"6,78,00,000",English,Show
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17,"6,78,00,000",English,Show
The Walking Dead: Season 2,No,,"6,77,00,000",English,Show
Viking Wolf // Vikingulven,Yes,2023-02-03,"6,75,00,000",English,Movie
Designated Survivor: Season 2,Yes,2017-09-28,"6,72,00,000",English,Show
Bebefinn: Season 1,Yes,,"6,71,00,000",English,Show
Hotel Transylvania 2,No,,"6,70,00,000",English,Movie
Stranger Things 3,Yes,2019-07-04,"6,70,00,000",English,Movie
Masha and the Bear: Season 1,No,,"6,67,00,000",English,Show
Outlander: Season 1,No,2016-03-31,"6,65,00,000",English,Show
Grizzy and the Lemmings: Season 2,No,,"6,60,00,000",English,Show
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,"6,59,00,000",Korean,Show
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,"6,53,00,000",English,Movie
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,"6,52,00,000",English,Movie
The Watcher: Season 1,Yes,2022-10-13,"6,44,00,000",English,Show
Jumanji: The Next Level,No,,"6,43,00,000",English,Movie
Suits (2011): Season 4,Yes,,"6,42,00,000",English,Show
Gilmore Girls: Season 6,Yes,,"6,39,00,000",English,Show
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,"6,39,00,000",English,Show
All American: Season 5,No,,"6,37,00,000",English,Show
Peppa Pig: Season 2,No,,"6,37,00,000",English,Show
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,"6,35,00,000",English,Movie
The Blacklist: Season 3,No,,"6,35,00,000",English,Show
Narvik,No,2023-01-23,"6,31,00,000",English,Movie
Home (2015),No,,"6,28,00,000",English,Movie
The Sea Beast,Yes,2022-07-08,"6,27,00,000",English,Movie
The Walking Dead: Season 4,No,,"6,23,00,000",English,Show
Harry & Meghan: Limited Series,Yes,2022-12-08,"6,20,00,000",English,Movie
The Walking Dead: Season 5,No,,"6,20,00,000",English,Show
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,"6,18,00,000",English,Show
Dog Gone,Yes,2023-01-13,"6,16,00,000",English,Movie
Maid: Limited Series,Yes,2021-10-01,"6,15,00,000",English,Movie
Pasión de Gavilanes: Season 2,No,,"6,15,00,000",Non-English,Show
A Man Called Otto,No,,"6,13,00,000",English,Movie
Peaky Blinders: Season 1,No,2014-09-30,"6,11,00,000",English,Show
Victorious: Season 1,No,,"6,11,00,000",English,Show
Never Have I Ever: Season 1,Yes,2020-04-27,"6,10,00,000",English,Show
THE DAYS: Limited Series,No,2023-06-01,"6,08,00,000",English,Movie
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,"6,06,00,000",English,Show
Unseen: Season 1,Yes,2023-03-29,"6,01,00,000",English,Show
Narcos: Season 1,Yes,2015-08-28,"5,99,00,000",English,Show
The Walking Dead: Season 6,No,,"5,98,00,000",English,Show
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,"5,96,00,000",English,Movie
The Witcher: Season 2,Yes,2021-12-17,"5,93,00,000",English,Show
Sky Rojo: Season 3,Yes,2023-01-13,"5,85,00,000",English,Show
Young Lady and Gentleman // 신사와 아가씨,No,,"5,85,00,000",Korean,Movie
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,"5,83,00,000",English,Show
Never Have I Ever: Season 3,Yes,2022-08-12,"5,83,00,000",English,Show
The Gray Man,Yes,2022-07-22,"5,83,00,000",English,Movie
S.W.A.T. (2017): Season 2,No,,"5,79,00,000",English,Show
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,"5,78,00,000",Japanese,Movie
Brooklyn Nine-Nine: Season 1,No,,"5,75,00,000",English,Show
New Amsterdam (2018): Season 4,No,,"5,75,00,000",English,Show
Workin' Moms: Season 7,No,2023-04-26,"5,75,00,000",English,Show
Barbie Life in the Dreamhouse: Season 1,Yes,,"5,74,00,000",English,Show
The Walking Dead: Season 7,No,,"5,74,00,000",English,Show
The Blacklist: Season 8,No,,"5,70,00,000",English,Show
The Sandman: Season 1,Yes,2022-08-05,"5,67,00,000",English,Show
True Spirit,Yes,2023-02-03,"5,67,00,000",English,Movie
CoComelon: Season 5,No,2022-03-31,"5,66,00,000",English,Show
Gilmore Girls: Season 7,Yes,,"5,65,00,000",English,Show
The Strays,Yes,2023-02-22,"5,65,00,000",English,Movie
Suits (2011): Season 5,Yes,,"5,64,00,000",English,Show
The Croods,No,,"5,64,00,000",English,Movie
Grizzy and the Lemmings: Season 1,No,,"5,63,00,000",English,Show
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,"5,60,00,000",English,Show
Matilda (1996),No,,"5,57,00,000",English,Movie
Outlast: Season 1,Yes,2023-03-10,"5,55,00,000",English,Show
The Good Doctor: Season 1,No,,"5,55,00,000",English,Show
CoComelon: Season 7,No,2023-02-14,"5,52,00,000",English,Show
Jane The Virgin: Season 1,Yes,,"5,52,00,000",English,Show
The Blacklist: Season 4,No,,"5,52,00,000",English,Show
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,"5,51,00,000",Japanese,Show
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09,"5,50,00,000",English,Show
Brooklyn Nine-Nine: Season 2,No,,"5,48,00,000",English,Show
Carinha de Anjo: Season 1,No,,"5,44,00,000",English,Show
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31,"5,44,00,000",English,Show
The Circle: Season 5,Yes,2022-12-28,"5,44,00,000",English,Show
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,"5,38,00,000",English,Show
Never Have I Ever: Season 2,Yes,2021-07-15,"5,37,00,000",English,Show
Brooklyn Nine-Nine: Season 3,No,,"5,36,00,000",English,Show
¡Que viva México!,Yes,2023-05-11,"5,35,00,000",Non-English,Movie
Emily in Paris: Season 2,Yes,2021-12-22,"5,33,00,000",English,Show
The Last Kingdom: Season 5,No,2022-03-09,"5,33,00,000",English,Show
Full Swing: Season 1,Yes,2023-02-15,"5,31,00,000",English,Show
The Walking Dead: Season 8,No,,"5,30,00,000",English,Show
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06,"5,30,00,000",Non-English,Show
We Can Be Heroes,Yes,2020-12-25,"5,28,00,000",English,Movie
Arnold: Limited Series,Yes,2023-06-07,"5,25,00,000",English,Movie
Better Call Saul: Season 1,No,2015-02-08,"5,25,00,000",English,Show
The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11,"5,24,00,000",Korean,Show
Shameless (U.S.): Season 1,No,,"5,23,00,000",English,Show
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,"5,22,00,000",English,Show
Bodyguard: Season 1,Yes,2018-10-24,"5,20,00,000",English,Show
Dr. Seuss' The Lorax,No,,"5,20,00,000",English,Movie
1899: Season 1,Yes,2022-11-17,"5,18,00,000",English,Show
A Tourist's Guide to Love,Yes,2023-04-21,"5,18,00,000",English,Movie
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2020-06-20,"5,18,00,000",Korean,Show
Vikings (2013): Season 4,No,,"5,18,00,000",English,Show
Faraway,Yes,2023-03-08,"5,17,00,000",English,Movie
Blood & Gold,Yes,2023-05-26,"5,16,00,000",English,Movie
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,2023-03-24,"5,16,00,000",English,Show
The Blacklist: Season 5,No,,"5,16,00,000",English,Show
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,2022-09-03,"5,13,00,000",Korean,Movie
Grey's Anatomy: Season 2,No,,"5,12,00,000",English,Show
The Walking Dead: Season 9,No,,"5,12,00,000",English,Show
The Office (U.S.): Season 3,No,,"5,10,00,000",English,Show
The Last Kingdom: Season 1,Yes,2015-12-28,"5,09,00,000",English,Show
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,2023-01-25,"5,08,00,000",Non-English,Movie
Faithfully Yours,No,2023-05-17,"5,06,00,000",English,Movie
Masha and the Bear: Season 3,No,,"5,04,00,000",English,Show
Masha and the Bear: Season 5,No,,"5,03,00,000",English,Show
The Office (U.S.): Season 5,No,,"5,01,00,000",English,Show
2 Hearts,No,,"5,00,00,000",English,Movie
Suits (2011): Season 6,Yes,,"5,00,00,000",English,Show
Tin & Tina,Yes,2023-05-26,"4,97,00,000",English,Movie
The Blacklist: Season 6,No,,"4,96,00,000",English,Show
Friends (1994): Season 6,No,,"4,94,00,000",English,Show
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,2022-12-28,"4,93,00,000",Non-English,Show
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,,"4,93,00,000",Japanese,Show
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,"4,92,00,000",English,Show
The Lincoln Lawyer: Season 1,Yes,2022-05-13,"4,92,00,000",English,Show
Brooklyn Nine-Nine: Season 4,No,,"4,89,00,000",English,Show
Cobra Kai: Season 5,Yes,2022-09-09,"4,89,00,000",English,Show
Orange Is the New Black: Season 1,Yes,2013-07-11,"4,88,00,000",English,Show
El final del paraíso: Season 1,No,,"4,86,00,000",Non-English,Show
Shooter: Season 1,No,2016-11-16,"4,86,00,000",English,Show
Brooklyn Nine-Nine: Season 5,No,,"4,85,00,000",English,Show
Rosario Tijeras (Mexico): Season 1,No,,"4,85,00,000",English,Show
The Smurfs (2021): Season 1,No,,"4,84,00,000",English,Show
Emily in Paris: Season 1,Yes,2020-10-02,"4,83,00,000",English,Show
The Magician's Elephant,Yes,2023-03-17,"4,83,00,000",English,Movie
Friends (1994): Season 5,No,,"4,82,00,000",English,Show
Shrek,No,,"4,81,00,000",English,Movie
Suits (2011): Season 7,Yes,,"4,81,00,000",English,Show
Teen Titans Go!: Season 5,No,,"4,81,00,000",English,Show
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,"4,79,00,000",English,Movie
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2022-02-12,"4,78,00,000",Korean,Show
Shrek 2,No,,"4,75,00,000",English,Movie
JUNG_E // 정이,Yes,2023-01-20,"4,71,00,000",Korean,Movie
Friends (1994): Season 3,No,,"4,69,00,000",English,Show
The School for Good and Evil,Yes,2022-10-19,"4,69,00,000",English,Movie
Puss in Boots (2011),No,,"4,66,00,000",English,Movie
The Thundermans: Season 2,No,,"4,65,00,000",English,Show
Friends (1994): Season 1,No,,"4,64,00,000",English,Show
Teen Titans Go!: Season 1,No,,"4,64,00,000",English,Show
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,2023-03-10,"4,63,00,000",Hindi,Show
From Scratch: Limited Series,Yes,2022-10-21,"4,62,00,000",English,Movie
Bake Squad: Season 2,Yes,2023-01-20,"4,61,00,000",English,Show
Friends (1994): Season 7,No,,"4,61,00,000",English,Show
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,2022-10-15,"4,61,00,000",Korean,Movie
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2023-02-17,"4,60,00,000",Non-English,Show
The Queen's Gambit: Limited Series,Yes,2020-10-23,"4,59,00,000",English,Movie
Virgin River: Season 4,Yes,2022-07-20,"4,59,00,000",English,Show
Gabby's Dollhouse: Season 7,Yes,2023-03-20,"4,58,00,000",English,Show
A Beautiful Life,Yes,2023-06-01,"4,57,00,000",English,Movie
Peppa Pig: Season 6,No,,"4,57,00,000",English,Show
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,2023-03-31,"4,56,00,000",Non-English,Show
Avatar: The Last Airbender: Book 1,No,,"4,55,00,000",English,Movie
Friends (1994): Season 9,No,,"4,54,00,000",English,Show
Peaky Blinders: Season 2,No,2014-11-14,"4,54,00,000",English,Show
The Flash (2014): Season 2,No,,"4,54,00,000",English,Show
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,"4,53,00,000",Korean,Movie
The Office (U.S.): Season 2,No,,"4,53,00,000",English,Show
Transatlantic: Limited Series,Yes,2023-04-07,"4,53,00,000",English,Movie
Friends (1994): Season 4,No,,"4,52,00,000",English,Show
Masha and the Bear: Season 2,No,,"4,51,00,000",English,Show
Friends (1994): Season 8,No,,"4,49,00,000",English,Show
The Woman King,No,,"4,49,00,000",English,Movie
Love Island USA: Season 2,No,,"4,48,00,000",English,Show
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,2021-09-03,"4,47,00,000",English,Movie
