Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,79,No,4,1,71.0
9,52,No,9,0,49.0
7,91,Yes,6,3,82.0
1,97,Yes,8,0,71.0
1,71,No,9,1,43.0
9,76,No,8,2,77.0
9,89,Yes,5,3,86.0
4,54,No,7,5,34.0
9,51,No,6,7,49.0
3,88,No,5,8,69.0
7,96,No,5,3,84.0
6,54,No,8,0,41.0
8,73,Yes,6,4,68.0
9,45,Yes,8,4,44.0
5,56,No,7,8,41.0
1,87,No,8,5,58.0
3,88,Yes,4,4,68.0
8,96,No,8,9,94.0
6,59,Yes,4,9,47.0
8,48,No,5,4,40.0
9,98,Yes,7,7,100.0
4,44,Yes,9,0,23.0
1,62,No,4,4,36.0
1,72,No,7,0,47.0
4,77,Yes,8,6,60.0
7,95,No,9,6,83.0
2,53,Yes,8,9,33.0
3,56,No,5,7,36.0
1,96,No,8,6,74.0
5,58,No,4,8,42.0
1,72,Yes,5,7,47.0
8,40,Yes,7,7,31.0
1,52,No,5,2,26.0
1,85,Yes,7,9,58.0
2,66,No,6,3,42.0
2,45,Yes,4,3,18.0
6,98,No,4,0,85.0
7,45,Yes,7,5,36.0
5,72,Yes,8,1,58.0
1,69,Yes,9,8,45.0
1,85,Yes,8,0,60.0
3,74,Yes,6,0,56.0
2,62,Yes,7,9,42.0
5,49,No,6,5,33.0
6,90,No,7,0,77.0
7,58,Yes,6,2,51.0
4,90,No,7,9,72.0
7,67,Yes,4,1,57.0
8,62,No,6,8,53.0
1,43,No,6,4,16.0
6,59,No,7,5,45.0
8,58,No,5,1,49.0
5,81,Yes,5,7,67.0
4,66,No,4,5,49.0
2,96,No,8,7,73.0
6,73,No,8,7,65.0
6,43,Yes,4,0,27.0
1,95,No,8,6,72.0
9,77,Yes,9,1,74.0
6,46,Yes,9,7,38.0
3,87,No,9,1,67.0
4,46,Yes,9,3,28.0
4,89,No,7,1,73.0
3,91,No,5,6,72.0
3,65,No,4,4,42.0
3,65,No,7,8,47.0
4,93,No,9,4,77.0
7,58,No,4,7,49.0
4,48,No,5,1,30.0
9,59,Yes,8,2,54.0
1,81,Yes,7,5,56.0
8,84,No,5,6,75.0
7,89,No,4,9,78.0
2,55,Yes,6,7,32.0
8,93,No,7,2,89.0
1,56,Yes,4,6,29.0
9,61,Yes,4,7,57.0
9,52,No,5,9,48.0
2,51,No,4,5,27.0
7,49,Yes,7,3,38.0
3,40,Yes,9,5,18.0
7,71,No,7,8,66.0
9,69,No,4,2,65.0
4,47,Yes,5,1,27.0
1,60,Yes,7,4,33.0
2,61,Yes,6,6,37.0
1,57,No,9,2,29.0
5,41,No,8,4,26.0
5,87,No,5,3,72.0
7,83,Yes,5,6,77.0
9,48,Yes,8,1,45.0
9,42,No,8,6,41.0
3,93,Yes,7,1,73.0
3,65,Yes,4,2,43.0
3,60,Yes,4,4,39.0
4,69,Yes,6,6,54.0
8,67,Yes,9,5,62.0
6,75,No,4,6,63.0
8,65,No,6,5,59.0
1,73,No,6,0,46.0
8,47,No,5,4,42.0
4,49,No,5,0,30.0
1,87,Yes,9,6,63.0
8,94,Yes,7,3,89.0
4,82,Yes,8,4,62.0
6,89,No,8,0,77.0
8,93,Yes,9,7,88.0
4,53,Yes,6,3,35.0
3,79,Yes,9,2,60.0
9,94,No,8,0,92.0
3,54,Yes,6,3,38.0
9,56,Yes,8,2,56.0
2,92,No,7,7,70.0
2,57,No,5,8,35.0
2,71,Yes,5,4,47.0
6,77,No,6,8,66.0
3,62,Yes,9,0,43.0
9,85,No,8,6,81.0
4,62,Yes,4,6,43.0
1,74,Yes,7,5,46.0
4,78,No,8,3,61.0
1,54,No,4,8,27.0
5,92,No,7,2,77.0
4,63,No,7,0,43.0
8,67,Yes,5,1,60.0
8,55,No,6,2,48.0
7,55,Yes,8,1,47.0
3,79,Yes,7,5,60.0
1,78,Yes,8,6,53.0
1,45,No,7,4,19.0
3,41,Yes,9,4,23.0
6,93,Yes,5,6,81.0
7,52,No,6,5,41.0
6,83,Yes,4,7,71.0
6,86,Yes,4,8,75.0
6,98,Yes,9,1,89.0
3,48,No,5,1,28.0
6,73,Yes,7,0,60.0
8,56,Yes,5,6,54.0
2,66,Yes,6,3,41.0
5,68,No,4,8,52.0
1,76,No,8,5,53.0
1,82,No,4,6,52.0
5,61,Yes,6,6,47.0
3,90,Yes,7,7,71.0
4,63,Yes,5,3,42.0
3,46,Yes,4,2,21.0
1,73,Yes,4,2,48.0
1,87,No,8,9,64.0
5,51,Yes,5,7,38.0
6,62,Yes,8,2,49.0
3,54,No,8,7,35.0
9,72,No,7,1,73.0
5,96,Yes,4,4,81.0
8,52,No,9,4,47.0
1,62,No,5,6,36.0
5,77,No,7,4,63.0
3,71,Yes,9,8,52.0
1,84,No,7,2,58.0
4,89,Yes,7,8,77.0
5,74,No,6,0,58.0
7,40,Yes,6,2,33.0
1,86,Yes,7,3,67.0
3,97,Yes,6,5,76.0
2,84,No,5,9,62.0
9,44,No,4,7,37.0
6,96,No,9,6,86.0
3,52,Yes,5,7,37.0
8,93,No,4,5,88.0
8,44,No,6,5,38.0
2,99,Yes,9,5,76.0
6,71,No,5,2,57.0
7,90,Yes,8,9,82.0
2,60,No,7,3,35.0
2,63,Yes,4,5,41.0
1,99,Yes,4,6,75.0
8,57,No,8,2,51.0
1,60,Yes,8,3,34.0
9,93,No,7,5,92.0
6,49,No,6,0,39.0
7,63,No,5,6,56.0
7,79,No,5,0,69.0
3,86,Yes,5,9,69.0
2,60,Yes,6,8,40.0
9,64,Yes,7,9,63.0
8,91,No,5,8,86.0
7,99,No,4,8,89.0
9,96,Yes,4,3,94.0
4,98,Yes,4,1,79.0
4,62,No,8,6,44.0
1,61,No,8,3,33.0
8,43,No,6,4,36.0
3,73,Yes,5,0,50.0
7,95,No,8,9,94.0
2,45,Yes,4,5,22.0
2,67,No,8,6,44.0
7,70,Yes,4,2,60.0
6,74,No,5,9,64.0
3,78,Yes,6,1,58.0
9,81,Yes,7,9,78.0
6,62,Yes,7,6,51.0
6,45,No,4,0,30.0
1,55,Yes,8,1,29.0
4,41,Yes,8,2,22.0
6,63,No,4,3,51.0
6,56,Yes,5,4,45.0
5,84,Yes,4,3,70.0
1,40,No,5,9,10.0
8,45,Yes,6,2,38.0
5,44,No,6,0,30.0
5,96,Yes,4,6,82.0
7,84,No,6,9,74.0
4,99,Yes,8,5,87.0
6,94,Yes,5,1,77.0
4,89,Yes,7,1,72.0
3,68,No,7,2,51.0
7,51,Yes,6,7,40.0
8,78,Yes,5,7,72.0
4,86,No,8,9,68.0
2,42,No,7,9,22.0
3,87,No,8,9,67.0
1,40,Yes,8,9,18.0
8,66,Yes,7,7,64.0
3,87,Yes,7,6,66.0
7,63,No,6,1,50.0
5,83,No,5,0,68.0
5,58,Yes,4,5,44.0
7,98,Yes,5,7,90.0
9,47,No,4,0,41.0
5,94,No,7,2,83.0
1,83,No,8,0,57.0
1,86,Yes,5,9,64.0
2,41,No,8,8,18.0
6,69,No,5,6,62.0
9,69,No,9,7,66.0
8,88,No,5,8,85.0
5,78,Yes,8,2,62.0
1,84,No,9,9,62.0
7,71,Yes,6,1,62.0
5,40,Yes,7,5,26.0
6,77,No,6,4,66.0
7,52,No,6,3,43.0
3,50,Yes,5,5,30.0
3,49,No,7,5,25.0
5,87,Yes,9,2,77.0
6,98,No,5,1,88.0
9,65,Yes,4,8,62.0
5,95,Yes,5,7,82.0
1,94,Yes,9,3,73.0
4,59,No,8,5,44.0
5,56,Yes,5,2,40.0
5,56,Yes,4,7,39.0
7,43,No,5,2,34.0
4,44,No,9,1,27.0
1,99,Yes,4,6,73.0
5,62,Yes,7,2,46.0
7,85,No,9,8,78.0
6,91,Yes,5,2,80.0
5,49,No,4,7,33.0
4,85,No,9,1,68.0
2,67,No,7,8,45.0
4,72,Yes,8,0,56.0
3,82,No,6,2,58.0
1,65,Yes,4,1,37.0
8,94,Yes,8,6,88.0
5,89,No,7,4,75.0
4,87,No,8,7,70.0
8,68,No,5,1,62.0
7,66,No,6,7,57.0
2,57,Yes,4,6,32.0
1,79,Yes,9,4,53.0
4,99,No,7,1,82.0
8,49,Yes,6,9,41.0
2,97,No,7,6,75.0
3,81,Yes,8,9,63.0
1,44,Yes,7,3,17.0
1,49,Yes,7,3,24.0
3,89,No,8,7,69.0
5,60,Yes,8,5,47.0
3,63,Yes,6,8,43.0
1,77,Yes,4,1,48.0
1,42,Yes,8,4,17.0
8,79,No,6,5,75.0
2,70,Yes,7,7,54.0
3,80,No,7,3,59.0
2,76,No,9,6,56.0
3,41,Yes,5,6,20.0
7,41,Yes,8,3,34.0
1,78,No,6,0,54.0
8,88,No,9,2,83.0
2,81,No,6,1,59.0
3,83,Yes,4,2,63.0
9,73,Yes,9,4,72.0
7,81,No,6,0,70.0
4,59,No,8,4,41.0
5,72,No,6,1,54.0
2,43,Yes,5,3,21.0
8,84,Yes,7,5,83.0
4,83,No,7,8,64.0
9,50,Yes,9,9,51.0
5,81,No,6,5,66.0
9,86,Yes,6,9,83.0
4,44,No,6,1,26.0
5,64,Yes,6,7,49.0
9,88,Yes,5,4,85.0
8,99,Yes,8,8,95.0
3,76,Yes,5,9,56.0
1,73,Yes,5,8,50.0
3,48,Yes,5,3,23.0
4,45,Yes,7,0,26.0
2,57,No,5,8,30.0
1,53,No,6,8,28.0
7,58,No,5,7,48.0
8,53,Yes,6,4,46.0
7,79,Yes,9,4,73.0
5,56,Yes,8,9,45.0
1,99,No,7,5,76.0
7,74,No,8,0,71.0
7,68,No,9,8,60.0
9,81,No,8,4,77.0
3,56,No,7,6,36.0
9,98,No,6,7,96.0
1,82,Yes,9,4,62.0
1,47,No,9,2,22.0
4,40,Yes,6,5,21.0
9,84,No,6,6,79.0
6,92,No,7,3,82.0
3,75,Yes,5,8,55.0
1,46,Yes,4,3,22.0
4,85,Yes,5,9,70.0
9,44,No,5,1,37.0
3,63,No,8,8,42.0
9,67,Yes,4,3,64.0
7,82,No,6,3,72.0
4,56,Yes,5,9,42.0
3,76,No,7,0,56.0
5,59,No,5,1,43.0
5,42,No,6,2,24.0
3,76,Yes,5,6,55.0
9,65,No,9,8,64.0
4,54,Yes,8,4,34.0
5,90,Yes,8,3,78.0
4,87,Yes,5,1,71.0
5,47,Yes,8,6,33.0
7,52,Yes,7,5,46.0
9,87,Yes,4,6,86.0
7,42,Yes,5,7,34.0
5,40,Yes,7,8,26.0
7,48,Yes,9,9,44.0
5,70,No,7,4,53.0
3,80,Yes,7,4,61.0
7,93,No,9,3,84.0
2,65,Yes,6,2,40.0
9,56,No,5,6,53.0
1,95,No,5,4,67.0
6,73,No,5,6,58.0
7,48,No,4,1,41.0
8,95,No,7,8,89.0
9,90,No,5,8,85.0
2,52,Yes,8,8,33.0
2,44,Yes,6,4,20.0
5,80,Yes,9,9,66.0
5,52,Yes,9,8,38.0
6,40,Yes,4,0,25.0
3,64,Yes,9,1,43.0
8,86,No,6,9,79.0
1,43,Yes,7,4,16.0
6,75,No,9,4,67.0
4,91,No,9,5,80.0
1,49,No,8,7,26.0
7,67,No,7,0,57.0
9,96,No,5,9,91.0
4,45,No,6,8,29.0
4,66,Yes,9,3,48.0
6,95,No,8,7,84.0
3,51,No,6,4,33.0
6,91,Yes,4,0,82.0
7,87,Yes,8,8,81.0
3,42,Yes,4,7,24.0
7,85,Yes,9,4,81.0
3,72,Yes,8,3,54.0
2,49,Yes,5,7,25.0
4,70,Yes,6,8,53.0
8,54,No,6,6,48.0
9,46,Yes,7,3,40.0
7,75,No,8,6,66.0
1,53,Yes,8,5,29.0
3,95,Yes,4,2,73.0
9,87,No,8,9,89.0
1,53,Yes,6,2,27.0
9,42,Yes,8,0,40.0
8,88,Yes,7,4,83.0
1,92,Yes,7,7,69.0
6,85,Yes,6,5,72.0
5,89,Yes,6,7,77.0
6,42,Yes,6,6,32.0
5,61,No,8,1,49.0
6,58,Yes,8,7,44.0
5,74,No,5,3,57.0
5,51,No,9,4,34.0
4,93,No,9,7,76.0
3,44,No,4,4,22.0
3,49,No,8,4,30.0
4,80,No,5,5,67.0
9,72,No,5,6,71.0
2,52,Yes,7,8,29.0
9,74,Yes,8,6,74.0
1,90,Yes,5,5,67.0
1,71,No,7,9,46.0
5,50,Yes,4,3,34.0
6,87,No,7,9,76.0
6,77,No,4,1,64.0
3,63,Yes,9,8,46.0
7,74,No,9,9,68.0
9,58,No,6,4,58.0
8,45,Yes,6,4,41.0
6,79,No,7,2,64.0
8,93,Yes,6,2,84.0
5,84,No,8,0,70.0
8,83,No,7,4,77.0
4,81,Yes,5,2,60.0
8,74,Yes,8,1,65.0
2,43,Yes,7,8,21.0
5,72,No,9,9,60.0
9,52,No,4,5,48.0
4,95,Yes,6,2,77.0
6,75,Yes,6,6,63.0
1,93,Yes,6,8,68.0
9,82,No,7,8,81.0
1,58,No,8,0,29.0
5,82,Yes,4,1,66.0
4,51,Yes,6,7,36.0
3,50,Yes,8,0,29.0
6,45,No,5,2,32.0
2,51,Yes,9,6,31.0
3,66,Yes,5,7,45.0
5,80,Yes,4,4,65.0
9,64,No,6,1,57.0
2,81,No,5,2,58.0
8,42,Yes,9,8,38.0
2,42,No,8,9,22.0
5,59,Yes,8,6,48.0
7,67,Yes,5,0,59.0
8,62,Yes,6,2,58.0
1,87,Yes,9,8,62.0
6,42,No,4,6,30.0
1,81,Yes,6,1,56.0
2,63,Yes,7,5,40.0
1,82,No,5,8,59.0
5,79,Yes,7,3,65.0
9,45,No,5,9,43.0
6,59,Yes,4,1,48.0
1,50,Yes,6,2,24.0
1,71,Yes,9,6,51.0
2,99,Yes,6,3,81.0
9,66,No,5,6,62.0
3,60,Yes,8,4,43.0
1,83,No,7,7,63.0
5,87,No,9,7,73.0
7,89,No,9,4,76.0
6,52,Yes,6,6,43.0
1,61,No,6,5,34.0
5,74,No,5,7,57.0
5,86,No,8,8,72.0
6,61,Yes,7,4,47.0
3,67,Yes,8,6,52.0
5,60,No,9,0,49.0
7,85,No,8,7,77.0
5,57,Yes,5,2,41.0
5,70,No,8,0,56.0
5,99,No,7,5,89.0
3,85,No,9,7,65.0
1,76,Yes,4,2,49.0
5,60,No,9,0,48.0
9,53,No,4,2,47.0
1,64,Yes,7,4,37.0
3,66,No,9,7,48.0
4,79,Yes,9,8,61.0
1,99,Yes,9,8,77.0
1,99,Yes,9,3,75.0
8,62,No,5,7,57.0
2,70,No,6,4,45.0
8,86,No,9,2,82.0
7,99,No,5,4,90.0
2,68,No,7,1,42.0
6,86,No,9,5,74.0
6,69,No,8,0,60.0
3,90,No,9,5,73.0
2,65,Yes,9,4,40.0
1,59,No,4,8,32.0
6,77,No,8,6,67.0
5,58,Yes,9,5,46.0
9,66,No,9,6,65.0
1,64,Yes,9,9,42.0
7,79,No,5,4,69.0
5,77,No,7,0,62.0
5,91,Yes,4,8,75.0
2,62,Yes,9,4,40.0
3,68,No,7,3,43.0
7,54,Yes,4,5,42.0
6,98,No,4,4,84.0
2,42,No,4,0,15.0
6,49,No,9,1,39.0
2,54,No,5,3,26.0
2,95,No,9,7,73.0
2,55,No,9,4,34.0
3,56,Yes,7,6,34.0
2,58,Yes,6,1,37.0
4,50,Yes,6,7,34.0
9,87,No,6,4,85.0
6,44,Yes,7,3,31.0
1,44,No,8,8,18.0
8,97,Yes,7,5,92.0
7,53,No,4,3,44.0
3,89,No,9,7,72.0
1,65,No,8,2,40.0
5,47,No,4,9,31.0
4,44,No,9,1,25.0
8,46,Yes,9,6,44.0
1,55,No,4,3,27.0
1,94,Yes,7,3,66.0
4,53,No,6,9,34.0
8,76,No,8,8,70.0
5,95,No,9,1,81.0
2,80,Yes,5,0,56.0
6,43,No,9,6,30.0
5,75,Yes,6,7,60.0
2,87,No,9,2,64.0
3,95,Yes,5,1,74.0
9,56,Yes,7,3,52.0
7,86,Yes,9,1,84.0
7,75,No,8,1,66.0
6,45,No,7,4,32.0
8,55,Yes,5,9,47.0
4,68,No,4,4,51.0
8,75,No,9,7,67.0
4,77,No,7,8,57.0
8,76,Yes,9,1,71.0
9,87,Yes,8,0,86.0
3,96,No,9,2,77.0
3,87,Yes,7,5,72.0
2,49,No,6,4,24.0
3,80,No,7,7,60.0
3,75,Yes,5,7,55.0
5,68,Yes,7,1,54.0
5,53,No,8,8,39.0
2,43,No,7,3,19.0
6,83,No,7,0,68.0
5,95,Yes,8,1,83.0
6,81,Yes,7,5,72.0
1,75,No,8,4,49.0
5,89,No,5,6,74.0
9,84,Yes,8,8,86.0
2,52,No,5,5,26.0
1,85,Yes,5,5,60.0
9,57,Yes,8,1,54.0
9,72,No,7,6,73.0
9,60,No,9,1,61.0
6,55,Yes,6,6,45.0
8,54,No,9,7,57.0
1,93,Yes,8,0,68.0
4,96,Yes,7,8,72.0
1,44,Yes,5,7,17.0
8,45,No,4,8,37.0
1,77,No,6,4,54.0
3,42,No,9,3,22.0
4,87,Yes,7,0,73.0
8,51,Yes,6,8,47.0
6,75,Yes,4,3,63.0
7,72,Yes,4,3,63.0
8,75,No,4,3,68.0
2,72,No,9,1,52.0
8,70,No,8,3,64.0
3,60,Yes,6,1,38.0
7,66,Yes,8,7,60.0
3,66,No,4,6,45.0
7,47,Yes,7,9,39.0
2,95,No,4,1,75.0
6,76,Yes,8,1,67.0
3,71,Yes,4,1,48.0
3,65,Yes,4,0,44.0
9,41,Yes,8,5,37.0
7,51,Yes,8,5,41.0
5,61,No,7,0,47.0
7,56,No,8,0,45.0
9,46,No,7,5,43.0
1,82,Yes,5,5,54.0
7,43,No,5,3,32.0
6,76,No,8,2,64.0
9,77,Yes,4,8,74.0
1,71,Yes,6,5,50.0
4,50,No,4,0,33.0
9,40,No,8,2,36.0
4,64,No,7,0,45.0
3,81,No,4,2,58.0
9,91,No,5,1,85.0
2,63,Yes,9,4,41.0
4,92,No,8,2,78.0
6,82,No,4,6,63.0
2,95,No,9,7,76.0
8,56,No,4,6,51.0
8,47,No,7,1,36.0
1,98,No,7,9,74.0
3,84,Yes,7,9,65.0
9,66,Yes,9,6,65.0
5,91,Yes,6,9,79.0
6,57,No,9,2,46.0
4,66,No,8,6,47.0
2,61,Yes,8,0,42.0
8,55,No,5,1,46.0
6,41,No,5,9,34.0
5,44,No,8,0,27.0
9,57,Yes,4,8,52.0
1,42,Yes,8,1,17.0
5,66,Yes,6,1,53.0
6,93,No,5,5,84.0
5,56,Yes,5,6,39.0
6,55,Yes,9,1,44.0
6,45,Yes,5,3,36.0
7,90,No,8,2,81.0
4,46,Yes,5,4,30.0
8,89,Yes,5,8,80.0
7,53,No,9,1,41.0
9,77,Yes,8,4,77.0
7,79,No,4,7,69.0
3,54,No,5,5,34.0
3,86,Yes,5,3,64.0
8,86,Yes,5,9,78.0
5,87,Yes,6,7,74.0
4,72,No,8,2,52.0
8,82,Yes,5,3,76.0
6,66,Yes,6,8,53.0
2,68,Yes,4,4,46.0
4,96,No,4,5,77.0
4,76,No,9,1,59.0
6,44,No,9,8,35.0
6,68,Yes,9,7,61.0
1,71,Yes,6,6,46.0
8,99,No,4,8,97.0
6,92,Yes,9,4,86.0
3,45,Yes,7,4,24.0
9,41,No,9,8,37.0
2,45,No,4,4,18.0
8,85,No,7,8,84.0
3,82,Yes,6,0,59.0
5,43,Yes,7,9,29.0
6,95,Yes,4,9,84.0
6,68,No,5,7,60.0
4,98,No,7,2,78.0
3,64,Yes,4,7,46.0
4,48,No,9,4,31.0
1,95,No,5,1,68.0
4,42,Yes,6,8,25.0
1,65,No,6,3,37.0
1,87,Yes,8,6,62.0
6,82,No,6,7,69.0
5,66,Yes,8,6,50.0
4,75,No,6,5,55.0
3,71,Yes,6,6,54.0
1,40,No,6,3,12.0
6,96,No,8,9,88.0
2,92,No,9,0,69.0
8,93,No,8,4,88.0
5,55,No,7,7,41.0
7,90,Yes,4,9,83.0
2,87,Yes,4,5,62.0
8,50,Yes,9,4,45.0
2,65,No,4,1,42.0
4,79,Yes,6,9,65.0
1,94,No,9,4,73.0
5,40,No,4,9,23.0
9,65,Yes,8,2,61.0
1,67,Yes,7,1,41.0
9,92,No,5,2,85.0
8,97,No,7,3,93.0
6,48,Yes,4,1,35.0
7,99,Yes,9,3,92.0
3,98,No,4,3,79.0
1,83,No,8,5,57.0
5,61,Yes,7,4,49.0
2,47,No,8,6,28.0
5,97,No,8,6,85.0
8,88,Yes,5,2,82.0
9,81,Yes,8,8,80.0
2,66,No,8,6,41.0
3,78,No,5,6,57.0
3,58,Yes,6,1,41.0
1,64,No,6,9,43.0
8,77,Yes,9,2,73.0
6,60,No,5,2,46.0
8,63,Yes,9,5,61.0
9,63,No,9,3,61.0
5,99,No,8,3,87.0
3,99,No,9,0,78.0
5,58,Yes,4,5,43.0
5,89,Yes,7,7,75.0
5,86,Yes,4,7,72.0
3,41,No,4,7,18.0
4,53,No,8,4,36.0
9,92,Yes,7,9,92.0
9,71,Yes,9,5,71.0
2,81,No,7,4,58.0
8,71,No,9,3,69.0
8,67,No,6,3,58.0
7,87,No,5,3,74.0
8,78,Yes,8,3,72.0
3,79,Yes,9,5,61.0
6,81,No,9,5,74.0
1,86,No,7,4,60.0
7,79,No,8,8,70.0
1,52,Yes,9,7,27.0
9,51,Yes,6,9,49.0
1,47,No,4,5,17.0
1,54,No,9,8,34.0
7,65,No,7,4,51.0
2,51,No,6,9,27.0
5,82,No,8,3,67.0
8,90,No,9,5,84.0
8,85,Yes,6,3,81.0
3,66,Yes,6,7,45.0
7,57,Yes,6,6,50.0
3,84,No,6,4,67.0
6,75,No,6,9,67.0
6,88,No,6,5,77.0
3,90,Yes,5,6,70.0
7,66,No,8,1,59.0
3,48,Yes,4,8,27.0
8,94,No,8,6,88.0
4,78,No,7,7,60.0
1,40,No,7,4,14.0
4,46,Yes,8,2,27.0
7,65,Yes,6,1,54.0
4,46,Yes,5,1,32.0
6,91,No,4,2,79.0
9,46,Yes,9,0,44.0
1,47,No,9,0,20.0
5,55,No,6,6,42.0
7,42,Yes,8,9,33.0
1,84,Yes,9,7,58.0
4,49,No,8,5,31.0
6,89,No,5,6,75.0
2,46,No,5,0,22.0
5,60,No,8,0,46.0
1,92,Yes,6,8,68.0
6,76,Yes,6,4,66.0
6,70,Yes,6,6,60.0
4,62,No,9,5,44.0
8,96,No,4,3,90.0
4,66,No,4,0,47.0
8,95,Yes,6,3,88.0
8,61,No,8,9,56.0
5,78,No,5,9,66.0
4,96,Yes,7,7,78.0
2,66,Yes,5,0,43.0
3,93,No,5,1,72.0
3,88,Yes,7,7,69.0
4,43,No,6,1,24.0
4,63,Yes,5,9,47.0
5,62,No,7,8,45.0
4,87,Yes,9,2,72.0
8,58,Yes,8,2,51.0
6,81,Yes,8,5,73.0
6,42,Yes,8,2,28.0
8,66,No,6,8,56.0
7,42,No,5,7,29.0
8,67,Yes,5,3,60.0
2,56,No,4,5,28.0
9,70,Yes,8,7,66.0
1,49,Yes,6,3,21.0
8,88,No,7,4,84.0
4,61,No,6,6,42.0
4,69,No,5,7,51.0
5,88,No,8,6,74.0
8,60,No,4,7,50.0
5,75,No,9,3,62.0
8,92,No,6,0,90.0
1,62,Yes,4,5,32.0
9,77,No,5,4,71.0
6,51,Yes,7,3,37.0
3,64,No,6,1,42.0
8,93,No,9,0,85.0
9,96,Yes,5,8,96.0
6,59,Yes,8,1,51.0
7,88,Yes,6,8,82.0
1,88,Yes,4,5,64.0
5,81,No,6,5,67.0
5,46,No,5,1,32.0
4,68,Yes,5,5,50.0
6,87,Yes,4,2,73.0
7,68,No,9,6,62.0
9,52,No,5,9,48.0
1,42,Yes,6,3,20.0
6,41,No,9,8,33.0
7,55,No,4,4,43.0
3,69,Yes,5,9,49.0
8,77,Yes,5,2,70.0
5,45,Yes,6,0,28.0
9,84,Yes,5,0,82.0
5,46,No,6,3,29.0
9,44,Yes,8,9,42.0
4,95,No,9,9,79.0
9,46,No,6,3,41.0
