Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
432454,253870,66811,56501,55272,432454,In Debt,Zero-Balance Living,No,Yes,0.43,0.15,0.1,0.12
122262,82325,13267,39602,15014,150208,In Debt,Deficit Living,No,No,0.53,0.11,0.11,0.1
256630,113771,33870,57185,51804,256630,In Debt,Zero-Balance Living,No,No,0.44,0.13,0.14,0.11
87690,51047,9389,13052,42813,116301,In Debt,Deficit Living,No,No,0.53,0.11,0.11,0.1
57109,28240,8496,14019,0,49191,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.49,0.12,0.09,0.05
122017,44694,14515,17568,19534,96311,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.12,0.14,0.1
328319,125122,18962,74315,45604,264003,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.12,0.13,0.12
258027,131108,38250,28562,60107,258027,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
101673,30286,10836,16773,7597,65492,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.11,0.15,0.07
63761,36622,10009,14942,4886,66459,In Debt,Deficit Living,No,No,0.57,0.12,0.08,0.08
448792,140598,27710,77894,97565,343767,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.31,0.12,0.17,0.12
364466,249834,37096,63580,115211,465721,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
111520,31540,10399,14052,2023,58014,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.09,0.13,0.05
41553,9112,1176,4325,3899,18512,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.07,0.1,0.08
270899,168148,17607,75646,26100,287501,In Debt,Deficit Living,No,No,0.48,0.1,0.14,0.1
483634,280870,30591,104209,67964,483634,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
421113,205468,52124,44082,41163,342837,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.12,0.1,0.1
120608,77921,20768,37173,38777,174639,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
155676,54441,24848,21971,26885,128145,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.35,0.15,0.14,0.11
450578,217521,25492,77463,130102,450578,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
191484,82149,30532,33365,45438,191484,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.13,0.11
20218,9328,1945,5894,3051,20218,Not in Debt,Zero-Balance Living,No,No,0.46,0.09,0.12,0.07
230876,141970,16698,75195,31533,265396,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
112514,26770,8066,7819,13296,55951,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.09,0.08,0.1
462101,260170,52117,86422,98930,497639,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
400811,226462,70912,66626,36811,400811,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.11,0.09
94128,64702,19366,32667,1287,118022,In Debt,Deficit Living,No,No,0.53,0.14,0.13,0.05
149833,93782,21177,34528,38873,188360,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
447373,248029,35071,73703,256087,612890,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
116838,30819,6997,16857,7028,61701,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.09,0.14,0.06
222501,93742,24069,57154,25833,200798,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.42,0.11,0.11,0.11
106962,33795,6909,11962,17062,69728,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.09,0.11,0.1
233743,150458,42866,37781,30098,261203,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
489987,204045,25153,135226,125563,489987,Not in Debt,Zero-Balance Living,No,No,0.42,0.12,0.14,0.12
282933,115106,17682,62714,69541,265043,In Debt,Low-Rate Saver (<25% in savings),No,No,0.41,0.1,0.13,0.11
104836,61948,7689,38472,30187,138296,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
20435,7971,2390,5214,4165,19740,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.39,0.09,0.12,0.07
396747,215045,75868,63695,42139,396747,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.09,0.11
106140,43968,16268,17121,4390,81747,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.14,0.15,0.05
441804,151641,30084,47732,65030,294487,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.12,0.11,0.12
85968,51344,5840,9809,18975,85968,Not in Debt,Zero-Balance Living,No,No,0.53,0.09,0.1,0.1
143789,60361,15409,30218,37801,143789,Not in Debt,Zero-Balance Living,No,No,0.42,0.11,0.15,0.1
47231,22647,6962,9182,0,37948,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.12,0.1,0.05
295839,160515,42512,43603,62495,309125,In Debt,Deficit Living,No,No,0.48,0.14,0.09,0.11
382319,235098,82894,58921,174053,550966,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
442038,257401,69676,127543,0,442038,In Debt,Zero-Balance Living,No,No,0.43,0.16,0.16,0.05
148097,83561,9280,20660,51190,164691,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
242217,109783,13244,33181,71560,227768,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.45,0.1,0.09,0.11
425396,329371,41617,133464,56350,560802,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
339587,192914,28160,89714,28799,339587,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.17,0.08
404515,88560,17223,29702,70194,205679,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.08,0.12
465788,110161,28965,37077,19250,195453,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.12,0.08,0.05
469327,142367,43260,35782,61939,283348,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.08,0.12
95140,30404,6734,6748,9057,52943,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.09,0.08,0.1
221228,54095,10554,22422,43557,130628,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.1,0.1,0.11
163367,57980,5205,24580,12170,99935,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.1,0.15,0.07
227072,46667,9741,24050,27121,107579,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.1,0.11,0.11
60015,35072,11458,7559,5926,60015,In Debt,Zero-Balance Living,No,Yes,0.58,0.11,0.08,0.05
293396,130086,16235,58423,23771,228515,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.1,0.13,0.08
29858,18449,2166,11040,5213,36868,In Debt,Deficit Living,No,No,0.62,0.07,0.09,0.07
226197,104920,49268,65287,33946,253421,In Debt,Deficit Living,No,No,0.46,0.15,0.1,0.11
302979,193475,71199,74080,37739,376493,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
49882,11463,5464,8389,2733,28049,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.11,0.13,0.05
378013,184659,50982,95559,78268,409468,In Debt,Deficit Living,No,No,0.43,0.13,0.12,0.12
235703,123558,23279,43581,32357,222775,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
219363,100387,32437,30309,56230,219363,Not in Debt,Zero-Balance Living,No,Yes,0.46,0.15,0.1,0.11
179940,49818,14909,23722,35864,124313,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.1,0.13,0.11
480135,353243,54632,127507,59035,594417,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
228425,107950,10942,50225,41097,210214,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.47,0.1,0.08,0.1
252941,146807,33412,73623,35792,289634,In Debt,Deficit Living,No,No,0.48,0.13,0.1,0.11
210512,103075,21649,23956,45861,194541,In Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
447981,186033,74246,79014,36485,375778,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.17,0.08,0.08
321033,150924,44820,87810,37479,321033,In Debt,Zero-Balance Living,No,No,0.43,0.14,0.11,0.12
182322,62946,9156,20018,21072,113192,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.1,0.11,0.11
111453,66905,19314,29141,27861,143221,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
110728,45827,15449,20771,28681,110728,In Debt,Zero-Balance Living,No,No,0.41,0.14,0.15,0.1
130885,94928,30735,36503,2530,164696,In Debt,Deficit Living,No,No,0.53,0.14,0.13,0.05
333250,182289,50437,75532,24992,333250,In Debt,Zero-Balance Living,No,No,0.43,0.15,0.15,0.07
207132,122044,38561,33729,12798,207132,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.13,0.06
96045,69027,22976,27703,10028,129734,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
100963,54162,17040,13998,15763,100963,Not in Debt,Zero-Balance Living,No,Yes,0.53,0.14,0.08,0.07
489262,203867,60488,61632,75798,401785,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.09,0.12
412191,195350,26630,110857,79354,412191,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
182089,81681,25591,27770,40378,175420,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.45,0.14,0.08,0.08
87909,45741,15100,20741,2023,83605,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.52,0.1,0.08,0.05
268532,110614,46430,60790,31178,249012,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.41,0.15,0.08,0.11
72736,28279,3371,6864,20094,58608,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.07,0.09,0.08
219780,57461,19574,26079,5803,108917,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.12,0.05
346242,185345,51178,72422,45381,354326,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
342691,149957,43140,27098,45147,265342,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.13,0.08,0.11
433984,164209,26814,79815,90082,360920,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.12,0.13,0.12
198441,91532,10749,41050,40571,183902,In Debt,Low-Rate Saver (<25% in savings),No,No,0.46,0.1,0.08,0.11
378683,175940,25947,90149,10267,302303,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.15,0.05
74927,55121,18381,14798,3959,92259,In Debt,Deficit Living,No,Yes,0.58,0.12,0.1,0.05
370664,193364,29731,43554,104015,370664,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.12,0.12
149482,64388,19004,14536,18898,116826,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.13,0.09,0.1
161334,72637,13565,47049,28083,161334,Not in Debt,Zero-Balance Living,No,No,0.45,0.1,0.16,0.11
75383,37630,11751,20170,913,70464,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.5,0.12,0.08,0.05
175510,84442,29983,30837,30248,175510,In Debt,Zero-Balance Living,No,No,0.48,0.15,0.08,0.11
135723,99915,13831,41466,29965,185177,In Debt,Deficit Living,No,No,0.53,0.1,0.12,0.1
32716,5745,1158,1899,5271,14073,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.18,0.07,0.08,0.08
153015,80194,14271,22488,19871,136824,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.1,0.08,0.09
474681,218634,70819,59863,21354,370670,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.15,0.12,0.05
15732,11653,1924,5549,1340,20466,In Debt,Deficit Living,No,No,0.62,0.09,0.08,0.06
261331,107007,50408,46457,57459,261331,Not in Debt,Zero-Balance Living,No,Yes,0.41,0.15,0.15,0.11
123577,64235,22872,39800,24593,151500,In Debt,Deficit Living,No,No,0.52,0.14,0.09,0.1
200821,149289,30750,42507,34535,257081,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
255759,143543,39583,36656,35977,255759,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
493153,148376,54120,68392,7656,278544,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.14,0.05
477044,126073,44093,60138,35568,265872,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.12,0.13,0.07
229632,98830,34916,20548,33847,188141,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.15,0.08,0.09
332450,111750,39146,29177,89197,269270,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.34,0.12,0.09,0.12
159375,48827,12669,9945,24289,95730,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.1,0.08,0.11
292542,134000,18052,46404,94086,292542,In Debt,Zero-Balance Living,No,No,0.46,0.1,0.15,0.11
162417,54822,17073,24064,7951,103910,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.11,0.15,0.05
133072,26240,5728,11751,12907,56626,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.09,0.1
476421,229458,29278,62293,155392,476421,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
319434,145139,38060,90973,45262,319434,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
241706,141129,39152,40540,20885,241706,Not in Debt,Zero-Balance Living,No,No,0.48,0.15,0.1,0.09
242305,157232,49577,56040,974,263823,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
104369,62449,20249,27967,0,104369,Not in Debt,Zero-Balance Living,No,No,0.53,0.14,0.1,0.05
132097,28394,10611,12762,5151,56918,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.09,0.1,0.05
254307,176065,55630,34652,45989,312336,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
77113,37966,9834,7111,14566,69477,In Debt,Low-Rate Saver (<25% in savings),No,Yes,0.49,0.13,0.08,0.05
307027,176593,57265,63871,97615,395344,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
58872,16259,5334,5999,7883,35475,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.09,0.1,0.08
327104,75294,11555,23423,36243,146515,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.08,0.11
464251,288282,44919,63146,134481,530828,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
54828,30993,5382,17575,12306,66256,In Debt,Deficit Living,No,No,0.57,0.1,0.1,0.08
327467,142512,64966,50568,69421,327467,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
333197,166827,47998,45394,24957,285176,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.14,0.11,0.07
317542,134529,55540,39232,88241,317542,In Debt,Zero-Balance Living,No,Yes,0.42,0.17,0.09,0.12
375839,88502,25235,32916,43815,190468,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.12,0.09,0.12
90438,60326,25715,37185,5385,128611,In Debt,Deficit Living,No,No,0.53,0.14,0.12,0.06
397974,228034,20360,117719,31861,397974,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.17,0.08
467242,206315,34448,92140,100299,433202,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
118008,64995,13374,32272,7367,118008,Not in Debt,Zero-Balance Living,No,No,0.53,0.11,0.12,0.06
134628,97884,20168,38476,23026,179554,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
285000,80414,37121,35249,41662,194446,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.13,0.12,0.11
366353,281485,71515,119039,4081,476120,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
187005,49406,21222,29080,14459,114167,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.11,0.16,0.08
247567,145066,17709,65038,19754,247567,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.16,0.08
80871,38153,14261,17924,1104,71442,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.47,0.14,0.09,0.05
119367,89666,20492,16292,27118,153568,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
68424,36617,10101,14896,6810,68424,Not in Debt,Zero-Balance Living,No,No,0.54,0.12,0.08,0.08
380901,130675,26464,41536,90887,289562,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.34,0.12,0.11,0.12
375723,272050,92484,141599,2845,508978,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
188761,77213,32008,41351,11761,162333,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.15,0.13,0.06
83593,40763,14132,14998,13700,83593,Not in Debt,Zero-Balance Living,No,No,0.49,0.14,0.09,0.1
