posting_date,internship_title,employment_type,work_mode,industry,location,company_name,company_size,company_age,linkedin_presence,website_available,domain_age_months,verification_status,stipend,unrealistic_salary_flag,payment_required,registration_fee,job_description_length,grammatical_errors,vague_description_score,urgency_score,keyword_spam_score,fake_certificate_offer,recruiter_experience_years,recruiter_email_type,suspicious_email_domain,recruiter_response_time_hours,social_media_presence,emotional_manipulation_score,phishing_language_score,trust_signal_score,fraud_score,is_fake_posting
2019-07-14,Frontend Developer,Full-Time,Hybrid,Healthcare,New York,Cantrell-Stewart,Medium,34.0,0,1,397,1,35459.0,0,1,3085,1973,6,33,65,33,0,0.6,Corporate,0,38.8,1,65,23,35.9,71.2,1
2020-08-16,ML Engineer,Contract,Remote,Software,New York,"Quinn, Gray and King",Small,20.0,1,1,241,1,63833.0,0,0,0,1788,3,36,28,10,1,2.8,Corporate,0,27.4,1,34,19,65.8,45.6,0
2023-11-09,UI/UX Designer,Part-Time,Remote,Gaming,London,Torres Inc,Small,36.0,1,1,451,0,53534.0,0,0,0,1626,3,52,21,6,0,7.1,Free,1,4.8,1,0,30,30.9,58.5,1
2024-06-21,Cloud Engineer,Full-Time,Remote,Marketing,London,Acevedo-Yang,Startup,14.0,1,1,166,1,45336.0,0,0,0,2031,4,39,70,2,0,5.6,Free,1,12.6,1,17,0,89.6,15.2,0
2026-10-13,Data Science Intern,Contract,Remote,EdTech,Singapore,Hernandez Inc,Medium,38.0,1,0,442,1,34199.0,0,0,0,100,2,56,26,33,0,3.7,Corporate,0,19.4,0,4,14,60.9,46.6,0
2023-03-01,Marketing Intern,Internship,Hybrid,FinTech,Dubai,"Smith, Mullins and Olson",Startup,19.0,1,1,217,1,7661.0,0,0,0,1356,3,28,32,21,0,5.1,Corporate,0,37.9,0,47,17,68.3,4.1,0
2024-08-01,Data Science Intern,Part-Time,Remote,E-Commerce,Bangalore,"York, Miller and Davis",Startup,29.0,1,1,348,1,51619.0,0,0,0,2098,5,28,32,32,0,7.9,Corporate,0,31.7,1,0,0,82.0,13.6,0
2022-09-06,Marketing Intern,Full-Time,Remote,Software,Berlin,"Morris, Miller and Whitaker",Enterprise,13.0,1,1,165,1,58810.0,0,0,0,1932,1,64,76,25,0,7.8,Free,1,11.5,0,30,7,42.4,54.7,1
2019-06-03,ML Engineer,Part-Time,Remote,AI,Sydney,Hernandez LLC,Medium,14.0,1,1,142,1,18026.0,0,0,0,1532,4,29,50,36,0,4.3,Free,1,19.4,1,17,6,65.3,26.6,0
2020-06-29,Backend Developer,Contract,Remote,AI,London,Benson-Best,Startup,15.0,1,1,161,1,52752.0,0,0,0,1989,3,47,14,28,0,2.9,Free,1,27.9,1,24,11,64.8,33.1,0
2025-10-08,AI Research Intern,Part-Time,Hybrid,Marketing,Berlin,Clark LLC,Startup,29.0,0,1,336,0,48045.0,0,0,0,1763,1,68,33,18,0,3.2,Free,1,22.9,1,38,34,37.8,45.9,0
2023-09-19,Backend Developer,Part-Time,Onsite,Software,New York,Vaughn-Kent,Enterprise,6.0,0,0,77,1,28472.0,0,0,0,1820,3,0,29,1,1,10.4,Free,1,17.7,1,57,23,49.4,69.0,1
2021-01-04,Frontend Developer,Contract,Onsite,AI,London,Greer-Lawson,Medium,24.0,1,1,307,1,57468.0,0,0,0,2234,4,44,62,15,0,0.0,Corporate,0,31.7,1,15,50,44.0,33.1,0
2018-05-26,ML Engineer,Contract,Remote,EdTech,San Francisco,Robinson-Suarez,Small,26.0,1,1,307,1,48382.0,0,0,0,2309,5,49,36,39,0,4.5,Corporate,0,7.2,1,24,43,41.3,52.7,1
2021-03-03,Frontend Developer,Full-Time,Onsite,E-Commerce,San Francisco,Soto-Howe,Enterprise,4.0,0,1,63,0,12652.0,0,1,2153,1071,3,18,63,44,0,3.5,Corporate,0,21.5,1,39,60,40.0,97.7,1
2022-09-27,ML Engineer,Internship,Hybrid,Cybersecurity,Toronto,Marshall Inc,Medium,5.0,1,1,44,1,21292.0,0,0,0,1279,7,21,21,27,0,10.0,Corporate,0,35.7,0,27,25,64.8,9.9,0
2019-05-02,Cloud Engineer,Contract,Remote,FinTech,Sydney,Pratt PLC,Medium,18.0,1,1,207,0,30624.0,0,0,0,1683,2,50,29,21,0,0.0,Corporate,0,16.8,1,0,1,53.9,12.7,0
2025-10-13,UI/UX Designer,Contract,Hybrid,Cybersecurity,Berlin,Parker PLC,Startup,29.0,1,1,347,0,,0,0,0,1868,4,36,0,19,0,6.4,Free,1,10.4,1,16,22,30.8,33.0,0
2024-01-08,Marketing Intern,Contract,Hybrid,AI,Dubai,Parker-Armstrong,Startup,6.0,0,1,76,0,46956.0,0,0,0,1668,3,40,25,16,0,5.1,Corporate,0,24.5,1,2,13,32.1,27.7,0
2026-11-22,Marketing Intern,Part-Time,Onsite,Marketing,Bangalore,Jones-Chen,Medium,33.0,1,1,411,1,33550.0,0,0,0,2056,1,22,0,48,0,7.3,Free,1,2.5,1,79,31,67.9,36.2,0
2020-11-09,Marketing Intern,Contract,Onsite,E-Commerce,Bangalore,Burnett Ltd,Startup,35.0,1,1,421,1,62756.0,0,0,0,2120,4,48,67,29,0,6.6,Corporate,0,9.8,1,10,0,68.3,5.2,0
2023-12-20,UI/UX Designer,Part-Time,Hybrid,Gaming,New York,Walker-Guerrero,Medium,16.0,1,1,188,0,38361.0,0,0,0,864,6,38,29,12,0,9.2,Free,1,34.6,1,11,19,37.0,24.7,0
2024-10-17,Cloud Engineer,Full-Time,Remote,AI,New York,Becker Inc,Startup,22.0,0,1,270,1,39211.0,0,0,0,1707,7,0,100,9,0,8.0,Free,1,17.3,1,29,41,43.6,62.0,1
2023-10-06,UI/UX Designer,Part-Time,Onsite,Gaming,Berlin,"Huynh, Jones and Campbell",Medium,7.0,0,1,78,1,30551.0,0,1,2691,1243,5,53,23,28,0,8.8,Corporate,0,33.3,1,30,4,49.8,64.5,1
2024-06-13,Marketing Intern,Part-Time,Onsite,Cybersecurity,Bangalore,Miller PLC,Startup,15.0,1,1,174,1,48228.0,0,0,0,1050,4,15,64,14,0,8.5,Corporate,0,11.2,1,0,10,78.3,7.4,0
2021-03-29,Marketing Intern,Contract,Onsite,FinTech,Berlin,Gregory-Ferrell,Medium,21.0,0,1,265,1,29073.0,0,0,0,1096,2,0,29,26,0,4.8,Free,1,17.4,1,25,26,67.5,16.2,0
2021-10-31,Marketing Intern,Full-Time,Onsite,AI,Singapore,"Weaver, Arroyo and Stark",Medium,16.0,1,1,202,0,29462.0,0,0,0,1089,6,0,54,70,0,4.9,Corporate,0,32.1,0,19,0,86.7,5.7,0
2026-02-17,Cloud Engineer,Full-Time,Onsite,Gaming,Singapore,Bryan-Peterson,Small,18.0,1,1,213,1,51087.0,0,0,0,1530,2,14,49,16,0,6.4,Corporate,0,25.3,1,30,73,43.7,43.5,0
2026-01-19,AI Research Intern,Full-Time,Remote,Healthcare,London,Adams-Cordova,Enterprise,13.0,0,1,129,1,56065.0,0,0,0,2372,2,47,28,21,0,0.0,Free,1,29.4,1,26,25,42.3,53.2,1
2026-04-23,Frontend Developer,Full-Time,Remote,Healthcare,Toronto,Lee Group,Medium,25.0,1,1,314,1,32314.0,0,0,0,1858,2,4,53,17,0,5.3,Free,1,20.4,1,44,25,73.1,31.1,0
2018-09-16,UI/UX Designer,Contract,Hybrid,FinTech,New York,Hendrix-Baird,Small,35.0,1,0,414,1,27599.0,0,0,0,3137,4,45,31,32,0,1.5,Corporate,0,13.6,0,16,62,46.2,52.4,1
2019-08-05,Cloud Engineer,Part-Time,Remote,Healthcare,Berlin,"Perry, Reynolds and Anderson",Startup,25.0,1,1,327,1,46042.0,0,0,0,1997,1,38,0,46,0,3.9,Corporate,0,37.2,1,40,37,47.9,22.7,0
2022-01-02,Backend Developer,Full-Time,Onsite,Cybersecurity,San Francisco,Berger-Aguirre,Medium,9.0,1,0,120,0,44654.0,0,0,0,2936,3,32,45,42,0,2.1,Corporate,0,36.0,1,60,2,61.2,27.8,0
2020-08-19,UI/UX Designer,Part-Time,Onsite,Healthcare,Singapore,Glover-Wallace,Small,33.0,1,1,424,0,21782.0,0,1,259,1294,4,0,68,7,0,3.0,Corporate,0,22.9,1,18,46,56.0,61.8,1
2025-05-03,Marketing Intern,Full-Time,Remote,Marketing,Dubai,"Hoffman, Washington and Jones",Small,5.0,1,0,69,1,25326.0,0,0,0,2635,0,63,46,47,0,1.0,Corporate,0,28.4,1,9,24,67.5,58.3,1
2024-04-02,Frontend Developer,Full-Time,Hybrid,Marketing,Dubai,Barrett PLC,Medium,27.0,1,1,332,1,50472.0,0,0,0,957,3,51,28,30,0,5.5,Corporate,0,22.0,0,0,6,68.9,0.0,0
2020-07-10,ML Engineer,Full-Time,Onsite,E-Commerce,Berlin,Hoover Inc,Startup,1.0,1,1,29,1,30755.0,0,0,0,2835,1,0,39,48,0,6.7,Corporate,0,1.0,1,12,30,79.9,14.5,0
2025-02-19,Marketing Intern,Contract,Hybrid,Marketing,Sydney,Barrett and Sons,Startup,37.0,0,0,423,0,41091.0,0,0,0,2177,4,49,0,0,0,3.0,Corporate,0,7.5,1,11,6,54.9,49.0,0
2022-12-21,Cloud Engineer,Full-Time,Onsite,E-Commerce,Singapore,"Rivera, Smith and Hudson",Small,32.0,0,0,400,1,54401.0,0,0,0,1595,3,3,53,41,0,2.2,Free,1,20.0,1,42,11,59.3,62.1,1
2020-11-29,Frontend Developer,Contract,Onsite,Marketing,London,Lee Group,Medium,7.0,1,1,101,1,31790.0,0,0,0,2498,2,67,51,0,0,2.5,Corporate,0,19.2,1,16,19,48.9,17.8,0
2020-10-03,UI/UX Designer,Part-Time,Hybrid,Gaming,Toronto,Johnson Inc,Startup,14.0,1,0,174,1,39477.0,0,0,0,1679,2,24,60,18,0,4.5,Free,1,16.8,1,5,21,54.5,49.2,0
2018-12-02,Cloud Engineer,Part-Time,Remote,EdTech,Toronto,"Clay, Gonzalez and Adams",Small,20.0,1,0,234,0,30164.0,0,0,0,1304,4,13,36,1,0,6.4,Corporate,0,17.4,1,38,13,60.2,17.4,0
2026-05-04,Data Science Intern,Full-Time,Hybrid,EdTech,San Francisco,Atkinson PLC,Startup,24.0,1,1,305,1,31114.0,0,0,0,1568,5,0,79,16,0,10.3,Free,1,34.8,0,33,22,68.7,38.7,0
2024-04-04,AI Research Intern,Part-Time,Hybrid,FinTech,Toronto,"Holder, Perry and Harris",Small,8.0,1,1,63,1,68014.0,0,1,3534,2031,2,27,79,0,0,0.6,Free,1,19.9,0,56,18,62.5,56.0,1
2024-03-17,Marketing Intern,Part-Time,Onsite,FinTech,Singapore,Jackson Group,Small,6.0,1,1,69,0,48007.0,0,0,0,2419,4,18,24,22,0,5.7,Free,1,27.0,0,22,33,45.0,36.6,0
2025-09-19,Frontend Developer,Full-Time,Remote,Marketing,Toronto,Mosley PLC,Medium,16.0,1,1,202,1,39361.0,0,0,0,2658,3,17,92,2,0,2.1,Corporate,0,13.7,1,59,29,73.5,18.7,0
2020-01-31,Cloud Engineer,Contract,Remote,AI,Sydney,James PLC,Small,35.0,1,0,414,1,35287.0,0,0,0,877,2,44,45,34,0,7.8,Corporate,0,1.0,0,6,10,63.8,25.9,0
2022-12-18,Marketing Intern,Full-Time,Hybrid,FinTech,Dubai,"Smith, Brown and Christian",Small,33.0,1,1,402,1,36411.0,0,0,0,2592,4,32,97,7,0,4.5,Free,1,1.0,1,0,38,51.3,52.8,1
2025-02-22,Cybersecurity Analyst,Contract,Onsite,AI,San Francisco,"Mendez, Simpson and Vaughan",Medium,16.0,0,1,181,1,42252.0,0,0,0,973,3,21,11,48,0,4.1,Corporate,0,16.5,1,15,16,57.7,29.8,0
2024-10-27,Frontend Developer,Internship,Remote,AI,Dubai,Ho Inc,Startup,8.0,1,0,109,1,57440.0,0,0,0,704,3,26,65,30,0,1.4,Corporate,0,20.8,0,14,7,73.4,36.5,0
2026-01-10,UI/UX Designer,Full-Time,Hybrid,Marketing,New York,Burke-Davis,Startup,13.0,1,1,130,1,46975.0,0,0,0,1765,3,43,24,36,0,10.5,Corporate,0,7.0,1,15,20,56.1,13.9,0
2021-06-06,Marketing Intern,Full-Time,Hybrid,Gaming,Toronto,Palmer and Sons,Startup,28.0,1,1,343,1,2000.0,0,0,0,1056,3,29,23,18,0,6.2,Free,1,11.3,0,27,8,63.1,5.1,0
2024-06-21,ML Engineer,Full-Time,Hybrid,Software,London,Martinez Ltd,Enterprise,17.0,1,1,180,1,25623.0,0,0,0,2025,1,10,28,36,0,1.5,Corporate,0,25.3,0,41,33,72.7,8.0,0
2025-06-07,Cloud Engineer,Part-Time,Hybrid,Gaming,San Francisco,Lee-Hunt,Enterprise,34.0,1,1,422,1,15023.0,0,0,0,1217,4,28,64,73,0,11.2,Corporate,0,21.2,1,32,0,65.1,20.8,0
2026-10-04,Cloud Engineer,Part-Time,Onsite,Marketing,London,"Saunders, Young and Kelly",Small,26.0,1,1,321,1,,0,0,0,2795,5,30,6,38,0,3.7,Free,1,18.4,1,0,1,58.3,28.9,0
2025-07-14,AI Research Intern,Internship,Remote,Healthcare,Singapore,Hayes-Williams,Medium,11.0,0,0,167,1,12056.0,0,0,0,1458,2,34,8,6,0,9.9,Free,1,21.1,1,9,9,63.3,52.4,1
2021-02-17,Cloud Engineer,Internship,Remote,Cybersecurity,Singapore,Combs-Gibson,Enterprise,33.0,1,1,434,1,50538.0,0,0,0,1182,2,53,19,28,0,0.7,Corporate,0,5.2,1,26,3,60.1,0.0,0
2022-10-28,Backend Developer,Internship,Hybrid,Gaming,New York,Peterson-Castaneda,Medium,29.0,1,1,374,0,45627.0,0,0,0,2472,2,29,24,31,0,2.7,Corporate,0,13.7,1,41,48,63.2,26.6,0
2024-01-13,Backend Developer,Part-Time,Hybrid,Healthcare,Berlin,Perez and Sons,Medium,4.0,0,0,43,0,28980.0,0,1,244,1171,4,41,83,27,0,5.8,Corporate,0,12.3,1,35,37,20.1,100.0,1
2023-08-30,Data Science Intern,Full-Time,Hybrid,Software,San Francisco,Jones-Hill,Startup,24.0,0,0,276,1,34137.0,0,0,0,1747,3,0,0,8,0,2.1,Corporate,0,18.0,1,25,30,69.3,20.4,0
2021-04-18,ML Engineer,Part-Time,Remote,Marketing,Singapore,Williams-Shields,Small,35.0,1,1,404,1,15989.0,0,1,2075,2040,1,11,42,32,0,5.3,Free,1,22.5,1,23,21,59.5,73.2,1
2026-02-15,Marketing Intern,Part-Time,Remote,E-Commerce,Berlin,"Diaz, Jackson and Williams",Startup,1.0,1,1,33,1,29837.0,0,0,0,1939,8,34,81,24,0,0.0,Corporate,0,9.1,0,11,33,44.3,63.0,1
2020-11-30,Cloud Engineer,Part-Time,Remote,Gaming,Bangalore,Waters Inc,Small,32.0,1,1,395,1,30766.0,0,0,0,2412,6,47,64,0,0,11.2,Free,1,13.5,1,23,0,43.8,52.5,1
2025-10-11,Cybersecurity Analyst,Part-Time,Onsite,E-Commerce,Bangalore,"Shaw, Knox and Martinez",Small,7.0,1,1,69,0,30328.0,0,0,0,2017,2,38,22,33,0,1.8,Corporate,0,21.2,0,15,0,42.1,4.3,0
2020-11-19,Cybersecurity Analyst,Internship,Onsite,Gaming,San Francisco,Ramos PLC,Medium,33.0,0,1,393,1,37084.0,0,0,0,1085,6,32,5,43,1,5.4,Free,1,20.4,1,0,4,50.3,68.0,1
2018-05-07,Data Science Intern,Part-Time,Remote,E-Commerce,Sydney,Adams-Watts,Enterprise,32.0,1,1,410,1,38336.0,0,0,0,1610,4,32,18,11,1,5.8,Corporate,0,31.9,1,46,32,35.7,47.8,0
2021-01-04,ML Engineer,Full-Time,Remote,AI,Berlin,Gallegos-Ramirez,Medium,22.0,1,1,264,1,56636.0,0,0,0,998,2,30,13,0,0,0.8,Corporate,0,16.3,1,13,1,78.0,0.0,0
2024-05-06,Frontend Developer,Part-Time,Remote,AI,San Francisco,"Wilson, Johnston and Hester",Small,13.0,1,1,160,0,47231.0,0,0,0,1536,4,54,75,0,0,9.8,Corporate,0,27.4,1,36,41,27.4,54.4,1
2024-09-06,Frontend Developer,Internship,Hybrid,Cybersecurity,Dubai,Brown-Barnes,Medium,17.0,0,1,197,0,68540.0,0,1,4507,2608,4,34,43,41,0,5.6,Corporate,0,12.1,1,1,23,13.9,74.0,1
2026-03-02,ML Engineer,Full-Time,Remote,Cybersecurity,Singapore,"Byrd, Henry and Bush",Medium,32.0,1,1,384,1,37635.0,0,0,0,1402,2,40,44,31,0,3.7,Corporate,0,3.7,1,37,28,53.0,41.4,0
2018-04-30,Data Science Intern,Part-Time,Remote,Software,Sydney,"Miller, Flynn and Jones",Startup,20.0,0,1,251,1,42863.0,0,0,0,1138,4,5,42,15,0,4.9,Corporate,0,20.0,1,35,38,49.5,37.9,0
2025-02-17,Frontend Developer,Internship,Remote,AI,Bangalore,"Shah, Haley and Eaton",Startup,31.0,0,0,385,0,55776.0,0,0,0,2067,4,29,74,28,0,0.9,Corporate,0,32.3,0,4,31,32.0,66.1,1
2021-08-19,Cybersecurity Analyst,Part-Time,Remote,FinTech,San Francisco,Underwood-Schneider,Startup,12.0,1,0,154,0,47072.0,0,0,0,1785,2,55,63,33,1,2.2,Free,1,1.0,1,10,15,44.5,81.3,1
2024-10-24,Cloud Engineer,Full-Time,Onsite,Cybersecurity,Toronto,Thompson-Bell,Startup,37.0,1,1,440,1,36165.0,0,0,0,1447,4,22,59,33,0,6.1,Corporate,0,1.0,1,0,22,56.6,21.6,0
2019-02-21,Backend Developer,Full-Time,Hybrid,AI,Bangalore,Rogers-Murray,Small,32.0,1,1,371,1,54144.0,0,0,0,2073,4,23,34,18,0,6.9,Corporate,0,22.7,0,46,44,36.5,29.2,0
2023-10-22,Cloud Engineer,Full-Time,Hybrid,Cybersecurity,Sydney,Smith and Sons,Small,26.0,0,0,323,1,43283.0,0,0,0,847,2,48,72,19,0,2.7,Free,1,1.0,1,33,2,40.3,71.1,1
2018-10-28,UI/UX Designer,Full-Time,Remote,E-Commerce,Toronto,Hunt Inc,Startup,26.0,1,1,293,1,55704.0,0,0,0,1979,5,16,62,0,0,10.4,Corporate,0,24.5,1,46,32,45.9,20.4,0
2018-09-25,Cloud Engineer,Contract,Onsite,FinTech,Bangalore,Thornton-Copeland,Enterprise,,0,1,369,1,32771.0,0,0,0,3206,3,35,62,0,0,6.5,Corporate,0,5.9,0,20,49,21.6,67.7,1
2020-01-20,Data Science Intern,Contract,Onsite,Healthcare,London,"Mason, Martin and Whitney",Startup,13.0,1,1,166,1,37244.0,0,1,246,1130,1,52,0,24,0,2.7,Corporate,0,1.0,1,48,40,58.1,42.9,0
