TransactionNo,Items,DateTime,Daypart,DayType
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend
40,Juice,2016-10-30 11:55:51,Morning,Weekend
40,Tartine,2016-10-30 11:55:51,Morning,Weekend
40,Coffee,2016-10-30 11:55:51,Morning,Weekend
40,Muffin,2016-10-30 11:55:51,Morning,Weekend
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend
42,Bread,2016-10-30 11:57:45,Morning,Weekend
42,Tea,2016-10-30 11:57:45,Morning,Weekend
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend
81,Coffee,2016-10-31 08:28:31,Morning,Weekday
81,Cake,2016-10-31 08:28:31,Morning,Weekday
82,Tartine,2016-10-31 08:47:05,Morning,Weekday
82,Bread,2016-10-31 08:47:05,Morning,Weekday
83,Coffee,2016-10-31 08:57:47,Morning,Weekday
83,Bread,2016-10-31 08:57:47,Morning,Weekday
84,Bread,2016-10-31 09:04:06,Morning,Weekday
85,Coffee,2016-10-31 09:10:09,Morning,Weekday
85,Coffee,2016-10-31 09:10:09,Morning,Weekday
85,Pastry,2016-10-31 09:10:09,Morning,Weekday
85,Medialuna,2016-10-31 09:10:09,Morning,Weekday
86,Juice,2016-10-31 09:11:08,Morning,Weekday
87,Bread,2016-10-31 09:12:56,Morning,Weekday
88,Coffee,2016-10-31 09:16:01,Morning,Weekday
88,Coffee,2016-10-31 09:16:01,Morning,Weekday
88,Jam,2016-10-31 09:16:01,Morning,Weekday
89,Bread,2016-10-31 09:19:41,Morning,Weekday
90,Bread,2016-10-31 09:20:12,Morning,Weekday
90,Coffee,2016-10-31 09:20:12,Morning,Weekday
91,Tea,2016-10-31 09:22:48,Morning,Weekday
92,Coffee,2016-10-31 09:27:11,Morning,Weekday
93,Bread,2016-10-31 09:29:23,Morning,Weekday
93,Coke,2016-10-31 09:29:23,Morning,Weekday
94,Coffee,2016-10-31 09:39:09,Morning,Weekday
94,Coffee,2016-10-31 09:39:09,Morning,Weekday
95,Tea,2016-10-31 09:43:37,Morning,Weekday
95,Pastry,2016-10-31 09:43:37,Morning,Weekday
95,Farm House,2016-10-31 09:43:37,Morning,Weekday
96,Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Pastry,2016-10-31 09:46:48,Morning,Weekday
96,Coffee,2016-10-31 09:46:48,Morning,Weekday
96,Juice,2016-10-31 09:46:48,Morning,Weekday
97,Coffee,2016-10-31 09:51:11,Morning,Weekday
97,Pastry,2016-10-31 09:51:11,Morning,Weekday
97,Juice,2016-10-31 09:51:11,Morning,Weekday
98,Farm House,2016-10-31 09:52:22,Morning,Weekday
99,Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Pastry,2016-10-31 09:56:37,Morning,Weekday
99,Coffee,2016-10-31 09:56:37,Morning,Weekday
99,Bread,2016-10-31 09:56:37,Morning,Weekday
100,Bread,2016-10-31 09:58:06,Morning,Weekday
101,Coffee,2016-10-31 10:04:02,Morning,Weekday
101,Pastry,2016-10-31 10:04:02,Morning,Weekday
102,Farm House,2016-10-31 10:04:44,Morning,Weekday
103,Bread,2016-10-31 10:07:40,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
104,Medialuna,2016-10-31 10:12:48,Morning,Weekday
104,Muffin,2016-10-31 10:12:48,Morning,Weekday
104,Coffee,2016-10-31 10:12:48,Morning,Weekday
105,Coffee,2016-10-31 10:21:29,Morning,Weekday
105,Tea,2016-10-31 10:21:29,Morning,Weekday
105,Cake,2016-10-31 10:21:29,Morning,Weekday
106,Coffee,2016-10-31 10:24:21,Morning,Weekday
106,Coffee,2016-10-31 10:24:21,Morning,Weekday
106,Pastry,2016-10-31 10:24:21,Morning,Weekday
106,Pastry,2016-10-31 10:24:21,Morning,Weekday
107,Coffee,2016-10-31 10:27:30,Morning,Weekday
107,Tea,2016-10-31 10:27:30,Morning,Weekday
108,Farm House,2016-10-31 10:31:05,Morning,Weekday
108,Muffin,2016-10-31 10:31:05,Morning,Weekday
109,Bread,2016-10-31 10:35:23,Morning,Weekday
109,Muffin,2016-10-31 10:35:23,Morning,Weekday
109,Pastry,2016-10-31 10:35:23,Morning,Weekday
110,Pastry,2016-10-31 10:36:37,Morning,Weekday
111,Coffee,2016-10-31 10:38:09,Morning,Weekday
112,Coffee,2016-10-31 10:59:17,Morning,Weekday
113,Coffee,2016-10-31 11:02:37,Morning,Weekday
113,Cake,2016-10-31 11:02:37,Morning,Weekday
114,Farm House,2016-10-31 11:05:45,Morning,Weekday
115,Bread,2016-10-31 11:08:53,Morning,Weekday
116,Coffee,2016-10-31 11:11:01,Morning,Weekday
117,Cookies,2016-10-31 11:13:08,Morning,Weekday
117,Cake,2016-10-31 11:13:08,Morning,Weekday
117,Coffee,2016-10-31 11:13:08,Morning,Weekday
117,My-5 Fruit Shoot,2016-10-31 11:13:08,Morning,Weekday
118,Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Cookies,2016-10-31 11:18:29,Morning,Weekday
118,Tea,2016-10-31 11:18:29,Morning,Weekday
118,Pastry,2016-10-31 11:18:29,Morning,Weekday
119,Coffee,2016-10-31 11:25:56,Morning,Weekday
119,Coffee,2016-10-31 11:25:56,Morning,Weekday
119,Muffin,2016-10-31 11:25:56,Morning,Weekday
120,Farm House,2016-10-31 11:29:01,Morning,Weekday
121,Coffee,2016-10-31 11:30:59,Morning,Weekday
121,Bread,2016-10-31 11:30:59,Morning,Weekday
122,Cookies,2016-10-31 11:37:30,Morning,Weekday
123,Jam,2016-10-31 11:42:05,Morning,Weekday
123,Coffee,2016-10-31 11:42:05,Morning,Weekday
123,Coffee,2016-10-31 11:42:05,Morning,Weekday
123,Juice,2016-10-31 11:42:05,Morning,Weekday
124,Coffee,2016-10-31 11:43:10,Morning,Weekday
124,Soup,2016-10-31 11:43:10,Morning,Weekday
125,Tea,2016-10-31 11:47:18,Morning,Weekday
126,Coffee,2016-10-31 11:52:43,Morning,Weekday
126,Jam,2016-10-31 11:52:43,Morning,Weekday
127,Farm House,2016-10-31 11:53:11,Morning,Weekday
128,Tartine,2016-10-31 11:55:00,Morning,Weekday
128,Coffee,2016-10-31 11:55:00,Morning,Weekday
128,Tea,2016-10-31 11:55:00,Morning,Weekday
129,Coffee,2016-10-31 11:59:23,Morning,Weekday
129,Coffee,2016-10-31 11:59:23,Morning,Weekday
129,Cake,2016-10-31 11:59:23,Morning,Weekday
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130,Coffee,2016-10-31 12:03:12,Afternoon,Weekday
130,Muffin,2016-10-31 12:03:12,Afternoon,Weekday
131,Bread,2016-10-31 12:08:28,Afternoon,Weekday
131,Coffee,2016-10-31 12:08:28,Afternoon,Weekday
132,Tea,2016-10-31 12:14:20,Afternoon,Weekday
132,Juice,2016-10-31 12:14:20,Afternoon,Weekday
132,Pick and Mix Bowls,2016-10-31 12:14:20,Afternoon,Weekday
132,Cookies,2016-10-31 12:14:20,Afternoon,Weekday
133,Hearty & Seasonal,2016-10-31 12:16:32,Afternoon,Weekday
133,Soup,2016-10-31 12:16:32,Afternoon,Weekday
134,Hearty & Seasonal,2016-10-31 12:19:37,Afternoon,Weekday
134,Tea,2016-10-31 12:19:37,Afternoon,Weekday
134,Farm House,2016-10-31 12:19:37,Afternoon,Weekday
135,Bread,2016-10-31 12:20:21,Afternoon,Weekday
136,Tea,2016-10-31 12:27:41,Afternoon,Weekday
136,Soup,2016-10-31 12:27:41,Afternoon,Weekday
137,Farm House,2016-10-31 12:37:07,Afternoon,Weekday
138,Soup,2016-10-31 12:43:35,Afternoon,Weekday
138,Hearty & Seasonal,2016-10-31 12:43:35,Afternoon,Weekday
138,Coffee,2016-10-31 12:43:35,Afternoon,Weekday
139,Bread,2016-10-31 12:50:57,Afternoon,Weekday
139,Muffin,2016-10-31 12:50:57,Afternoon,Weekday
139,Hearty & Seasonal,2016-10-31 12:50:57,Afternoon,Weekday
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140,Coffee,2016-10-31 12:53:33,Afternoon,Weekday
140,Cookies,2016-10-31 12:53:33,Afternoon,Weekday
141,Bread,2016-10-31 12:54:28,Afternoon,Weekday
142,Tea,2016-10-31 12:56:47,Afternoon,Weekday
142,Muffin,2016-10-31 12:56:47,Afternoon,Weekday
143,Tea,2016-10-31 12:59:08,Afternoon,Weekday
144,Soup,2016-10-31 13:02:11,Afternoon,Weekday
144,Hearty & Seasonal,2016-10-31 13:02:11,Afternoon,Weekday
145,Coffee,2016-10-31 13:05:49,Afternoon,Weekday
145,Tea,2016-10-31 13:05:49,Afternoon,Weekday
145,Focaccia,2016-10-31 13:05:49,Afternoon,Weekday
146,Sandwich,2016-10-31 13:08:30,Afternoon,Weekday
147,Tartine,2016-10-31 13:09:31,Afternoon,Weekday
147,Coffee,2016-10-31 13:09:31,Afternoon,Weekday
148,Fudge,2016-10-31 13:21:17,Afternoon,Weekday
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
148,Coffee,2016-10-31 13:21:17,Afternoon,Weekday
149,Coffee,2016-10-31 13:26:03,Afternoon,Weekday
150,Bread,2016-10-31 13:31:33,Afternoon,Weekday
151,Coke,2016-10-31 13:50:17,Afternoon,Weekday
151,Soup,2016-10-31 13:50:17,Afternoon,Weekday
152,Muffin,2016-10-31 13:51:18,Afternoon,Weekday
153,Tea,2016-10-31 13:55:22,Afternoon,Weekday
153,Coffee,2016-10-31 13:55:22,Afternoon,Weekday
153,Cookies,2016-10-31 13:55:22,Afternoon,Weekday
153,Muffin,2016-10-31 13:55:22,Afternoon,Weekday
154,Mighty Protein,2016-10-31 14:00:21,Afternoon,Weekday
154,Hearty & Seasonal,2016-10-31 14:00:21,Afternoon,Weekday
154,Coffee,2016-10-31 14:00:21,Afternoon,Weekday
154,Coke,2016-10-31 14:00:21,Afternoon,Weekday
155,Tea,2016-10-31 14:01:30,Afternoon,Weekday
155,Muffin,2016-10-31 14:01:30,Afternoon,Weekday
155,Sandwich,2016-10-31 14:01:30,Afternoon,Weekday
156,Coffee,2016-10-31 14:04:16,Afternoon,Weekday
156,Muffin,2016-10-31 14:04:16,Afternoon,Weekday
157,Coffee,2016-10-31 14:05:07,Afternoon,Weekday
157,Bread,2016-10-31 14:05:07,Afternoon,Weekday
158,Coffee,2016-10-31 14:20:29,Afternoon,Weekday
158,Muffin,2016-10-31 14:20:29,Afternoon,Weekday
159,Bread,2016-10-31 14:22:31,Afternoon,Weekday
159,Hot chocolate,2016-10-31 14:22:31,Afternoon,Weekday
159,Cookies,2016-10-31 14:22:31,Afternoon,Weekday
160,Mineral water,2016-10-31 14:35:27,Afternoon,Weekday
160,Muffin,2016-10-31 14:35:27,Afternoon,Weekday
161,Tea,2016-10-31 14:42:34,Afternoon,Weekday
162,Muffin,2016-10-31 14:44:48,Afternoon,Weekday
163,Coffee,2016-10-31 14:47:16,Afternoon,Weekday
163,Juice,2016-10-31 14:47:16,Afternoon,Weekday
164,Coffee,2016-10-31 14:47:36,Afternoon,Weekday
164,Muffin,2016-10-31 14:47:36,Afternoon,Weekday
165,Tea,2016-10-31 14:48:49,Afternoon,Weekday
166,Coffee,2016-10-31 14:49:28,Afternoon,Weekday
166,Muffin,2016-10-31 14:49:28,Afternoon,Weekday
167,Sandwich,2016-10-31 14:50:42,Afternoon,Weekday
167,Hearty & Seasonal,2016-10-31 14:50:42,Afternoon,Weekday
167,Bread,2016-10-31 14:50:42,Afternoon,Weekday
167,Mineral water,2016-10-31 14:50:42,Afternoon,Weekday
168,Tea,2016-10-31 14:56:25,Afternoon,Weekday
168,Coffee,2016-10-31 14:56:25,Afternoon,Weekday
169,Mineral water,2016-10-31 15:05:17,Afternoon,Weekday
170,Coffee,2016-10-31 15:16:49,Afternoon,Weekday
171,Soup,2016-10-31 15:20:16,Afternoon,Weekday
171,Tea,2016-10-31 15:20:16,Afternoon,Weekday
172,Bread,2016-10-31 17:06:47,Evening,Weekday
172,Coffee,2016-10-31 17:06:47,Evening,Weekday
173,Bread,2016-10-31 17:08:09,Evening,Weekday
173,Muffin,2016-10-31 17:08:09,Evening,Weekday
174,Coffee,2016-10-31 17:40:21,Evening,Weekday
175,Bread,2016-10-31 17:49:42,Evening,Weekday
176,Cookies,2016-10-31 18:22:24,Evening,Weekday
176,Coffee,2016-10-31 18:22:24,Evening,Weekday
178,Coffee,2016-01-11 07:51:20,Morning,Weekday
178,Pastry,2016-01-11 07:51:20,Morning,Weekday
179,Coffee,2016-01-11 08:20:50,Morning,Weekday
179,Pastry,2016-01-11 08:20:50,Morning,Weekday
180,Jam,2016-01-11 08:22:28,Morning,Weekday
180,Tea,2016-01-11 08:22:28,Morning,Weekday
181,Tea,2016-01-11 08:45:20,Morning,Weekday
181,Tea,2016-01-11 08:45:20,Morning,Weekday
182,Pastry,2016-01-11 09:07:47,Morning,Weekday
182,Pastry,2016-01-11 09:07:47,Morning,Weekday
182,Ella's Kitchen Pouches,2016-01-11 09:07:47,Morning,Weekday
183,Pastry,2016-01-11 09:09:26,Morning,Weekday
184,Farm House,2016-01-11 09:26:03,Morning,Weekday
184,Tea,2016-01-11 09:26:03,Morning,Weekday
185,Tea,2016-01-11 09:29:25,Morning,Weekday
185,Victorian Sponge,2016-01-11 09:29:25,Morning,Weekday
186,Tea,2016-01-11 09:43:13,Morning,Weekday
186,Pastry,2016-01-11 09:43:13,Morning,Weekday
187,Bread,2016-01-11 10:02:27,Morning,Weekday
188,Coffee,2016-01-11 10:04:05,Morning,Weekday
189,Bread,2016-01-11 10:29:02,Morning,Weekday
189,Coffee,2016-01-11 10:29:02,Morning,Weekday
190,Coffee,2016-01-11 10:34:53,Morning,Weekday
190,Pastry,2016-01-11 10:34:53,Morning,Weekday
190,Pastry,2016-01-11 10:34:53,Morning,Weekday
191,Soup,2016-01-11 10:50:50,Morning,Weekday
191,Tea,2016-01-11 10:50:50,Morning,Weekday
192,Bread,2016-01-11 10:56:08,Morning,Weekday
193,Coffee,2016-01-11 11:00:48,Morning,Weekday
194,Bread,2016-01-11 11:04:36,Morning,Weekday
194,Bread,2016-01-11 11:04:36,Morning,Weekday
195,Bread,2016-01-11 11:06:09,Morning,Weekday
195,Scandinavian,2016-01-11 11:06:09,Morning,Weekday
196,Bread,2016-01-11 11:08:18,Morning,Weekday
196,Cake,2016-01-11 11:08:18,Morning,Weekday
196,Cookies,2016-01-11 11:08:18,Morning,Weekday
197,Coffee,2016-01-11 11:10:11,Morning,Weekday
197,Coffee,2016-01-11 11:10:11,Morning,Weekday
197,Tea,2016-01-11 11:10:11,Morning,Weekday
198,Coffee,2016-01-11 11:11:58,Morning,Weekday
198,Cookies,2016-01-11 11:11:58,Morning,Weekday
199,Coffee,2016-01-11 11:13:20,Morning,Weekday
200,Bread,2016-01-11 11:16:30,Morning,Weekday
201,Coffee,2016-01-11 11:22:36,Morning,Weekday
201,Pastry,2016-01-11 11:22:36,Morning,Weekday
202,Coffee,2016-01-11 11:23:19,Morning,Weekday
202,Coffee,2016-01-11 11:23:19,Morning,Weekday
203,Coffee,2016-01-11 11:25:53,Morning,Weekday
204,Scandinavian,2016-01-11 11:30:00,Morning,Weekday
204,Bread,2016-01-11 11:30:00,Morning,Weekday
205,Coffee,2016-01-11 11:49:31,Morning,Weekday
205,Coffee,2016-01-11 11:49:31,Morning,Weekday
205,Pastry,2016-01-11 11:49:31,Morning,Weekday
206,Scandinavian,2016-01-11 11:54:17,Morning,Weekday
206,Coffee,2016-01-11 11:54:17,Morning,Weekday
206,Pastry,2016-01-11 11:54:17,Morning,Weekday
207,Hearty & Seasonal,2016-01-11 12:03:37,Afternoon,Weekday
207,Coffee,2016-01-11 12:03:37,Afternoon,Weekday
207,Muffin,2016-01-11 12:03:37,Afternoon,Weekday
208,Bread,2016-01-11 12:10:09,Afternoon,Weekday
209,Coffee,2016-01-11 12:10:38,Afternoon,Weekday
210,Scandinavian,2016-01-11 12:12:26,Afternoon,Weekday
211,Soup,2016-01-11 12:15:36,Afternoon,Weekday
211,Coffee,2016-01-11 12:15:36,Afternoon,Weekday
212,Coffee,2016-01-11 12:20:30,Afternoon,Weekday
212,Cookies,2016-01-11 12:20:30,Afternoon,Weekday
212,Tartine,2016-01-11 12:20:30,Afternoon,Weekday
213,Bread,2016-01-11 12:22:04,Afternoon,Weekday
214,Bread,2016-01-11 12:26:43,Afternoon,Weekday
214,Tea,2016-01-11 12:26:43,Afternoon,Weekday
214,Tea,2016-01-11 12:26:43,Afternoon,Weekday
215,Pastry,2016-01-11 12:30:30,Afternoon,Weekday
215,Coffee,2016-01-11 12:30:30,Afternoon,Weekday
216,Tartine,2016-01-11 12:31:30,Afternoon,Weekday
216,Coffee,2016-01-11 12:31:30,Afternoon,Weekday
217,Bread,2016-01-11 12:33:31,Afternoon,Weekday
217,Cookies,2016-01-11 12:33:31,Afternoon,Weekday
218,Sandwich,2016-01-11 12:37:29,Afternoon,Weekday
219,Tartine,2016-01-11 12:41:16,Afternoon,Weekday
220,Bread,2016-01-11 12:49:16,Afternoon,Weekday
220,Pastry,2016-01-11 12:49:16,Afternoon,Weekday
221,Bread,2016-01-11 12:53:18,Afternoon,Weekday
221,Scandinavian,2016-01-11 12:53:18,Afternoon,Weekday
222,Scandinavian,2016-01-11 13:08:46,Afternoon,Weekday
223,Alfajores,2016-01-11 13:11:34,Afternoon,Weekday
223,Coffee,2016-01-11 13:11:34,Afternoon,Weekday
224,Coffee,2016-01-11 13:15:08,Afternoon,Weekday
225,Coffee,2016-01-11 13:19:00,Afternoon,Weekday
225,Coke,2016-01-11 13:19:00,Afternoon,Weekday
225,Soup,2016-01-11 13:19:00,Afternoon,Weekday
226,Cake,2016-01-11 13:21:52,Afternoon,Weekday
227,Tea,2016-01-11 13:31:35,Afternoon,Weekday
227,Sandwich,2016-01-11 13:31:35,Afternoon,Weekday
227,Soup,2016-01-11 13:31:35,Afternoon,Weekday
228,Coffee,2016-01-11 13:33:54,Afternoon,Weekday
