JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Data Scientist,Female,24,4,College,Administration,4,71105,8623
Driver,Female,31,5,High School,Engineering,2,62692,8886
Software Engineer,Male,40,5,PhD,Management,4,112466,9493
Data Scientist,Female,49,5,College,Operations,3,71193,8331
Marketing Associate,Female,20,5,Masters,Administration,4,76286,9479
Financial Analyst,Male,18,5,PhD,Engineering,4,97328,9874
Graphic Designer,Male,34,5,Masters,Management,3,86766,9841
Warehouse Associate,Female,41,5,College,Operations,2,82453,9564
Software Engineer,Male,19,5,PhD,Administration,3,88814,10153
Driver,Male,31,5,College,Management,4,82832,9958
Sales Associate,Female,33,5,High School,Engineering,3,83034,8841
Warehouse Associate,Female,53,5,College,Engineering,5,127085,9687
Sales Associate,Male,24,5,High School,Administration,1,66168,9242
Data Scientist,Male,18,5,PhD,Administration,4,59212,10209
Data Scientist,Male,18,5,High School,Operations,2,55189,9405
Manager,Male,25,5,College,Engineering,5,131311,11067
Sales Associate,Female,31,5,College,Management,1,52633,9516
Warehouse Associate,Female,31,4,PhD,Operations,5,101154,10324
Financial Analyst,Female,42,5,College,Engineering,5,113640,8762
Data Scientist,Male,22,4,High School,Management,2,50401,8590
Marketing Associate,Female,23,5,PhD,Administration,3,46263,9432
Warehouse Associate,Female,36,4,College,Management,3,74938,8234
Marketing Associate,Female,39,5,College,Sales,5,103384,9168
Warehouse Associate,Female,39,5,College,Engineering,2,77584,9798
Graphic Designer,Male,23,5,Masters,Management,3,83031,10240
Financial Analyst,Male,29,5,Masters,Engineering,5,111019,10042
Warehouse Associate,Female,25,3,Masters,Engineering,4,80192,8747
Warehouse Associate,Male,21,5,PhD,Management,1,48755,9931
Warehouse Associate,Male,28,5,High School,Engineering,2,59044,9368
Manager,Male,29,4,PhD,Engineering,5,146615,10173
Data Scientist,Female,32,5,PhD,Engineering,1,46693,8457
IT,Female,48,5,PhD,Operations,3,88152,8857
Data Scientist,Female,38,5,Masters,Administration,5,127156,9979
Graphic Designer,Male,31,5,PhD,Engineering,1,69462,8872
Manager,Male,19,4,PhD,Sales,5,119162,9395
Software Engineer,Male,26,5,PhD,Operations,2,68466,8384
Financial Analyst,Female,36,5,Masters,Administration,3,92622,8509
Marketing Associate,Female,34,5,Masters,Engineering,1,51331,9130
Warehouse Associate,Male,49,5,High School,Sales,4,109419,8375
Software Engineer,Male,18,5,College,Operations,3,80355,9945
Driver,Female,21,4,Masters,Sales,4,77032,8725
Financial Analyst,Female,47,5,High School,Sales,5,146190,8961
Graphic Designer,Female,22,4,Masters,Administration,4,96045,9129
Software Engineer,Male,29,5,High School,Management,1,82534,8914
IT,Male,55,5,College,Management,5,127769,8802
Marketing Associate,Female,34,5,High School,Sales,5,96061,9093
Warehouse Associate,Female,48,5,College,Management,5,111342,10122
Financial Analyst,Female,43,5,PhD,Management,3,117554,8369
Financial Analyst,Female,30,5,High School,Engineering,5,109369,10052
Warehouse Associate,Female,25,4,Masters,Operations,4,92358,9611
Financial Analyst,Female,21,4,Masters,Operations,4,91978,8647
Sales Associate,Male,28,5,PhD,Administration,1,52290,9330
IT,Male,18,5,High School,Engineering,1,47036,9130
Warehouse Associate,Male,46,5,PhD,Sales,1,76517,8502
Marketing Associate,Female,29,4,Masters,Administration,5,89822,8818
Driver,Male,32,4,PhD,Engineering,4,90368,8215
Financial Analyst,Male,26,5,College,Engineering,4,106194,9421
Warehouse Associate,Female,51,5,High School,Management,3,87684,8645
Marketing Associate,Female,40,5,Masters,Administration,3,62040,8056
Sales Associate,Female,52,5,Masters,Engineering,2,84132,7204
Financial Analyst,Female,29,4,Masters,Administration,4,88047,8459
Driver,Female,37,5,Masters,Administration,2,65012,8357
Marketing Associate,Female,23,4,Masters,Engineering,4,59251,8596
Graphic Designer,Female,18,4,PhD,Operations,3,78462,8743
Driver,Male,40,5,College,Management,2,97414,8833
Driver,Female,18,4,Masters,Administration,2,42722,8515
Marketing Associate,Female,26,4,College,Management,3,63695,8897
Data Scientist,Male,51,5,PhD,Operations,4,110731,8643
Software Engineer,Male,54,5,PhD,Administration,4,125572,8245
Driver,Male,49,5,Masters,Operations,2,72754,8014
IT,Female,26,5,College,Administration,2,53956,9454
Sales Associate,Male,58,5,High School,Engineering,5,135013,8972
IT,Female,49,5,College,Management,3,108495,8668
Financial Analyst,Female,27,4,High School,Administration,4,87608,7511
Data Scientist,Male,38,5,College,Administration,5,101173,9255
IT,Male,53,5,PhD,Management,5,126828,9310
Financial Analyst,Male,49,5,High School,Engineering,4,102716,8290
Marketing Associate,Male,26,4,High School,Engineering,5,77793,8700
Marketing Associate,Female,44,5,High School,Sales,1,57469,7539
Graphic Designer,Male,33,5,Masters,Management,3,83758,8498
Graphic Designer,Male,22,5,PhD,Administration,1,40187,8549
Financial Analyst,Male,41,5,Masters,Engineering,3,98531,6855
Financial Analyst,Male,26,4,College,Operations,4,104435,7802
Data Scientist,Male,29,5,High School,Administration,1,67617,9075
Driver,Female,24,4,High School,Administration,5,91049,10375
Manager,Female,32,5,PhD,Operations,1,98519,8943
Marketing Associate,Female,36,4,High School,Operations,5,91713,7627
Warehouse Associate,Female,41,4,Masters,Engineering,3,88994,8873
Financial Analyst,Male,44,5,Masters,Administration,4,119381,9345
Financial Analyst,Female,43,5,High School,Sales,5,113180,9089
Warehouse Associate,Male,48,5,PhD,Management,2,68639,9553
Software Engineer,Female,28,3,PhD,Engineering,4,103763,8383
Software Engineer,Male,40,5,College,Management,1,68295,7902
Manager,Male,21,4,High School,Engineering,3,103107,9036
Warehouse Associate,Female,19,4,College,Sales,2,64844,9042
Driver,Female,61,5,PhD,Sales,4,129132,8472
Warehouse Associate,Female,57,5,High School,Engineering,3,93470,8578
Data Scientist,Male,28,4,Masters,Administration,5,97625,7985
Graphic Designer,Female,52,5,College,Administration,1,66529,7067
Data Scientist,Female,48,5,Masters,Management,1,100115,7679
Warehouse Associate,Female,57,5,PhD,Administration,2,86423,8058
Sales Associate,Male,30,4,Masters,Sales,5,115165,8841
Data Scientist,Female,53,5,Masters,Engineering,5,133495,8552
Marketing Associate,Male,47,5,Masters,Operations,3,86516,8049
IT,Male,18,4,Masters,Administration,4,69855,8347
Sales Associate,Female,35,4,PhD,Sales,1,84844,7205
Graphic Designer,Female,51,5,College,Operations,3,108241,8602
Warehouse Associate,Female,51,5,High School,Sales,3,106478,8744
Financial Analyst,Male,38,4,College,Management,5,114421,7444
Software Engineer,Male,24,4,Masters,Management,1,79208,8602
Software Engineer,Male,49,5,Masters,Administration,5,142105,9653
Sales Associate,Male,22,5,High School,Administration,1,57783,9306
Marketing Associate,Female,33,5,High School,Operations,2,46903,8130
Financial Analyst,Male,36,5,Masters,Operations,1,71858,7475
Marketing Associate,Female,27,5,High School,Management,1,44325,8867
Driver,Male,39,5,High School,Engineering,4,100183,8832
Graphic Designer,Male,19,4,Masters,Sales,1,61000,8872
Software Engineer,Male,59,5,Masters,Engineering,1,109623,6897
Marketing Associate,Female,20,3,PhD,Sales,5,60070,8273
IT,Female,29,4,Masters,Management,3,72542,8109
Driver,Male,54,5,PhD,Administration,4,110049,8928
IT,Female,30,4,Masters,Engineering,2,80981,8201
IT,Female,42,5,College,Operations,2,83499,8950
Driver,Female,42,4,Masters,Management,4,106788,8974
Warehouse Associate,Female,50,4,Masters,Engineering,5,108922,8477
IT,Female,43,5,PhD,Administration,5,127062,9619
Software Engineer,Male,64,5,College,Sales,4,120593,7573
Manager,Male,23,4,PhD,Administration,1,90685,8816
Marketing Associate,Female,33,5,High School,Engineering,1,49830,8543
Software Engineer,Male,39,4,High School,Sales,4,106896,7918
Sales Associate,Male,58,5,PhD,Sales,2,129425,7524
Marketing Associate,Female,24,3,Masters,Operations,5,82338,7414
Marketing Associate,Female,37,4,PhD,Administration,3,86036,7567
Graphic Designer,Male,53,5,High School,Operations,2,93073,8188
Software Engineer,Male,33,5,PhD,Administration,2,87352,8435
Software Engineer,Male,56,5,PhD,Administration,5,139760,9229
Financial Analyst,Female,52,5,High School,Engineering,2,100070,7169
Warehouse Associate,Male,40,5,Masters,Sales,4,102815,9090
Software Engineer,Male,43,4,PhD,Management,5,101262,7794
Data Scientist,Male,19,5,High School,Operations,2,58054,9585
Sales Associate,Female,53,4,Masters,Operations,5,129609,7392
Sales Associate,Male,44,5,Masters,Administration,2,100091,9185
Manager,Male,23,4,Masters,Sales,3,103479,7850
Driver,Female,51,5,College,Operations,1,72827,7285
IT,Male,20,4,PhD,Engineering,2,74073,8509
Financial Analyst,Male,47,5,College,Administration,2,64852,8023
Graphic Designer,Male,49,5,College,Management,4,106887,8347
Software Engineer,Male,26,4,College,Administration,2,77309,7957
Graphic Designer,Female,44,4,High School,Administration,4,100416,7513
Software Engineer,Male,18,3,Masters,Engineering,2,88482,7385
Data Scientist,Female,32,4,College,Management,4,78623,9012
Sales Associate,Male,18,4,High School,Management,4,80135,9007
Warehouse Associate,Female,63,5,High School,Sales,2,106158,7654
Graphic Designer,Female,37,4,College,Engineering,4,89411,9522
Graphic Designer,Male,22,4,Masters,Sales,2,57398,7827
Marketing Associate,Female,64,5,PhD,Sales,2,95687,7279
Graphic Designer,Female,39,4,PhD,Operations,5,120294,8090
Manager,Male,20,4,College,Sales,2,107140,8199
Financial Analyst,Female,39,5,College,Operations,1,76773,7278
Data Scientist,Female,37,4,Masters,Engineering,2,98010,8210
Data Scientist,Female,39,4,PhD,Management,3,91099,8306
Financial Analyst,Male,29,4,High School,Management,4,89559,8338
Software Engineer,Male,58,5,High School,Management,3,120156,7200
Driver,Male,38,5,PhD,Engineering,4,102966,8978
Marketing Associate,Female,64,5,PhD,Sales,5,128970,7346
Warehouse Associate,Female,51,4,High School,Management,5,121376,7832
Financial Analyst,Male,53,5,Masters,Administration,3,112941,7404
Graphic Designer,Male,46,5,High School,Engineering,4,102736,9736
Driver,Female,28,4,High School,Management,1,64008,7185
IT,Male,52,5,Masters,Engineering,1,90024,7350
Financial Analyst,Female,48,4,Masters,Management,5,129406,7280
IT,Female,34,5,College,Operations,1,54245,8245
Marketing Associate,Female,27,4,High School,Administration,5,67530,9311
Graphic Designer,Male,18,4,High School,Sales,4,75506,9289
Graphic Designer,Female,31,4,College,Engineering,2,81826,8375
Software Engineer,Female,27,4,High School,Operations,1,65711,7789
Sales Associate,Male,29,3,Masters,Management,2,61164,6346
Driver,Female,41,5,Masters,Administration,1,73801,8317
Manager,Male,62,5,College,Administration,5,157410,7840
Graphic Designer,Male,23,4,High School,Operations,1,50601,7351
Data Scientist,Male,29,4,High School,Engineering,3,65907,7668
Data Scientist,Male,38,5,High School,Sales,2,80937,8335
Driver,Male,34,4,College,Administration,5,90330,7022
Sales Associate,Female,62,5,College,Operations,2,93268,7657
IT,Male,40,4,College,Administration,5,109345,7791
Software Engineer,Male,27,4,Masters,Engineering,1,66084,7769
Financial Analyst,Male,35,4,PhD,Operations,5,98900,7960
IT,Male,19,4,College,Engineering,3,78113,9335
Software Engineer,Male,36,4,Masters,Engineering,5,130826,9694
Sales Associate,Male,23,3,High School,Engineering,3,85928,7229
IT,Male,43,5,College,Operations,4,98515,9090
Graphic Designer,Female,48,4,College,Administration,4,103133,7793
Marketing Associate,Female,20,4,College,Sales,4,69254,8609
Graphic Designer,Male,27,4,College,Sales,5,114680,8472
Driver,Male,25,3,PhD,Engineering,5,92687,7634
Graphic Designer,Male,21,3,Masters,Engineering,4,72301,8391
Financial Analyst,Male,24,4,Masters,Administration,1,67749,8517
Data Scientist,Female,61,5,Masters,Management,2,97000,7757
Manager,Male,52,5,High School,Operations,2,104526,7253
Data Scientist,Male,26,4,High School,Management,3,80494,8449
Financial Analyst,Female,30,4,High School,Operations,2,40341,7320
Software Engineer,Male,29,4,High School,Engineering,1,74316,8761
IT,Female,46,5,PhD,Sales,3,102247,8307
Driver,Male,49,4,College,Sales,5,104657,6839
Warehouse Associate,Female,37,3,High School,Engineering,5,92722,8010
Sales Associate,Female,51,5,Masters,Management,1,72120,9084
Warehouse Associate,Female,28,4,Masters,Operations,1,62260,7740
Manager,Male,45,5,High School,Engineering,3,123422,8894
Warehouse Associate,Male,48,5,College,Sales,1,62097,7075
Data Scientist,Male,53,5,High School,Management,2,102910,8335
Data Scientist,Female,29,4,High School,Engineering,3,84021,9111
Warehouse Associate,Female,19,4,High School,Operations,1,37026,8636
Driver,Male,18,3,PhD,Operations,3,56318,8407
IT,Male,28,4,High School,Operations,3,64958,7910
Data Scientist,Female,31,4,High School,Operations,2,55954,7999
Graphic Designer,Female,58,4,PhD,Sales,3,108820,7776
IT,Female,41,5,High School,Operations,3,100014,8621
Driver,Male,36,4,PhD,Operations,3,88213,8581
Sales Associate,Female,34,3,High School,Sales,4,108288,7491
Driver,Male,56,5,Masters,Sales,5,100859,8388
Financial Analyst,Female,30,4,Masters,Administration,5,114007,9248
Warehouse Associate,Male,37,4,High School,Management,3,83025,8105
IT,Male,28,4,High School,Administration,5,95964,9147
Warehouse Associate,Female,47,4,College,Administration,2,94973,7885
Graphic Designer,Male,44,4,High School,Sales,4,102108,8339
Data Scientist,Male,24,4,Masters,Sales,2,60736,7873
IT,Male,47,5,PhD,Operations,1,82126,6971
Financial Analyst,Male,33,5,Masters,Operations,1,69878,8389
IT,Female,22,4,Masters,Sales,1,37780,8443
Graphic Designer,Male,57,4,Masters,Management,4,132873,7266
Financial Analyst,Male,20,4,High School,Operations,2,65164,7827
IT,Female,65,5,Masters,Administration,4,121210,7949
Graphic Designer,Female,49,4,PhD,Engineering,2,95169,7415
Sales Associate,Male,19,3,PhD,Management,4,94492,8209
Driver,Female,39,4,PhD,Operations,2,75901,7402
Sales Associate,Male,33,3,Masters,Operations,5,100463,6332
Sales Associate,Female,40,4,Masters,Operations,5,92276,9551
Driver,Female,21,2,College,Engineering,5,92458,6966
Graphic Designer,Male,46,4,High School,Administration,4,88571,7464
Financial Analyst,Male,39,4,PhD,Management,3,87409,7168
Warehouse Associate,Male,58,5,College,Sales,4,133927,8278
Manager,Male,33,4,Masters,Sales,1,90482,7094
Marketing Associate,Female,27,4,High School,Sales,4,87435,9230
Graphic Designer,Female,65,5,High School,Operations,4,130251,7750
Manager,Female,34,3,Masters,Management,2,106560,7257
Software Engineer,Male,56,5,College,Operations,3,107366,7774
Warehouse Associate,Female,34,4,High School,Sales,1,56172,7739
Marketing Associate,Female,35,4,Masters,Sales,2,58807,7316
Financial Analyst,Female,49,4,Masters,Sales,4,126626,7144
Manager,Female,24,3,PhD,Sales,3,104202,8456
Warehouse Associate,Male,39,4,PhD,Operations,3,77793,8093
Warehouse Associate,Male,45,4,High School,Operations,2,84930,6914
Driver,Male,32,3,Masters,Engineering,2,69367,6378
Graphic Designer,Male,65,5,Masters,Operations,5,116751,8505
Software Engineer,Male,52,4,Masters,Administration,5,139841,7641
Driver,Female,52,4,College,Administration,2,78750,6666
Warehouse Associate,Female,38,3,College,Administration,5,93306,8265
Financial Analyst,Male,19,4,Masters,Operations,2,60892,8462
Graphic Designer,Male,20,2,Masters,Engineering,5,99543,6111
Sales Associate,Female,29,3,PhD,Operations,2,56745,6495
Data Scientist,Female,29,4,College,Operations,1,59458,7939
Driver,Female,18,2,Masters,Sales,4,71824,6397
Software Engineer,Male,64,5,High School,Operations,2,111903,6824
IT,Male,55,5,College,Sales,3,104361,7813
Warehouse Associate,Female,22,2,High School,Sales,5,91568,7139
Software Engineer,Male,59,4,Masters,Engineering,4,155834,7101
Financial Analyst,Male,30,5,Masters,Sales,1,83620,7864
Marketing Associate,Female,50,5,PhD,Administration,1,81995,7840
Graphic Designer,Female,27,4,PhD,Sales,1,66125,8465
Driver,Male,27,3,College,Engineering,5,89678,7778
Sales Associate,Female,57,5,Masters,Operations,3,98321,8980
Manager,Male,48,4,College,Management,1,109346,7730
Manager,Female,62,4,Masters,Sales,4,155203,7808
IT,Male,64,5,PhD,Management,2,98100,7460
Data Scientist,Female,29,3,High School,Management,4,73306,7765
Driver,Male,40,5,College,Engineering,2,68797,7817
Financial Analyst,Male,58,4,College,Management,4,120154,6751
Warehouse Associate,Female,22,3,College,Sales,4,76865,8145
Graphic Designer,Female,59,4,PhD,Management,4,125770,8013
Financial Analyst,Female,36,4,High School,Administration,5,119931,8400
Marketing Associate,Female,55,4,Masters,Operations,1,71794,6685
Driver,Female,54,4,College,Management,2,87998,7028
Software Engineer,Male,63,4,High School,Administration,5,140445,7905
Warehouse Associate,Male,18,2,College,Administration,5,85306,7735
Sales Associate,Female,31,3,High School,Operations,3,77275,7089
Manager,Male,48,4,PhD,Sales,4,143887,7622
Driver,Female,58,4,High School,Sales,5,130720,7246
Software Engineer,Female,41,4,PhD,Sales,1,86675,7947
Graphic Designer,Female,22,3,College,Operations,2,56954,7550
IT,Male,63,5,Masters,Operations,5,133472,8688
Data Scientist,Male,23,3,Masters,Administration,1,62753,7242
Sales Associate,Male,63,5,PhD,Operations,4,128173,8360
Software Engineer,Female,28,3,College,Engineering,5,112491,8727
Marketing Associate,Female,22,4,PhD,Operations,1,36548,8090
Driver,Female,62,4,PhD,Engineering,1,88781,6413
Software Engineer,Male,65,4,High School,Management,5,157852,6669
Financial Analyst,Male,51,4,PhD,Operations,4,113730,6578
Driver,Male,57,5,College,Management,1,68403,6893
Manager,Male,59,4,PhD,Sales,5,176789,6773
Data Scientist,Female,45,3,Masters,Sales,5,129226,6912
Graphic Designer,Male,24,3,College,Engineering,2,59399,6692
Sales Associate,Male,61,5,PhD,Management,1,102473,8468
Manager,Female,60,4,PhD,Management,3,160614,8354
Sales Associate,Female,28,3,PhD,Sales,3,89570,7411
Marketing Associate,Female,41,4,College,Sales,3,73989,8780
Financial Analyst,Female,35,4,Masters,Management,2,67762,7449
Financial Analyst,Male,35,4,College,Administration,4,90307,7663
Driver,Female,38,3,Masters,Management,2,77751,6554
Data Scientist,Female,57,4,High School,Management,1,87150,6814
Driver,Female,19,2,College,Sales,2,79291,5000
Graphic Designer,Male,55,5,Masters,Engineering,1,79144,8328
Manager,Male,62,5,PhD,Engineering,3,150467,8100
Driver,Female,31,3,Masters,Engineering,2,57070,6615
Marketing Associate,Female,49,4,College,Sales,4,102201,7640
Driver,Male,37,4,College,Engineering,3,70088,8244
Marketing Associate,Female,24,3,PhD,Operations,4,57782,7144
Manager,Male,32,3,High School,Operations,4,117629,6291
Sales Associate,Male,28,3,Masters,Administration,5,118653,7036
Marketing Associate,Female,38,2,High School,Management,5,71772,5764
Software Engineer,Male,65,5,Masters,Sales,1,134758,7500
Marketing Associate,Female,53,5,College,Administration,1,66438,6935
Warehouse Associate,Male,46,3,High School,Operations,4,87134,6184
Marketing Associate,Female,57,4,College,Operations,3,79674,6993
Marketing Associate,Female,45,3,College,Engineering,4,85161,6682
Warehouse Associate,Female,34,2,PhD,Management,5,114479,6700
Marketing Associate,Male,25,3,College,Operations,4,65547,6530
Data Scientist,Female,33,3,High School,Administration,3,71946,6386
Financial Analyst,Male,64,5,High School,Operations,3,96777,7736
Marketing Associate,Female,23,3,PhD,Administration,3,62054,6955
Software Engineer,Male,26,3,High School,Sales,2,61527,6345
Warehouse Associate,Female,24,3,High School,Management,1,64624,8253
Driver,Male,49,4,Masters,Administration,5,118629,6740
Data Scientist,Male,19,2,PhD,Management,5,80171,6454
Sales Associate,Female,47,3,College,Administration,4,105410,6363
Software Engineer,Male,36,4,PhD,Management,3,112134,8587
Warehouse Associate,Female,42,3,Masters,Engineering,1,90005,6631
Marketing Associate,Female,50,5,High School,Operations,1,70374,7466
Manager,Male,21,2,College,Administration,5,121682,7189
Marketing Associate,Female,49,4,PhD,Operations,5,104355,7555
IT,Female,49,4,College,Engineering,1,75811,5520
Sales Associate,Male,48,3,Masters,Engineering,5,113544,6839
Graphic Designer,Female,22,2,Masters,Operations,4,107025,6577
Financial Analyst,Male,20,3,PhD,Operations,3,78564,7875
Financial Analyst,Male,47,5,College,Operations,3,91905,7614
Financial Analyst,Male,60,5,High School,Engineering,4,121728,7932
Marketing Associate,Male,27,4,College,Management,1,54817,6519
Sales Associate,Male,20,3,College,Operations,1,37898,6448
IT,Male,59,5,PhD,Operations,1,79544,6760
Data Scientist,Female,20,3,High School,Engineering,1,40056,7632
IT,Female,45,4,College,Operations,2,70846,7404
Marketing Associate,Female,34,3,High School,Sales,5,79707,7196
Software Engineer,Male,59,4,High School,Operations,4,124817,7268
Manager,Male,53,4,College,Management,1,123114,6946
Financial Analyst,Female,20,3,High School,Operations,3,62377,6999
Data Scientist,Male,28,3,Masters,Sales,3,82850,5794
IT,Female,38,4,High School,Sales,2,75932,7003
Manager,Male,43,3,PhD,Management,2,121949,6739
Marketing Associate,Female,36,3,PhD,Sales,3,82755,7325
Data Scientist,Male,45,3,PhD,Administration,5,122037,8147
Warehouse Associate,Female,19,2,Masters,Administration,2,78021,6970
IT,Male,18,4,PhD,Sales,1,56309,7559
Financial Analyst,Male,59,5,PhD,Management,1,90002,8123
IT,Male,34,3,College,Sales,4,91066,6257
Manager,Male,32,3,Masters,Management,5,118088,7721
Software Engineer,Male,29,3,Masters,Operations,2,92099,7246
Financial Analyst,Female,46,4,College,Administration,4,116758,7744
Marketing Associate,Female,49,5,High School,Sales,2,96500,8092
Manager,Male,48,3,College,Management,5,138851,6929
Marketing Associate,Female,34,4,College,Administration,1,49632,7169
Driver,Female,45,3,PhD,Management,3,76700,7242
IT,Male,58,4,College,Management,5,131275,6997
Manager,Male,21,2,PhD,Operations,3,89648,6573
Graphic Designer,Female,26,2,Masters,Administration,5,100516,6737
Manager,Male,20,2,PhD,Operations,4,112854,6564
Software Engineer,Male,60,4,Masters,Sales,5,155676,6586
Driver,Male,57,4,College,Sales,4,135781,6042
Sales Associate,Female,47,3,College,Engineering,2,84935,6122
Warehouse Associate,Male,31,4,High School,Engineering,2,66407,7522
Driver,Female,56,4,PhD,Sales,3,101249,7329
Manager,Male,57,4,Masters,Administration,4,143189,6321
Graphic Designer,Male,63,5,PhD,Engineering,1,105800,7822
Software Engineer,Male,63,5,College,Operations,2,124871,7327
Data Scientist,Male,23,3,High School,Sales,3,83894,6922
Manager,Female,45,2,High School,Management,5,144146,6340
Marketing Associate,Female,46,4,PhD,Sales,2,69268,7106
Sales Associate,Male,63,5,High School,Sales,1,85948,7646
Software Engineer,Male,20,2,PhD,Engineering,4,92289,6643
Financial Analyst,Male,45,4,High School,Operations,2,75397,6490
Software Engineer,Male,65,4,High School,Engineering,1,102597,5937
Sales Associate,Female,63,4,PhD,Engineering,3,127561,7552
Warehouse Associate,Male,26,3,High School,Sales,3,72945,7279
Software Engineer,Male,60,3,PhD,Management,5,145632,6439
Marketing Associate,Female,36,3,Masters,Sales,3,77223,5272
Manager,Male,63,5,Masters,Operations,1,130093,6416
Marketing Associate,Male,33,3,PhD,Administration,2,53220,5153
Warehouse Associate,Female,41,3,College,Engineering,3,92080,6897
Graphic Designer,Female,55,3,College,Sales,5,118762,6545
Sales Associate,Female,21,2,College,Operations,5,85398,7113
Data Scientist,Male,31,3,College,Operations,1,75227,6027
Data Scientist,Male,41,3,Masters,Administration,4,104314,6611
Manager,Male,27,3,High School,Operations,1,83262,6884
Data Scientist,Female,55,3,Masters,Administration,4,123172,5797
Data Scientist,Male,41,4,PhD,Administration,1,67040,7412
Warehouse Associate,Male,33,3,College,Administration,1,77655,6581
Data Scientist,Female,46,3,College,Administration,3,107476,6182
Software Engineer,Male,45,4,Masters,Operations,2,89811,6471
Graphic Designer,Male,47,3,College,Administration,5,106893,7958
Software Engineer,Male,58,4,Masters,Engineering,5,154039,7304
Warehouse Associate,Male,64,4,High School,Operations,3,116774,6160
Software Engineer,Male,40,2,High School,Management,2,98281,5646
Marketing Associate,Female,18,3,High School,Engineering,2,34208,6620
Software Engineer,Male,42,3,Masters,Engineering,5,121821,6499
Software Engineer,Male,30,2,Masters,Engineering,5,113122,6060
Software Engineer,Male,39,4,PhD,Management,1,92154,7642
Manager,Male,31,3,PhD,Engineering,2,110643,7291
Data Scientist,Female,34,3,PhD,Administration,1,82345,7211
Data Scientist,Male,32,3,PhD,Sales,4,103908,8109
Marketing Associate,Female,24,3,High School,Engineering,3,49303,6615
IT,Female,46,4,High School,Operations,3,98456,7177
Warehouse Associate,Male,49,3,PhD,Operations,4,94927,6274
Software Engineer,Male,30,2,College,Administration,5,76654,6696
Manager,Male,46,4,Masters,Sales,1,107859,6989
Manager,Female,53,4,High School,Operations,3,129885,7314
Graphic Designer,Male,62,5,Masters,Sales,1,85702,6556
