Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,None,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,None,No,,,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0,0,0,25.1,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,None,Yes,31.43,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0,0,1571.5,2877.8,Stayed,,
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,None,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0,0,566.28,1781.88,Churned,Other,Don't know
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0,0,802.93,2652.88,Stayed,,
0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,None,Yes,3.12,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0,0,9.36,66.56,Joined,,
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0,0,49.72,126.07,Churned,Price,Long distance charges
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,None,No,,,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0,0,0,30.5,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,None,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0,20,1927.2,7603.95,Stayed,,
0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,None,Yes,19.7,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0,0,1063.8,2154.4,Stayed,,
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,,
0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,None,Yes,38.39,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0,0,2648.91,4045.81,Stayed,,
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0,0,1591.37,4838.92,Stayed,,
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0,0,2429.42,3330.32,Stayed,,
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,10830.97,Stayed,,
0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,None,Yes,23.12,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,,
0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,None,No,,,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0,0,0,825.4,Stayed,,
0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,None,Yes,30.64,Yes,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0,0,1317.52,2387.67,Stayed,,
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0,0,279.4,5239,Stayed,,
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0,0,967.01,6564.66,Stayed,,
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,None,Yes,19.28,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0,0,231.36,455.86,Stayed,,
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,0,0,682.02,2611.02,Stayed,,
0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,None,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0,0,87.98,179.08,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0,0,1320.57,3399.52,Stayed,,
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,None,Yes,23.69,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,,
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,None,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,44.9,0,161.25,1727.35,Stayed,,
0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,None,No,,,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,12.26,0,0,1230.19,Stayed,,
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,None,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0,0,2329.92,8646.12,Stayed,,
0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,None,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0,0,336.56,1064.41,Stayed,,
0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,0,0,1274.7,4806.7,Stayed,,
0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0,0,42.95,87.25,Joined,,
0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,None,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0,20,59.45,2687.05,Stayed,,
0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,None,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0,40,351.36,5958.91,Stayed,,
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,None,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0,0,950.82,4718.22,Stayed,,
0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,None,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0,0,1765.6,5439.2,Stayed,,
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,None,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0,0,255.96,570.51,Stayed,,
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,None,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0,0,79.2,1967.65,Stayed,,
0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,None,Yes,20.66,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0,0,557.82,1087.62,Stayed,,
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,None,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,,
0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0,0,456.57,6709.27,Stayed,,
0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,None,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,,
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,None,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0,0,411.36,1623.46,Stayed,,
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,10840.73,Stayed,,
0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0,0,31.77,51.62,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0,0,40.71,140.46,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0,0,1019.52,3880.97,Stayed,,
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0,0,779.36,2221.56,Stayed,,
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,,,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0,0,0,4145.9,Stayed,,
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,None,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0,0,1639.77,5285.27,Stayed,,
0114-RSRRW,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0,0,496,683.75,Stayed,,
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,None,No,,,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0,0,0,1448.8,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26,None,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0,0,877.24,3070.89,Stayed,,
0121-SNYRK,Male,45,No,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,No,,,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0,0,0,1748.9,Stayed,,
0122-OAHPZ,Female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34.049172,-118.115022,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0,0,2878.59,8405.34,Stayed,,
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0,0,688.8,2242.75,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34.364153,-118.615583,0,26,None,No,,,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,0,0,0,1147,Stayed,,
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,38.671295,-121.388251,9,72,None,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0,0,2391.84,9139.19,Stayed,,
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34.038983,-117.991372,1,44,None,Yes,27.4,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.5,865.05,0,0,1205.6,2070.65,Stayed,,
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39.045246,-122.743181,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40,3219.48,9200.36,Stayed,,
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0,0,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34.031529,-118.491156,0,44,None,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0,339.68,3589.82,Stayed,,
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,0,0,172.56,1224.96,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,33.973616,-118.24902,1,69,None,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0,0,1270.29,8904.54,Stayed,,
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,0,0,1.23,81.43,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3,Offer E,Yes,25.75,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,63.75,0,0,77.25,141,Churned,Price,Long distance charges
0139-IVFJG,Female,19,Yes,0,Temecula,92592,33.507255,-117.029473,10,2,None,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,0,0,9.3,199.8,Joined,,
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33.362575,-117.299644,0,27,None,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0,0,80.19,2481.24,Stayed,,
0142-GVYSN,Male,57,No,0,Randsburg,93554,35.405722,-117.773354,0,26,Offer C,Yes,13.34,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0,0,346.84,858.09,Stayed,,
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,35.453912,-120.69461,9,39,None,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0,0,785.85,4735,Stayed,,
0148-DCDOS,Male,41,No,0,Planada,95365,37.329725,-120.306399,0,25,None,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0,0,872,3234.1,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,0,Moorpark,93021,34.312945,-118.858169,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0,0,39.81,110.71,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,Solvang,93463,34.624399,-120.137875,1,22,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0,0,599.28,1751.98,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,11979.34,Stayed,,
0164-XAIRP,Female,51,No,0,La Mirada,90638,33.902045,-118.008961,0,24,None,Yes,10.64,No,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,19.55,470.2,0,0,255.36,725.56,Stayed,,
