Age,Salary,Contribution Rate,Years to Retirement,Fund Balance,Risk Tolerance,Expected Return,Investment Strategy
50,139271.52247510973,0.1335916344972516,33,857220.9940320371,Medium,0.09628240176038169,Balanced
58,85721.1049930072,0.15266036030969582,17,235118.7854997901,Low,0.02122919364443608,Aggressive
34,176212.49822826477,0.07065053963915098,6,92126.85602003633,Medium,0.032423194987103596,Balanced
60,50846.768496261124,0.08672372276934859,37,155542.95768029062,High,0.06314182284966179,Balanced
38,103688.82895463103,0.0789665317563521,6,50312.835411729175,High,0.07169208826142547,Conservative
55,97443.69207962559,0.08299957290058134,3,28996.530258148938,Low,0.07831930073062152,Balanced
39,189469.15510416805,0.18810696853531506,15,701620.9366106475,High,0.03975218811722469,Balanced
32,56032.916102748655,0.15737293595581314,5,51120.58565501273,High,0.0440796004670105,Aggressive
38,31673.960252041863,0.16056604706049554,19,142769.29674944465,Medium,0.0391922321786123,Balanced
47,70474.48617721,0.16909929663039241,30,471857.1396745744,Medium,0.03952582578452257,Balanced
64,169447.06616067127,0.10348595639660901,18,403119.0801315602,High,0.08254343314984777,Balanced
45,65584.7087279929,0.16507769215987111,21,305819.6310418537,Low,0.09583990372005266,Balanced
40,70949.27082993207,0.1967620091484406,20,218115.98489016818,Low,0.06766423484815136,Conservative
42,52082.79677125784,0.15475913689114132,17,127713.67503522879,Low,0.03259444721454113,Aggressive
48,151624.15455701188,0.11251296684388087,31,562941.4141996317,High,0.025234625725471103,Aggressive
50,41759.61238592092,0.15745396785664623,33,208820.65249523072,Low,0.039134125571665956,Balanced
49,86305.41139584867,0.1851192050394304,26,559729.2856443706,Low,0.03422355305542178,Conservative
53,78024.78352556398,0.06931423155139604,37,105468.74674817434,High,0.06628169327668351,Conservative
39,124377.15406432631,0.08979420133770821,29,229689.2015605824,Medium,0.07583445334270321,Balanced
25,154170.76505335505,0.18789443229933583,32,1280801.214301405,Medium,0.02036726248604242,Balanced
49,120588.99389844705,0.19193493506667908,26,336453.1890088416,High,0.05516962900478431,Aggressive
31,188274.4188057615,0.12262086906769178,22,369237.5068782255,Medium,0.06983834042410501,Aggressive
33,191745.24861084644,0.10618264451049464,18,311966.4902900756,Low,0.03543005491431412,Aggressive
48,91449.10584474762,0.0924172708404544,30,317118.1443366198,High,0.09207766675380583,Aggressive
25,162205.66396673175,0.12481273116364527,3,64391.130298711796,High,0.0639209816182725,Balanced
32,155596.23515559227,0.19017967273865777,18,774784.0518822735,Medium,0.0476318222839896,Balanced
48,181803.98058982065,0.07247144411366832,37,354836.95151446067,High,0.02149404918029924,Aggressive
35,106150.41883530955,0.11297459578208305,39,641740.3370964449,High,0.05874454916825657,Aggressive
41,120180.44182362469,0.18674117854362338,21,368983.5139661339,Low,0.046875682626590205,Balanced
32,100681.63330886759,0.1023678905216378,8,61468.218566209536,High,0.09756370335944772,Aggressive
59,174564.07628094996,0.16521221105653058,30,863797.7260943478,High,0.050300397090277844,Balanced
59,69049.39361156285,0.10838896793616531,9,38475.04032017157,High,0.09368059323505498,Aggressive
57,70750.5433012156,0.17073900174845627,9,96140.88061042508,High,0.07488435091707785,Balanced
29,93342.86760810355,0.19715035249358132,29,456652.6996905085,Medium,0.025917044602326682,Conservative
63,69158.2814573997,0.10817330158629176,9,44444.450762082124,High,0.09461763820316589,Balanced
52,125371.16219053653,0.1767647981861301,35,1055490.025115778,Low,0.03347587388450439,Conservative
31,52863.31810423539,0.19826252372604514,17,157842.37081402924,Medium,0.05584188537822947,Conservative
33,84431.65729868942,0.1975745214516882,18,444972.90785605006,High,0.09384032174570776,Aggressive
32,185285.59874085028,0.11506566222999622,22,656519.3280722069,Medium,0.08628079092635924,Conservative
36,99568.33163260532,0.12286416808237251,3,25499.65043419945,High,0.059006543630166275,Aggressive
58,157199.73180389658,0.0955102342464503,11,166001.97286171885,High,0.0365536433365309,Conservative
57,49288.57259011758,0.09710281455835476,23,121285.89423530138,Medium,0.060740883891931746,Conservative
47,72085.96638410339,0.1238705933948353,12,141329.2257091334,Medium,0.06381075000363003,Aggressive
48,167248.75560406267,0.08007778850964631,3,55673.36790904406,Medium,0.09975492947921882,Balanced
61,159708.799169248,0.15666849442323916,26,731235.2795093559,Medium,0.0859225029665767,Aggressive
59,95646.50616094959,0.13044628021313787,37,247038.8424484398,Low,0.0889053619164438,Conservative
64,192247.47334569064,0.18471017857599237,38,1324117.2441430571,Medium,0.09889499398060635,Aggressive
46,184809.31269187274,0.17158736507158118,7,307393.9820686248,Low,0.061865547880154706,Aggressive
51,193591.12734908078,0.0983706669269202,25,578018.599234978,High,0.06681811911448028,Conservative
59,102745.49733192351,0.12587069345265012,33,584745.5481721602,High,0.05635553735801124,Conservative
25,63570.509226566115,0.16257723914581612,8,97074.02422926814,Medium,0.030036323469144907,Conservative
59,136531.96864552796,0.07898001912175875,9,52798.42222361355,High,0.06202053787702781,Aggressive
61,146411.43690746374,0.05473965947263751,0,0.0,Low,0.06660711078084684,Aggressive
38,51325.1033565884,0.1778456789462426,7,90605.19505470335,Low,0.03898177161053162,Aggressive
27,163702.115830304,0.07063253862394224,9,65204.53876676699,Medium,0.0826259446437348,Balanced
25,33070.23735919329,0.183411714643056,24,89190.22178149084,Medium,0.0299585862457218,Aggressive
29,112063.82587105317,0.1870412035821717,30,653389.7953269706,Medium,0.06015993995813157,Balanced
50,86272.76411413212,0.1191050657205736,38,490840.4924314361,Low,0.07301704678010272,Conservative
38,155851.5201828443,0.17101725685288677,2,47025.65358327139,Medium,0.024394505633971032,Balanced
63,83169.32366170871,0.10447868695312076,38,210132.13404120918,Low,0.08432426477058992,Aggressive
51,170557.2091727756,0.17873968227676207,37,1139864.4631431631,Low,0.044332335443598686,Conservative
33,131142.09309273778,0.17370228262500753,34,648702.6372591099,High,0.07741993662989419,Balanced
39,164961.87149955225,0.06177775845518037,7,60762.70485704619,High,0.02865674011370991,Conservative
39,198187.90843273603,0.13739026111285507,0,0.0,Medium,0.06962388873190864,Conservative
50,145456.91877640467,0.14599983553951223,4,117702.89770580259,Medium,0.06457696987313151,Balanced
37,197441.5537814795,0.05012859360323241,26,272411.80606993765,Medium,0.03200020742877536,Conservative
56,34902.17557668991,0.19698774780939432,25,204128.11708498586,Medium,0.06997959161585249,Conservative
63,87483.79804224744,0.11098513623510664,25,281559.7690636781,Low,0.07530593433723126,Aggressive
56,48335.05497559256,0.12760148087888198,10,64830.751083128926,Medium,0.05988018760268035,Conservative
28,74591.83833535473,0.07922061196895315,33,158101.05358547549,High,0.06628614122610013,Balanced
54,172610.94285138167,0.1416377866275892,1,21460.51578716253,Medium,0.09099356459207351,Balanced
61,35494.95510543535,0.17159297994190387,20,99363.89974681898,Low,0.0758162411566567,Aggressive
47,118431.09907450693,0.13788385185795923,25,578684.2466596897,High,0.09247637306689827,Aggressive
63,126411.8802805034,0.1682052568703146,11,310288.9044673559,High,0.06418751629698397,Balanced
39,125395.69493423254,0.15966619410772503,8,172880.8247442231,Medium,0.03398824488057497,Balanced
53,110800.50254995347,0.08564867172907072,22,294845.57801489276,High,0.039703262960979493,Aggressive
60,164402.5040108584,0.11537192616637312,4,105186.45906559491,High,0.03411284518249013,Balanced
37,52702.325215943696,0.07229403266546129,8,43516.85195185493,Medium,0.046819883992501476,Conservative
56,82798.09264363383,0.0562903812612653,9,30275.977936290692,Medium,0.05820289200963544,Aggressive
31,134673.42908567935,0.05946034328961965,9,87744.90205613348,Low,0.04047451940725086,Aggressive
46,147461.7322655525,0.19137498948093362,13,406937.1291921398,High,0.05805078007926874,Aggressive
52,98705.23340209956,0.1976806188701568,35,842612.4395969822,Medium,0.04914864660054544,Aggressive
26,178813.11476562964,0.064246626207476,9,78928.27655446582,High,0.06442778116945401,Conservative
30,100633.87743830544,0.10027901527580732,36,434065.5100692268,Medium,0.054281101877252325,Aggressive
52,98471.94283921663,0.0671631020234034,37,222640.68071584534,Low,0.054727424606497654,Aggressive
52,36155.23445285544,0.17513432350534536,21,177397.48545543023,Medium,0.05924969471812781,Balanced
44,123694.02715310475,0.12444456374604226,22,438671.8248080908,Medium,0.09903001844642462,Aggressive
54,150475.74254702387,0.14318926338883242,15,229909.11596268415,Low,0.0645238758647912,Balanced
35,49454.487797864174,0.13098662986025095,10,44299.30153052016,Medium,0.0778670186614749,Balanced
52,81923.57023493804,0.1565380375761074,34,530956.9281480231,Low,0.053339647301890045,Balanced
49,162813.68214308488,0.09786983649755909,19,318038.0190236841,High,0.04606792458651986,Conservative
63,92206.30402030781,0.07062400317950485,36,247842.07047967304,High,0.09332617582353625,Aggressive
57,71072.41854680679,0.0526430004094571,4,18744.97077565929,High,0.07938882622954789,Aggressive
25,144274.11280606908,0.11685393329389074,35,799520.7249794564,Medium,0.06659438126061709,Balanced
51,63448.99220418146,0.1861751643187156,12,104749.2550971687,Low,0.04691450349143153,Aggressive
37,182260.99632914006,0.09578998070184,16,294854.87841592997,Medium,0.04062882190989767,Balanced
27,47951.727324443964,0.07939352317034347,25,126485.1440960001,Medium,0.04016573437897975,Aggressive
63,150113.46638808056,0.1889064119370661,19,739648.49915779,Medium,0.060298466975165,Balanced
30,114923.27921868378,0.06581729581269413,38,226324.8439805774,Low,0.0899856372879246,Balanced
32,177888.0256074889,0.05777015501237152,32,198677.0844600016,Medium,0.09048382562582168,Balanced
51,51453.16547446023,0.18191197624331573,29,198916.41801123208,Medium,0.07959882110055745,Conservative
33,145242.13614433492,0.15513640729320338,15,488557.36694010714,Low,0.06339929343469035,Balanced
61,127249.28866083485,0.11331029572061194,6,83265.97478516378,Low,0.03879277901921521,Conservative
57,111615.32418080789,0.16285159595132617,29,484203.46341388987,High,0.05830819302886239,Conservative
48,113539.23478355362,0.1612159928066404,1,9391.670602972392,Low,0.07557780415505697,Balanced
39,152736.08350575023,0.056009084489087445,11,51850.86200721144,High,0.06760133194801136,Conservative
56,189416.08133891976,0.151437021809276,39,1307419.765112964,High,0.06112273001807696,Aggressive
56,45512.78205023817,0.14613085661790692,0,0.0,Medium,0.0542569295626662,Conservative
48,33315.45009378844,0.19456687046244553,2,13943.327104258833,Medium,0.08020114372313214,Conservative
36,166969.8147218046,0.19499339152396455,7,139096.29004857078,Medium,0.08737880989106492,Conservative
63,48388.795883629085,0.1066698989303066,25,109950.56904494508,Medium,0.07783289896642032,Conservative
26,197738.45533367206,0.13847628678323276,39,1401469.0868694026,Medium,0.09503420298703924,Balanced
27,135289.20232300233,0.07120360623325682,10,65014.731985951505,Medium,0.08238987933594628,Aggressive
61,140647.28719320393,0.05996847889357011,20,233242.8541100515,Medium,0.05604838816099719,Aggressive
41,63811.589499462956,0.11491698083883538,4,18229.289029382297,High,0.0693402788862209,Conservative
26,70853.09275043465,0.1534823016252516,39,283795.0197481322,High,0.06034937598555763,Aggressive
26,142089.55152687253,0.13516416834465905,25,469452.3702285938,Medium,0.06370586375487028,Balanced
52,184653.5624488135,0.1144485383279003,20,610880.0058234573,Medium,0.09165598911906198,Conservative
47,197006.39426798632,0.17271688201618868,8,225811.70540856925,High,0.04406868130312361,Conservative
61,63665.260927285926,0.16916412082756205,16,199581.86180740024,High,0.021047583565029785,Conservative
56,52800.33586066433,0.1597913082616642,36,330665.65961003175,Low,0.07565174401307471,Aggressive
57,39588.23081933438,0.061554837223064165,1,1583.0310404708086,Low,0.034481094578862614,Conservative
25,177610.49308742574,0.16947044418434654,39,878265.2227028334,Medium,0.032338593303301355,Conservative
43,80101.52396559968,0.18791319739920503,27,581224.9618170965,Medium,0.09939809664821211,Aggressive
26,30308.045757772783,0.05891631324363747,26,31794.308443787395,Medium,0.041342020516946854,Balanced
50,68049.0746295929,0.11025070832128027,39,349654.9804141217,High,0.03630142076548558,Aggressive
56,87874.98361690113,0.1982533234574882,0,0.0,Medium,0.03527866213703318,Balanced
30,198467.64881443648,0.13988582877024255,10,171992.28108476417,Medium,0.052988283205793824,Balanced
56,119002.07095570388,0.12703661031911945,38,516552.67253042874,Medium,0.052753426101634596,Balanced
28,64801.371091167224,0.07661692212031154,17,61102.03554791465,Low,0.07059996009427005,Conservative
35,86919.11860128668,0.1348229425001255,26,219849.67413749848,Low,0.028291095255589156,Balanced
41,86152.30688466933,0.11585648907041796,9,55604.57181717352,Medium,0.07083559279117996,Conservative
62,33353.376898739836,0.06911645833551847,35,92750.79578186905,High,0.05629063197695619,Aggressive
48,52981.119209143115,0.11964989789270515,20,158016.05421101776,Low,0.03661232747195757,Balanced
29,148183.3981495459,0.07465989577628908,27,351520.8627922206,Medium,0.08225768447717945,Conservative
58,50442.66771702489,0.15959954325890852,0,0.0,Low,0.05792503271910865,Conservative
30,69224.82702304018,0.19604725492154346,13,113915.42379381004,High,0.07736489930056338,Balanced
46,89625.3407287325,0.12043655726385444,19,168141.41710748264,High,0.09364556597964466,Balanced
35,158814.94056538993,0.14485524978719194,8,155436.38179594636,High,0.04827238265754612,Balanced
40,129008.16402754976,0.11464632871502636,26,281520.79809675284,High,0.09183235585864286,Conservative
57,147129.99744805662,0.07076807804855081,3,20060.12005837727,Medium,0.036027318696294955,Conservative
33,126392.09532142928,0.19558329297132482,36,878093.6295840518,High,0.03777043419483535,Balanced
30,146210.71228771773,0.06943679961261195,17,230312.09211802174,Medium,0.07309580498171163,Aggressive
40,30483.166122875315,0.06674402127703111,30,88780.84690235196,High,0.02821053396759545,Conservative
53,188252.684543143,0.11887594125069509,38,535185.7181879124,Medium,0.05638240074247465,Conservative
27,48856.439248717106,0.14883308986503985,9,86591.50195209177,High,0.037106581991559064,Aggressive
44,99062.34631607382,0.1032384906459337,8,108372.42840192083,Medium,0.06566850745838293,Aggressive
60,161076.5229416253,0.07887755332953546,27,304958.3393857828,Low,0.08454580001954103,Aggressive
43,103989.22206160206,0.17284450520412148,27,296045.5904997243,Medium,0.023393956785409155,Conservative
50,190963.23378347768,0.10446549809143268,12,356691.27642621164,Medium,0.053064801507959974,Aggressive
27,109490.12124479035,0.07914814600758609,17,170243.09975565507,High,0.07845380915759226,Aggressive
43,178739.69895245414,0.10476273162603053,11,305299.4828922481,High,0.04738034422561581,Conservative
44,167840.77927158604,0.08218313114641865,7,94977.61122865877,Low,0.0233364842077985,Conservative
56,196767.67147577612,0.1279171606718511,22,495703.42039419495,High,0.06731042510621875,Conservative
31,187513.12272766582,0.15024340792065488,4,84200.66180744061,Medium,0.029613161692352438,Aggressive
57,182681.05190118938,0.1699336065798779,6,276332.9398669018,High,0.04959357620234639,Balanced
64,154372.7378883096,0.08413430454797989,14,136966.72868486473,High,0.09924265506935823,Balanced
63,92389.68503559753,0.07504310085566683,2,7262.712736664354,Medium,0.05184159750438681,Conservative
42,48041.32115603342,0.052940513134283024,17,43775.7396926543,Low,0.08742855570219679,Aggressive
64,147069.65888494632,0.08421316525208641,37,401910.5416241881,High,0.08878449875010999,Aggressive
25,196371.19382745403,0.053585802874669436,25,200295.1455715648,High,0.04102649355920894,Aggressive
35,153522.75434641773,0.10182113055335891,37,656233.3209198957,Medium,0.06764039838884567,Conservative
52,187883.99277714704,0.0718539633245055,32,373369.8364192138,Low,0.09579669310956793,Balanced
49,166731.80120243784,0.13698433973416765,20,412141.8124406511,Low,0.06850661044825793,Aggressive
47,57729.49476983539,0.10755901392369098,16,51964.183497974824,High,0.08506034678734935,Balanced
55,72364.64100051884,0.06403780116061394,1,5046.833631246107,Medium,0.05700503385018628,Balanced
54,88117.15229959956,0.10997996945548913,24,144685.58562593377,High,0.07754619204809371,Aggressive
59,58604.27553746071,0.08140221739517775,18,61293.940413295626,Medium,0.0217481594696375,Conservative
31,128880.72655441114,0.15202660270101584,37,882352.0754943441,Medium,0.08299787668212456,Balanced
40,195826.5891029417,0.10466543671561099,24,400042.7265363874,High,0.07374795466869567,Balanced
50,159448.00168414696,0.07205450138227192,38,289544.2800065521,Medium,0.04870789940848647,Balanced
26,101975.74734146852,0.10244025986064301,3,33765.682124316954,High,0.05335887283184572,Balanced
25,30765.761766649073,0.08365675008952783,2,3679.9903951869287,Low,0.04612911254285691,Balanced
36,83256.92189349039,0.16936685024575793,33,358760.65426101733,Low,0.06194292686174094,Aggressive
29,119549.0789076766,0.1975051340547418,9,238289.101849489,High,0.028694050735480696,Conservative
61,85122.648554835,0.05382370835446512,26,147694.8546272723,Low,0.08759319507612448,Balanced
56,48875.93691405612,0.15350302059729232,25,232516.89129583508,Low,0.058244294278813696,Conservative
33,105270.04266652207,0.089593675043523,26,240865.5132244985,Low,0.02344817426645478,Conservative
59,73052.97888417175,0.059961296580394174,0,0.0,Low,0.06423693926855614,Aggressive
43,184569.50399845524,0.05215269643779403,19,235497.61955220575,Medium,0.09444137086095053,Conservative
40,47298.269845172676,0.1821514503818641,24,143299.3188058235,High,0.026996840485175266,Conservative
27,38355.94688320076,0.10304097531166995,9,23198.91122424093,High,0.029855405229376436,Conservative
44,30903.40875632655,0.19918158381359063,0,0.0,Low,0.050974662643862016,Conservative
48,85771.84636256182,0.11635657514453186,15,136154.80181491553,High,0.07884994085878659,Balanced
57,142265.76249415107,0.07813966276570616,10,134510.6731909927,High,0.06836975496602775,Aggressive
48,154170.33798990474,0.1665715352783819,3,58289.36619583005,High,0.05663675922653867,Aggressive
35,107054.48617489293,0.1889738324550948,34,567377.3028505723,Medium,0.09941967127501597,Aggressive
32,146335.87057739534,0.17234315461632366,12,422690.2818812289,Low,0.0348634626523953,Conservative
60,91185.38615661178,0.16177988510412916,20,271924.828230042,High,0.08574054359391571,Conservative
62,143527.0573977249,0.10020495417787528,14,219663.1657745059,Medium,0.029906956071847512,Balanced
64,36901.31750140348,0.05967355458425641,9,12023.406729082482,Low,0.03436856210210891,Conservative
44,96428.0073763907,0.08019490228401348,37,194228.15134224787,Medium,0.04363554124588111,Conservative
59,164444.44519764045,0.11702153813711018,10,103123.77971403235,Medium,0.08984765750958913,Aggressive
49,166511.02517803022,0.19342998050216065,31,922942.6172247728,Medium,0.05553645833757018,Conservative
59,151745.2924088681,0.15842812695130315,32,1145430.8025068678,High,0.051662832903608485,Aggressive
49,64720.56549687695,0.17424245677523714,19,294372.01933018706,Low,0.05925806330299781,Aggressive
53,72024.87021820765,0.0915940845359714,35,261585.0678498514,Low,0.07047250656594808,Aggressive
42,199335.08363496707,0.1525734541180255,29,1200465.3622208152,High,0.05387953344232675,Conservative
42,47574.26122433318,0.1793657215066995,9,84030.81172827275,Low,0.09700253507957059,Conservative
26,60712.658813409595,0.12191172723448769,14,90023.73521179172,Low,0.030827352787443696,Balanced
59,52104.463460522544,0.1144837790346138,28,112497.90535638752,Medium,0.05805330434217873,Aggressive
40,85701.34382621464,0.15791067701476683,0,0.0,High,0.05323464464854827,Balanced
60,65729.89198976697,0.13398675293671197,20,122073.14806505287,Medium,0.07541654542267633,Conservative
57,114606.95312312126,0.19897566247910659,14,292894.45512274693,Low,0.09704666881960519,Conservative
28,110923.52016962037,0.11376542010928425,2,33461.27862172947,Low,0.04307302995241315,Conservative
57,183255.95530672153,0.076391491598748,32,281878.5341097412,High,0.0964261203126896,Balanced
38,35905.79106561285,0.12079025791794694,37,100940.06175732131,Medium,0.08621597056775382,Conservative
45,84379.52803351977,0.0852807489646597,18,93829.73562276684,Medium,0.08483823294974562,Conservative
44,131431.84163950535,0.1341880731191752,3,55656.68881816021,Medium,0.025846075968582422,Conservative
32,132816.29951347387,0.06886954886569188,11,75636.14987949979,High,0.09524667621131763,Balanced
31,111621.45893241557,0.19249644103237795,24,517330.72351581446,Medium,0.0871142277159748,Balanced
27,168663.14193848774,0.1789734322310242,33,798891.2137563912,Medium,0.07476664995380894,Conservative
41,40662.769140458,0.07333480956633057,16,48009.770625852856,Low,0.03022873911482896,Aggressive
57,168632.92014862312,0.07585893841205146,5,49738.52954074308,Low,0.05360298074231842,Balanced
36,114108.22087406961,0.1268658011732025,11,235678.26512851936,Medium,0.08721826046904999,Balanced
46,52739.31816309037,0.1659322080562588,14,121623.94669229335,Medium,0.05500251012671406,Aggressive
46,180569.3253018812,0.08286190035012943,16,297724.60548193456,Low,0.05491641348344349,Balanced
54,140368.8925219638,0.05914575793392978,0,0.0,High,0.041610064630734564,Aggressive
62,57802.76676010368,0.13183014148739228,13,98126.70360236517,Low,0.02409506007448143,Aggressive
62,35720.452977834524,0.1537395671153015,1,4057.569608098864,Medium,0.06104030504290074,Aggressive
32,53988.640216550375,0.08665482369390756,3,14185.560703961017,High,0.08195755948407074,Aggressive
51,133495.6532306669,0.16096516816259573,1,25376.89571658665,Medium,0.03168570840566656,Aggressive
51,60480.35999420824,0.19259656774169132,25,279535.92497885105,Medium,0.09150220538048497,Balanced
58,68379.72272875477,0.07056116640282094,39,109502.69027405442,Medium,0.06442271880417987,Conservative
45,34273.75337857341,0.1266543597963043,32,71952.76518700266,High,0.08498391044991542,Aggressive
54,152898.21428056262,0.05852629260223739,38,281515.7781733547,Medium,0.0733631898102875,Balanced
57,167761.9479591043,0.08099915108460734,5,44178.08413218972,High,0.030795649877432822,Conservative
52,165464.19005126093,0.063472903019161,29,428286.5723524797,Low,0.09252737733161714,Conservative
57,51686.585731928324,0.1106009934620304,21,81132.59174483424,High,0.07745198022754235,Balanced
29,183561.1916560891,0.17312476855621367,26,738904.4096645096,Medium,0.022846319178226483,Conservative
43,144287.4010105936,0.13656956757826721,18,429917.61901150044,Medium,0.06640353909830152,Conservative
28,182579.86580406697,0.08338772557481462,9,180244.7028430599,Low,0.058410096526054125,Aggressive
59,106017.28577021281,0.056016597064358464,5,29031.860334901918,Low,0.08873232609929935,Aggressive
41,104282.32638422861,0.13300972929301297,25,236193.16862641572,Low,0.02982279293948894,Balanced
52,163371.2081764322,0.06991950724858566,2,17611.616917695344,High,0.06726752367252409,Aggressive
54,45860.635431046394,0.1014101041045636,2,8547.751589844554,High,0.04482240318617658,Conservative
53,118548.58622793057,0.1265288388370409,5,64843.79428166145,High,0.0396495093594553,Conservative
30,172185.32005730836,0.18555988035292892,9,244041.10163414478,High,0.021802828031073345,Aggressive
59,171132.73572182714,0.06227349906330755,37,249146.44161301688,Low,0.04657826910799759,Balanced
61,192542.58557820274,0.1502911388400246,12,490771.0431530417,Medium,0.05168767061215995,Balanced
48,148706.3409001929,0.05211219282573178,37,151896.21113049076,Medium,0.05582293640168759,Aggressive
53,65321.00700475382,0.1444862828540444,11,97589.03228365355,High,0.07877773362829153,Balanced
55,33447.65353207874,0.13272987339958905,26,170869.17740714524,Low,0.052283394497552954,Balanced
