race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
3	34	2	1	1	1	BE	4	2	3	2	4	1	2	3	3	3	5	4	5	1	4	4	3	3	3	5	1	5	1	5	1	5	1	5	5	5	4	5	5	3	1	4	2	2	4	5	5	1	5	1	5	1	5	5	5	5
1	21	1	2	1	1	ZA	1	1	5	3	5	1	1	5	1	3	1	3	3	1	1	1	1	1	1	1	1	5	1	3	1	3	1	5	3	3	5	1	5	1	5	1	5	1	5	5	3	1	4	1	4	5	5	2	5	4
3	26	2	2	1	2	US	5	3	5	2	3	1	5	2	4	4	1	5	1	5	5	1	2	2	5	1	4	5	1	2	4	4	2	5	4	4	4	3	4	3	4	3	3	3	4	4	4	2	4	2	4	1	5	3	4	4
3	22	2	2	1	1	NO	2	3	3	4	4	2	3	2	4	4	1	4	2	4	1	1	2	1	1	1	2	3	4	3	3	3	3	4	2	5	5	5	4	3	2	2	3	3	2	3	5	3	4	4	4	2	3	4	4	3
3	19	2	2	1	1	NO	1	4	2	2	2	3	1	3	2	5	5	2	5	1	4	4	4	4	3	5	1	4	2	5	2	5	1	3	4	3	2	2	4	3	2	3	4	2	2	2	4	3	4	1	1	2	3	3	4	3
3	19	2	1	1	1	FI	4	4	2	4	2	4	2	5	1	4	2	4	2	3	3	3	4	3	4	3	3	4	5	4	3	3	3	4	3	3	3	3	3	5	1	4	1	3	2	2	4	2	4	2	3	2	4	4	4	3
1	21	1	2	1	1	US	4	1	5	1	5	1	5	5	3	5	3	4	3	3	2	4	4	2	4	2	2	5	3	5	1	3	1	5	5	4	3	5	4	4	1	4	3	2	3	4	4	1	5	1	5	1	5	4	5	5
3	49	2	1	1	1	BE	3	1	5	3	4	1	4	2	4	2	3	5	3	1	2	1	1	1	1	1	1	5	1	4	1	3	1	5	4	5	4	3	5	1	5	1	4	3	5	5	5	1	4	1	4	1	4	2	5	5
3	18	1	2	1	1	US	3	3	4	4	5	2	5	4	3	4	4	3	4	2	2	3	3	2	2	3	2	5	2	5	2	5	2	5	5	5	4	2	5	2	4	3	4	2	4	4	3	1	5	1	5	1	5	3	5	5
3	32	1	2	1	4	US	1	3	2	4	1	1	1	4	3	4	4	3	4	3	4	4	4	4	4	2	3	3	2	4	1	5	1	4	4	3	4	3	3	4	1	4	1	2	4	2	2	3	3	3	4	4	4	2	3	2
3	60	1	2	1	1	US	1	4	5	3	5	3	3	5	1	4	4	3	4	1	5	4	2	2	4	2	1	5	1	5	1	4	1	5	5	5	2	4	5	4	1	1	5	1	5	5	5	1	5	1	5	1	5	5	5	5
3	22	1	2	1	1	IE	1	3	2	4	3	2	1	4	2	4	5	2	5	1	4	5	4	4	3	4	1	4	4	4	1	5	2	4	5	5	2	4	4	3	1	5	3	3	2	3	5	3	5	3	3	1	5	5	4	3
3	24	1	1	1	1	PL	1	5	1	5	2	5	1	5	1	5	2	5	2	3	2	2	2	3	1	3	1	2	1	1	1	2	5	3	1	3	4	1	4	1	2	2	5	3	4	4	4	1	3	4	3	1	5	4	2	4
6	16	2	2	2	1	BR	2	2	3	3	3	1	2	2	2	5	3	4	4	4	1	2	2	2	2	2	1	5	2	5	3	5	1	4	3	3	3	2	3	4	2	4	5	3	4	5	4	1	4	1	4	1	4	2	5	5
3	20	2	1	1	1	SK	2	4	2	3	3	2	2	4	4	4	4	3	4	2	3	3	4	4	3	3	3	3	3	2	4	3	3	3	4	3	3	3	3	3	2	4	2	4	2	4	4	1	4	1	4	1	4	3	4	4
1	47	1	2	1	2	US	3	2	3	3	3	3	2	2	2	3	2	3	3	3	2	2	2	2	2	2	1	4	1	4	2	4	2	3	4	4	2	2	3	2	3	2	3	2	3	3	3	2	4	2	5	1	4	2	3	4
3	15	1	2	1	1	US	2	1	2	2	3	2	2	5	2	4	5	4	4	2	5	2	4	4	5	3	2	3	5	3	2	3	2	3	3	3	4	5	4	4	1	4	2	4	4	3	3	2	3	3	2	3	5	4	4	3
13	17	1	2	1	1	US	1	3	3	5	3	5	1	5	1	5	4	5	5	1	2	3	5	4	4	4	4	2	1	2	4	4	3	2	2	3	3	5	4	1	1	1	3	3	1	2	1	1	3	5	1	5	3	1	5	1
13	13	1	2	3	1	US	5	1	5	5	5	1	5	1	5	1	1	1	1	1	1	1	1	1	1	1	5	5	1	5	1	5	1	5	5	5	5	5	5	1	5	1	5	1	5	5	5	1	5	1	5	1	5	5	1	5
3	16	2	2	1	1	HR	4	4	1	5	2	4	1	5	4	5	5	1	5	4	4	2	4	3	5	4	2	5	2	2	4	5	2	4	2	3	5	4	2	3	1	5	5	3	4	5	4	2	5	3	4	2	5	2	5	3
5	23	2	2	1	1	SA	1	4	2	2	4	4	4	5	1	5	3	5	2	3	2	2	5	4	2	3	2	3	1	2	3	3	2	3	2	4	4	1	2	4	3	3	1	3	1	4	2	4	3	3	4	2	3	3	5	3
3	30	1	2	1	1	US	5	2	5	1	5	1	5	1	5	2	3	4	3	4	1	1	3	2	2	1	1	5	1	5	1	5	1	5	5	5	4	4	3	4	3	5	2	1	3	2	3	2	4	1	5	1	4	3	4	5
3	17	1	2	1	1	US	3	1	4	1	5	1	3	1	5	2	4	2	5	2	2	2	4	2	5	2	2	5	5	4	1	5	2	5	4	4	1	5	4	4	1	5	3	4	4	4	3	2	5	1	5	1	4	2	5	5
6	20	1	2	1	2	US	2	3	3	4	3	3	2	4	2	4	4	3	4	3	2	3	3	3	4	3	1	4	2	4	1	4	2	4	5	4	4	2	3	3	3	3	3	2	4	3	3	2	4	2	3	2	3	2	4	3
3	25	1	1	1	1	US	2	2	2	4	4	2	1	2	4	5	4	3	5	2	1	4	2	4	4	4	2	4	2	4	2	2	2	2	4	2	4	2	4	4	1	2	4	2	4	3	5	1	5	1	4	1	4	5	5	4
3	27	2	1	1	1	BR	4	1	4	1	4	1	4	1	5	1	4	2	3	4	4	3	4	4	4	2	4	3	3	2	4	2	4	1	4	4	4	3	4	3	3	3	3	3	2	4	5	1	5	1	5	1	4	5	4	5
3	25	1	2	1	1	US	1	4	2	5	2	4	1	5	2	4	4	3	4	1	3	2	3	2	2	4	2	4	1	4	3	2	2	4	3	3	5	1	5	1	5	1	5	1	5	5	5	2	4	2	4	2	4	4	5	3
3	21	1	2	1	2	US	3	2	3	2	4	3	2	4	2	4	4	2	4	4	2	3	2	2	3	2	1	5	1	5	1	5	1	5	5	3	4	4	4	2	4	2	4	1	4	3	3	3	4	4	2	3	4	2	3	2
