pos,player,team,wkts,mat,inns,ov,runs,bbi,avg,econ,sr,4w,5w
36,Kuldeep Yadav,DC,10,12,11,37.0,381,29/3,38.10,10.29,22.20,0,0
37,Suyash Sharma,RCB,9,12,12,40.5,378,47/2,41.77,9.20,27.22,0,0
38,Yash Raj Punya,RR,9,8,8,30.0,279,35/2,31.00,9.30,20.00,0,0
39,Anukul Roy,KKR,9,14,12,27.1,261,31/2,29.00,9.60,18.11,0,0
40,Shivang Kumar,SRH,9,13,13,39.0,375,33/3,41.66,9.61,26.00,0,0
41,Marco Jansen,PBKS,9,13,12,47.2,483,33/2,53.66,10.20,31.55,0,0
42,Vyshak Vijaykumar,PBKS,9,10,9,31.0,330,34/3,36.66,10.64,20.66,0,0
43,Jacob Duffy,RCB,9,6,6,24.0,263,22/3,29.22,10.95,16.00,0,0
44,Akeal Hosein,CSK,8,7,7,24.4,198,17/4,24.75,8.02,18.50,1,0
45,Mukesh Choudhary,CSK,8,8,8,26.0,249,21/2,31.12,8.89,21.00,0,0
46,Pat Cummins,SRH,8,8,8,32.0,307,26/3,38.37,9.59,24.00,0,0
47,Harsh Dubey,SRH,8,8,8,22.0,228,12/3,28.50,10.36,16.50,0,0
48,Deepak Chahar,MI,8,8,8,25.3,285,33/2,35.62,10.39,19.12,0,0
49,Nitish Kumar Reddy,SRH,8,14,14,31.0,323,17/2,40.37,10.41,23.25,0,0
50,Cameron Green,KKR,7,14,10,22.0,234,23/2,33.42,10.63,18.85,0,0
51,Romario Shepherd,RCB,7,15,13,25.0,298,54/3,42.57,11.92,21.42,0,0
52,M Siddharth,LSG,6,4,4,15.0,145,35/2,24.16,9.66,15.00,0,0
53,Mohd Arshad Khan,GT,6,8,8,17.2,172,22/3,28.66,9.92,17.33,0,0
54,Ashwani Kumar,MI,6,3,3,10.0,102,24/4,17.00,10.20,10.00,1,0
55,Ashok Sharma,GT,6,6,6,21.0,228,32/2,38.00,10.85,21.00,0,0
56,Avesh Khan,LSG,6,7,7,24.4,273,23/2,45.50,11.06,24.66,0,0
57,Mukesh Kumar,DC,6,10,10,31.2,363,26/2,56.83,11.26,31.33,0,0
58,Saurabh Dubey,KKR,5,4,4,12.5,106,28/2,21.20,8.25,15.40,0,0
59,Mitchell Santner,MI,5,4,4,14.0,125,16/2,25.00,8.92,16.80,0,0
60,Digvesh Singh,LSG,5,10,10,39.0,397,45/2,79.40,10.17,46.80,0,0
61,T Natarajan,DC,5,10,10,31.5,358,20/3,71.20,11.18,38.20,0,0
62,Sandeep Sharma,RR,5,8,6,19.4,224,28/2,44.80,11.38,23.60,0,0
63,Xavier Bartlett,PBKS,5,9,9,33.3,388,9/2,77.60,11.56,40.20,0,0
64,Shahbaz Ahamad,LSG,5,5,5,11.1,130,10/2,26.00,11.64,13.40,0,0
65,Jasprit Bumrah,MI,4,13,13,49.0,410,15/1,102.50,8.36,73.50,0,0
66,Madhav Tiwari,DC,4,3,3,10.0,87,27/2,21.75,8.70,15.00,0,0
67,Shashank Singh,PBKS,4,12,4,10.0,88,20/2,22.00,8.80,15.00,0,0
68,Gurjasneet Singh,CSK,4,8,6,25.1,233,7/1,58.25,9.25,37.75,0,0
69,Blessing Muzarabani,KKR,4,2,2,7.0,75,44/4,18.75,10.71,10.50,1,0
70,Jaydev Unadkat,SRH,4,4,4,12.5,140,21/3,35.00,10.90,19.25,0,0
71,Hardik Pandya,MI,4,10,9,22.4,269,18/1,64.79,11.42,34.00,0,0
72,Akash Singh,LSG,4,2,2,7.0,80,26/3,20.00,11.42,10.50,0,0
73,Tushar Deshpande,RR,4,7,7,23.0,275,24/1,68.75,11.95,34.50,0,0
74,Azmatullah Omarzai,PBKS,3,3,3,11.0,103,36/2,34.33,9.36,22.00,0,0
75,Abhinandan Singh,RCB,3,3,3,9.4,122,30/2,40.66,12.62,19.33,0,0
76,Harpreet Brar,PBKS,2,2,2,8.0,60,35/2,30.00,7.50,24.00,0,0
77,Khaleel Ahmed,CSK,2,5,5,16.5,146,24/1,73.00,8.67,50.50,0,0
78,Riyan Parag,RR,2,14,4,4.0,38,5/1,19.00,9.50,12.00,0,0
79,Spencer Johnson,CSK,2,3,3,11.0,112,39/1,56.00,10.18,33.00,0,0
80,Sushant Mishra,RR,2,2,2,6.2,67,21/2,33.50,10.57,19.00,0,0
81,Will Jacks,MI,2,7,6,8.5,94,12/1,47.00,10.84,26.50,0,0
82,Manav Suthar,GT,2,4,3,6.0,68,19/1,34.00,11.33,18.00,0,0
83,Trent Boult,MI,2,5,5,16.1,188,41/1,94.00,11.62,48.50,0,0
84,Raj Angad Bawa,MI,2,3,2,4.0,50,11/1,25.00,12.50,12.00,0,0
85,Marcus Stoinis,PBKS,2,13,4,7.5,98,26/1,49.00,12.91,23.50,0,0
86,Vipraj Nigam,DC,2,5,5,9.0,113,24/1,56.50,12.55,27.00,0,0
87,Kyle Jamieson,DC,2,2,2,7.0,90,42/1,45.00,12.85,21.00,0,0
88,Matt Henry,CSK,2,3,3,10.0,130,54/2,65.00,13.00,30.00,0,0
89,Yash Thakur,PBKS,2,1,1,4.0,55,55/2,27.50,13.75,12.00,0,0
90,David Payne,SRH,2,2,2,5.0,70,35/2,35.00,14.00,15.00,0,0
91,Travis Head,SRH,1,15,1,1.0,7,7/1,7.00,7.00,6.00,0,0
92,Ramakrishna Ghosh,CSK,1,1,1,3.0,24,24/1,24.00,8.00,18.00,0,0
93,Raghu Sharma,MI,1,5,5,15.0,130,36/1,130.00,8.66,90.00,0,0
94,George Linde,LSG,1,3,3,6.1,55,18/1,55.00,8.91,37.00,0,0
95,Dilshan Madushanka,SRH,1,1,1,4.0,38,36/1,38.00,9.00,24.00,0,0
96,Arjun Tendulkar,LSG,1,1,1,4.0,38,36/1,38.00,9.00,24.00,0,0
97,Washington Sundar,GT,1,17,5,9.1,84,27/1,84.00,9.18,55.00,0,0
98,Dasun Shanaka,RR,1,7,3,6.0,60,29/1,60.00,10.00,36.00,0,0
99,Sai Kishore,GT,1,3,2,4.0,46,38/1,46.00,11.50,24.00,0,0
100,Ramandeep Singh,KKR,1,8,2,2.4,31,5/1,31.00,11.62,16.00,0,0
101,Ben Dwarshuis,PBKS,1,1,1,4.0,51,51/1,51.00,12.75,24.00,0,0
102,Shivam Dube,CSK,1,13,4,5.0,64,30/1,64.00,12.80,30.00,0,0
103,Lockie Ferguson,RR,1,3,3,11.0,141,41/1,141.00,12.81,66.00,0,0
104,Donovan Ferreira,RR,1,15,3,3.0,41,14/1,41.00,13.66,18.00,0,0
