# T, V, AP, RH, EP
30.20000000,69.59000000,1008.90000000,67.32000000,434.66000000
10.80000000,40.69000000,1014.30000000,87.44000000,478.19000000
8.07000000,41.17000000,1019.40000000,86.43000000,484.54000000
27.78000000,73.56000000,1007.05000000,95.32000000,436.50000000
21.23000000,68.08000000,1012.82000000,74.57000000,445.41000000
23.37000000,63.87000000,1016.67000000,60.44000000,446.42000000
21.45000000,60.84000000,1017.86000000,82.80000000,444.99000000
6.17000000,40.07000000,1013.70000000,58.99000000,495.21000000
7.87000000,41.17000000,1020.33000000,77.77000000,486.20000000
22.95000000,66.54000000,1004.53000000,88.06000000,434.41000000
27.28000000,47.93000000,1003.46000000,59.22000000,438.00000000
18.91000000,45.01000000,1012.90000000,59.81000000,456.12000000
26.75000000,58.33000000,1013.55000000,45.47000000,444.09000000
27.75000000,65.34000000,1014.80000000,45.91000000,440.83000000
6.89000000,43.65000000,1019.87000000,72.77000000,484.00000000
30.24000000,73.90000000,1006.74000000,56.39000000,441.31000000
32.05000000,77.24000000,1008.06000000,67.09000000,432.49000000
15.24000000,44.45000000,1020.56000000,66.13000000,460.94000000
13.13000000,40.75000000,1016.05000000,80.87000000,472.50000000
9.06000000,41.92000000,1029.90000000,90.88000000,473.37000000
29.68000000,64.33000000,1011.20000000,57.73000000,441.79000000
9.63000000,41.14000000,1027.99000000,87.89000000,469.73000000
8.86000000,40.23000000,1017.57000000,90.47000000,478.05000000
23.45000000,69.05000000,1003.03000000,66.41000000,440.24000000
9.51000000,40.46000000,1018.84000000,70.12000000,471.32000000
10.52000000,41.78000000,1013.54000000,71.52000000,474.58000000
4.93000000,38.44000000,1015.65000000,71.47000000,485.01000000
23.01000000,66.54000000,1009.86000000,64.53000000,442.47000000
10.59000000,41.54000000,1019.94000000,73.88000000,477.05000000
5.52000000,42.85000000,1012.77000000,93.82000000,478.98000000
30.67000000,72.86000000,1004.25000000,52.72000000,432.76000000
11.10000000,40.00000000,1021.29000000,86.58000000,477.20000000
5.37000000,40.07000000,1012.75000000,63.58000000,494.21000000
22.57000000,62.40000000,1009.77000000,86.05000000,444.69000000
18.90000000,56.03000000,1020.77000000,71.83000000,457.66000000
11.70000000,43.41000000,1016.08000000,62.27000000,467.51000000
27.49000000,71.94000000,1008.25000000,68.29000000,428.27000000
10.20000000,40.67000000,1016.15000000,73.20000000,482.26000000
26.23000000,59.87000000,1012.93000000,66.62000000,447.16000000
16.34000000,42.28000000,1008.08000000,52.80000000,463.29000000
8.97000000,44.03000000,1013.16000000,80.39000000,474.61000000
31.97000000,79.74000000,1007.03000000,55.84000000,435.99000000
30.29000000,74.16000000,1008.77000000,75.23000000,431.39000000
14.92000000,46.18000000,1014.21000000,98.82000000,465.63000000
30.30000000,73.90000000,1006.72000000,55.13000000,440.79000000
29.62000000,73.18000000,1012.21000000,61.60000000,427.22000000
15.63000000,37.87000000,1020.40000000,74.77000000,465.28000000
18.21000000,45.00000000,1022.86000000,48.84000000,467.54000000
31.92000000,75.33000000,1001.81000000,61.97000000,436.38000000
14.85000000,45.87000000,1009.37000000,84.65000000,462.67000000
25.34000000,70.47000000,1006.46000000,83.94000000,433.34000000
22.50000000,70.94000000,1008.04000000,82.39000000,442.40000000
13.27000000,42.28000000,1008.30000000,86.20000000,468.86000000
7.99000000,41.38000000,1021.95000000,78.77000000,487.57000000
18.36000000,62.10000000,1019.90000000,79.09000000,453.50000000
30.55000000,66.25000000,1009.15000000,63.52000000,440.74000000
16.73000000,45.00000000,1023.44000000,60.68000000,467.08000000
14.22000000,45.01000000,1014.17000000,70.14000000,464.06000000
18.06000000,52.08000000,1003.73000000,100.09000000,452.19000000
11.06000000,41.16000000,1018.52000000,89.14000000,467.46000000
16.77000000,42.28000000,1007.53000000,73.19000000,465.52000000
18.99000000,62.10000000,1020.00000000,76.76000000,453.09000000
16.55000000,46.18000000,1009.97000000,96.54000000,455.80000000
22.21000000,45.01000000,1012.22000000,54.84000000,450.60000000
28.88000000,66.56000000,1006.26000000,59.15000000,426.66000000
23.02000000,69.94000000,1007.94000000,64.66000000,439.40000000
21.67000000,69.71000000,1010.46000000,96.83000000,440.16000000
9.96000000,39.66000000,1015.23000000,82.98000000,480.60000000
7.69000000,39.96000000,1023.90000000,89.18000000,478.05000000
18.32000000,66.51000000,1015.18000000,81.50000000,459.89000000
7.04000000,39.37000000,1019.37000000,69.11000000,488.00000000
17.45000000,49.64000000,1026.40000000,66.67000000,454.67000000
23.64000000,69.94000000,1005.20000000,64.53000000,439.66000000
12.72000000,40.60000000,1013.45000000,86.16000000,471.23000000
16.50000000,39.72000000,1003.05000000,65.99000000,459.06000000
26.81000000,74.90000000,1003.99000000,79.88000000,435.56000000
23.20000000,49.30000000,1003.40000000,79.77000000,440.75000000
19.18000000,58.20000000,1017.46000000,76.72000000,453.20000000
16.40000000,38.01000000,1022.20000000,73.05000000,463.79000000
9.53000000,38.38000000,1020.49000000,80.08000000,478.03000000
29.35000000,68.51000000,1007.63000000,70.67000000,430.22000000
27.89000000,69.88000000,1007.99000000,85.62000000,430.75000000
23.66000000,61.86000000,1013.33000000,83.09000000,444.27000000
27.59000000,54.20000000,1013.10000000,51.61000000,439.31000000
30.72000000,71.58000000,1009.98000000,50.39000000,430.46000000
13.18000000,52.72000000,1024.67000000,75.96000000,468.36000000
10.11000000,39.35000000,1015.19000000,90.74000000,479.83000000
21.83000000,41.10000000,1001.91000000,41.79000000,453.38000000
33.40000000,69.98000000,1013.29000000,47.78000000,432.44000000
15.11000000,45.01000000,1017.01000000,84.39000000,462.21000000
10.91000000,42.34000000,1021.83000000,94.99000000,470.91000000
5.79000000,45.87000000,1010.23000000,95.41000000,480.97000000
12.30000000,40.69000000,1015.74000000,82.58000000,474.46000000
10.90000000,40.67000000,1016.66000000,65.09000000,482.40000000
20.27000000,56.65000000,1020.75000000,67.12000000,454.29000000
27.19000000,64.27000000,1013.06000000,58.13000000,444.54000000
9.35000000,44.03000000,1011.02000000,88.11000000,476.25000000
30.61000000,69.13000000,1009.32000000,55.17000000,429.10000000
19.89000000,69.48000000,1011.06000000,86.73000000,447.63000000
14.67000000,71.14000000,1019.84000000,77.72000000,458.80000000
29.03000000,43.21000000,1011.83000000,65.23000000,434.11000000
30.35000000,71.32000000,1009.17000000,64.61000000,434.62000000
12.33000000,39.85000000,1012.53000000,66.04000000,479.32000000
7.85000000,37.80000000,1020.90000000,59.19000000,478.68000000
20.46000000,66.05000000,1014.93000000,78.51000000,454.06000000
10.77000000,44.78000000,1012.87000000,84.16000000,470.66000000
24.88000000,73.17000000,1012.26000000,84.96000000,434.85000000
19.79000000,60.10000000,1010.47000000,84.04000000,452.41000000
21.24000000,60.84000000,1017.99000000,82.22000000,445.71000000
10.75000000,45.00000000,1023.68000000,89.37000000,481.96000000
26.10000000,62.91000000,1012.44000000,60.91000000,446.05000000
20.56000000,64.45000000,1012.24000000,53.09000000,458.97000000
29.39000000,68.24000000,1009.06000000,66.76000000,427.96000000
28.62000000,68.24000000,1010.15000000,69.31000000,428.08000000
24.44000000,59.14000000,1016.74000000,71.82000000,443.50000000
23.81000000,57.50000000,1015.53000000,70.66000000,448.72000000
6.65000000,38.50000000,1014.01000000,87.60000000,491.54000000
28.50000000,74.87000000,1009.67000000,53.78000000,444.88000000
15.48000000,47.83000000,1004.88000000,81.68000000,463.67000000
19.15000000,39.72000000,1001.49000000,58.62000000,457.45000000
14.81000000,43.69000000,1017.19000000,71.90000000,470.71000000
20.97000000,61.87000000,1011.45000000,65.41000000,446.76000000
15.01000000,43.56000000,1014.65000000,61.82000000,465.84000000
28.85000000,58.33000000,1013.78000000,41.39000000,444.00000000
23.84000000,49.21000000,1013.10000000,44.72000000,445.44000000
10.32000000,39.28000000,1016.56000000,94.13000000,478.88000000
27.20000000,78.05000000,1010.15000000,90.20000000,430.55000000
23.07000000,70.47000000,1008.64000000,83.37000000,439.04000000
23.51000000,48.98000000,1014.63000000,41.56000000,454.06000000
14.69000000,49.64000000,1023.43000000,78.17000000,434.12000000
26.59000000,69.13000000,1009.27000000,73.96000000,430.11000000
28.31000000,66.17000000,1009.75000000,72.66000000,444.51000000
12.89000000,36.71000000,1013.36000000,87.29000000,475.13000000
15.82000000,44.20000000,1018.96000000,66.73000000,460.20000000
23.07000000,50.05000000,1006.90000000,86.98000000,442.97000000
29.05000000,68.24000000,1007.88000000,42.67000000,433.92000000
6.14000000,38.50000000,1012.40000000,75.35000000,489.26000000
12.14000000,40.83000000,1010.56000000,78.31000000,474.82000000
10.10000000,41.79000000,1019.36000000,78.07000000,474.09000000
14.55000000,42.74000000,1028.41000000,70.09000000,465.81000000
12.24000000,41.62000000,1013.38000000,90.26000000,461.23000000
28.29000000,69.13000000,1009.29000000,58.18000000,429.28000000
27.13000000,59.54000000,1004.33000000,73.27000000,438.32000000
26.90000000,66.48000000,1004.47000000,54.71000000,432.95000000
16.19000000,36.99000000,1007.37000000,92.40000000,462.94000000
12.89000000,48.14000000,1017.48000000,83.95000000,463.77000000
30.94000000,64.44000000,1014.36000000,53.76000000,439.84000000
18.34000000,65.94000000,1013.27000000,85.42000000,451.29000000
6.67000000,39.33000000,1011.07000000,91.96000000,490.03000000
24.19000000,58.95000000,1017.78000000,58.78000000,441.91000000
23.80000000,48.60000000,1002.43000000,67.32000000,440.89000000
25.56000000,69.13000000,1002.46000000,68.26000000,434.48000000
29.45000000,75.60000000,1018.12000000,50.68000000,437.31000000
14.82000000,42.74000000,1028.04000000,69.81000000,466.34000000
13.85000000,44.90000000,1019.11000000,76.79000000,467.20000000
16.13000000,43.48000000,1014.41000000,50.05000000,459.47000000
31.20000000,73.17000000,1010.28000000,53.23000000,431.23000000
9.32000000,36.66000000,1027.46000000,70.76000000,479.13000000
14.50000000,41.76000000,1023.94000000,84.42000000,464.23000000
15.31000000,40.66000000,1016.46000000,84.64000000,458.26000000
10.53000000,40.64000000,1020.62000000,98.43000000,477.99000000
24.75000000,58.79000000,1009.87000000,71.97000000,444.79000000
16.81000000,42.86000000,1013.83000000,77.11000000,464.36000000
22.36000000,58.79000000,1016.69000000,73.60000000,445.76000000
20.55000000,68.63000000,1012.50000000,67.07000000,453.47000000
23.47000000,65.61000000,1014.57000000,69.83000000,447.16000000
29.10000000,73.40000000,1011.35000000,57.31000000,436.85000000
14.22000000,44.99000000,1012.00000000,75.28000000,460.53000000
9.91000000,39.64000000,1010.57000000,75.82000000,478.63000000
10.12000000,43.72000000,1011.33000000,97.62000000,473.05000000
10.66000000,41.93000000,1016.12000000,94.16000000,479.61000000
31.26000000,68.94000000,1005.94000000,39.49000000,438.03000000
16.49000000,41.93000000,1022.92000000,44.98000000,467.48000000
19.68000000,68.28000000,1002.62000000,71.57000000,452.47000000
27.81000000,64.69000000,1006.59000000,71.75000000,437.02000000
18.90000000,62.96000000,1020.69000000,80.57000000,455.88000000
27.53000000,67.83000000,1009.40000000,53.73000000,429.05000000
20.74000000,49.69000000,1010.91000000,69.10000000,454.59000000
25.24000000,71.14000000,1008.73000000,79.39000000,435.09000000
24.09000000,73.68000000,1014.93000000,94.55000000,441.34000000
12.53000000,43.56000000,1014.80000000,74.05000000,469.23000000
28.35000000,71.14000000,1010.65000000,60.38000000,429.21000000
17.30000000,43.72000000,1009.64000000,77.86000000,456.55000000
32.21000000,68.30000000,1014.94000000,49.38000000,429.66000000
7.46000000,39.81000000,1018.62000000,86.73000000,484.13000000
14.10000000,44.92000000,1023.95000000,89.50000000,467.22000000
28.17000000,63.13000000,1012.44000000,66.61000000,439.94000000
24.77000000,48.92000000,1010.25000000,47.04000000,448.25000000
17.93000000,44.63000000,1003.54000000,87.41000000,458.96000000
6.26000000,41.31000000,1002.04000000,87.54000000,485.57000000
29.64000000,69.51000000,1012.13000000,44.65000000,428.69000000
23.36000000,73.18000000,1011.96000000,89.15000000,435.85000000
24.82000000,66.54000000,1010.00000000,60.36000000,440.88000000
12.15000000,43.71000000,1025.78000000,93.69000000,472.59000000
11.75000000,40.55000000,1018.09000000,97.70000000,472.43000000
15.80000000,41.20000000,1016.08000000,77.83000000,468.55000000
12.41000000,40.96000000,1023.36000000,78.96000000,473.59000000
32.40000000,68.14000000,1004.44000000,34.53000000,425.91000000
18.91000000,43.14000000,1013.56000000,58.34000000,460.19000000
31.01000000,69.04000000,1009.14000000,52.81000000,442.07000000
13.85000000,45.08000000,1024.86000000,83.85000000,468.35000000
11.09000000,40.43000000,1025.47000000,74.97000000,490.96000000
24.63000000,59.57000000,1010.45000000,85.36000000,440.67000000
25.82000000,69.68000000,1012.69000000,89.94000000,439.58000000
27.83000000,59.57000000,1011.22000000,71.05000000,443.85000000
19.80000000,58.79000000,1017.04000000,87.71000000,449.66000000
14.29000000,46.18000000,1017.01000000,87.29000000,464.73000000
5.12000000,40.78000000,1025.45000000,96.88000000,481.28000000
25.57000000,44.05000000,1005.79000000,65.14000000,443.84000000
25.09000000,65.38000000,1009.99000000,54.28000000,453.58000000
18.38000000,62.10000000,1020.12000000,77.27000000,452.91000000
21.71000000,60.27000000,1015.74000000,89.76000000,441.19000000
8.23000000,40.77000000,1011.92000000,90.59000000,479.24000000
15.06000000,39.30000000,1019.63000000,63.32000000,464.15000000
23.14000000,58.95000000,1017.52000000,66.25000000,442.27000000
13.57000000,39.39000000,1014.01000000,82.12000000,471.44000000
14.01000000,42.99000000,1007.12000000,69.69000000,469.23000000
24.17000000,48.41000000,1008.46000000,76.19000000,442.62000000
5.56000000,45.87000000,1006.99000000,96.48000000,476.61000000
18.26000000,69.94000000,1004.10000000,97.39000000,443.59000000
28.18000000,71.85000000,1008.78000000,82.88000000,427.83000000
19.09000000,65.94000000,1012.53000000,81.06000000,446.34000000
27.60000000,69.05000000,1003.87000000,42.01000000,436.08000000
9.30000000,43.14000000,1010.99000000,88.12000000,477.02000000
15.56000000,41.04000000,1025.80000000,64.81000000,457.11000000
5.89000000,35.77000000,1019.78000000,79.58000000,479.86000000
24.81000000,63.94000000,1018.76000000,44.51000000,444.26000000
16.71000000,40.55000000,1004.45000000,81.64000000,464.13000000
9.26000000,40.11000000,1024.38000000,74.82000000,460.72000000
19.87000000,48.14000000,1016.94000000,81.56000000,451.14000000
34.33000000,69.05000000,1000.89000000,37.90000000,430.56000000
21.20000000,59.39000000,1014.04000000,85.06000000,444.57000000
8.55000000,35.77000000,1016.15000000,73.32000000,481.44000000
17.16000000,58.86000000,1016.40000000,86.39000000,453.76000000
26.68000000,49.02000000,1008.40000000,68.01000000,441.54000000
12.28000000,43.67000000,1012.69000000,70.23000000,475.08000000
21.06000000,67.07000000,1004.90000000,84.09000000,446.44000000
11.02000000,40.81000000,1016.31000000,78.13000000,474.01000000
23.45000000,51.95000000,1005.23000000,76.17000000,449.07000000
24.19000000,47.45000000,1008.26000000,64.25000000,446.30000000
13.40000000,40.89000000,1010.67000000,91.66000000,472.36000000
28.83000000,66.44000000,1008.47000000,77.49000000,430.01000000
29.78000000,74.78000000,1009.28000000,55.09000000,436.39000000
10.38000000,40.71000000,1025.27000000,80.87000000,481.30000000
4.78000000,42.85000000,1013.39000000,93.36000000,481.47000000
13.02000000,40.10000000,1014.43000000,87.32000000,474.97000000
20.01000000,43.77000000,1012.13000000,65.53000000,455.66000000
29.09000000,70.02000000,1010.13000000,48.06000000,443.27000000
29.92000000,69.75000000,1009.12000000,67.15000000,441.50000000
23.24000000,68.31000000,1009.71000000,80.80000000,440.78000000
13.94000000,41.58000000,1020.76000000,68.22000000,463.07000000
21.46000000,74.87000000,1009.23000000,86.58000000,445.50000000
12.72000000,40.64000000,1021.11000000,93.24000000,475.73000000
29.83000000,68.67000000,1005.33000000,71.15000000,434.28000000
9.36000000,44.03000000,1010.30000000,87.20000000,474.68000000
13.79000000,45.08000000,1023.30000000,83.59000000,465.69000000
6.57000000,43.65000000,1018.24000000,74.47000000,481.46000000
17.48000000,40.89000000,1011.39000000,62.45000000,462.59000000
31.91000000,69.89000000,1014.59000000,54.51000000,429.29000000
17.01000000,50.90000000,1013.23000000,82.03000000,460.14000000
26.76000000,49.02000000,1007.96000000,70.05000000,439.40000000
13.22000000,40.83000000,1007.82000000,92.72000000,472.72000000
6.08000000,35.79000000,1011.08000000,90.59000000,483.08000000
29.34000000,74.34000000,998.58000000,81.55000000,430.57000000
17.74000000,49.78000000,1004.90000000,100.09000000,450.44000000
15.29000000,25.88000000,1009.21000000,66.00000000,464.25000000
19.92000000,46.97000000,1014.32000000,69.17000000,459.39000000
8.69000000,41.04000000,1026.87000000,80.28000000,477.20000000
33.82000000,73.03000000,1013.49000000,42.17000000,439.30000000
7.64000000,42.28000000,1008.49000000,83.42000000,483.74000000
6.03000000,40.78000000,1025.53000000,98.68000000,480.36000000
17.16000000,40.55000000,1000.26000000,72.21000000,461.58000000
19.48000000,39.72000000,1001.75000000,55.41000000,457.16000000
13.96000000,40.92000000,1022.65000000,73.08000000,460.95000000
28.88000000,63.76000000,1010.16000000,56.34000000,435.54000000
16.64000000,43.14000000,1019.03000000,82.88000000,459.00000000
29.49000000,70.98000000,1007.83000000,79.08000000,434.43000000
15.09000000,39.52000000,1017.05000000,72.43000000,469.80000000
13.75000000,40.89000000,1011.21000000,82.80000000,471.42000000
21.39000000,62.96000000,1019.49000000,72.24000000,452.68000000
29.27000000,69.89000000,1015.21000000,67.16000000,425.55000000
14.64000000,44.92000000,1025.54000000,91.12000000,462.64000000
27.82000000,52.84000000,1006.23000000,52.18000000,440.31000000
34.14000000,74.34000000,1000.19000000,43.56000000,434.23000000
22.83000000,41.10000000,1002.00000000,38.62000000,449.99000000
7.87000000,41.17000000,1020.33000000,77.77000000,486.20000000
15.41000000,42.44000000,1012.60000000,86.74000000,472.28000000
10.03000000,43.13000000,1014.85000000,70.09000000,482.16000000
24.43000000,58.20000000,1017.18000000,46.84000000,444.89000000
26.09000000,58.41000000,1013.64000000,64.58000000,438.86000000
24.32000000,65.48000000,1017.55000000,59.02000000,443.31000000
21.57000000,69.23000000,1011.94000000,81.73000000,437.55000000
12.24000000,40.96000000,1023.52000000,81.09000000,474.76000000
13.86000000,41.58000000,1020.69000000,70.74000000,461.56000000
17.70000000,49.21000000,1015.16000000,67.91000000,455.97000000
31.77000000,76.09000000,1007.40000000,73.36000000,431.69000000
20.33000000,57.76000000,1016.47000000,75.35000000,450.25000000
12.05000000,40.55000000,1016.63000000,100.14000000,472.19000000
13.97000000,45.01000000,1017.44000000,89.15000000,461.96000000
6.49000000,35.57000000,1025.40000000,79.67000000,486.80000000
9.99000000,43.52000000,1022.95000000,99.67000000,473.64000000
29.41000000,64.05000000,1009.82000000,67.40000000,444.82000000
12.16000000,40.81000000,1025.79000000,70.97000000,476.63000000
17.28000000,39.99000000,1007.09000000,74.25000000,463.28000000
13.16000000,40.71000000,1021.99000000,77.91000000,475.87000000
31.07000000,70.32000000,1011.74000000,65.91000000,436.16000000
29.30000000,74.16000000,1007.72000000,81.92000000,431.32000000
21.34000000,51.61000000,1010.11000000,80.70000000,452.00000000
13.51000000,40.89000000,1011.03000000,84.83000000,471.99000000
12.17000000,49.83000000,1008.05000000,96.44000000,469.52000000
7.98000000,40.77000000,1008.69000000,98.65000000,480.72000000
11.05000000,40.71000000,1024.91000000,76.42000000,479.59000000
15.50000000,44.34000000,1019.21000000,65.21000000,468.53000000
25.77000000,59.39000000,1014.76000000,69.99000000,438.64000000
22.83000000,58.62000000,1017.82000000,69.76000000,450.96000000
24.66000000,57.43000000,1013.17000000,71.82000000,445.41000000
26.78000000,52.30000000,1008.52000000,61.23000000,441.21000000
25.71000000,66.05000000,1018.58000000,66.23000000,444.35000000
22.21000000,61.87000000,1010.90000000,54.22000000,446.62000000
23.18000000,51.43000000,1011.56000000,81.83000000,449.94000000
7.26000000,41.22000000,1014.86000000,97.82000000,488.75000000
30.24000000,68.30000000,1016.21000000,48.25000000,431.82000000
20.70000000,58.16000000,1016.73000000,68.19000000,453.22000000
25.95000000,59.92000000,1010.05000000,76.05000000,443.93000000
23.09000000,63.91000000,1012.23000000,83.25000000,447.90000000
11.77000000,40.92000000,1021.85000000,81.55000000,467.31000000
5.99000000,35.79000000,1011.56000000,91.69000000,484.82000000
20.35000000,67.45000000,1015.14000000,69.22000000,447.64000000
16.02000000,71.14000000,1019.75000000,70.42000000,456.35000000
7.55000000,42.85000000,1011.21000000,93.25000000,484.93000000
27.28000000,44.89000000,1009.02000000,49.90000000,441.94000000
13.57000000,41.40000000,1021.27000000,72.55000000,464.23000000
10.08000000,43.14000000,1010.67000000,85.90000000,478.73000000
30.28000000,58.90000000,1005.03000000,54.59000000,439.06000000
18.37000000,58.96000000,1015.50000000,67.79000000,460.25000000
32.96000000,69.75000000,1008.86000000,40.23000000,435.56000000
15.75000000,47.45000000,1009.86000000,86.68000000,451.50000000
31.13000000,64.05000000,1011.51000000,61.27000000,439.24000000
12.38000000,43.52000000,1022.98000000,100.00000000,467.55000000
8.99000000,36.30000000,1027.08000000,73.98000000,478.95000000
9.59000000,38.56000000,1017.01000000,60.10000000,481.30000000
28.97000000,64.44000000,1014.55000000,54.67000000,438.08000000
23.64000000,70.04000000,1011.09000000,83.35000000,435.21000000
27.38000000,77.24000000,1008.25000000,82.49000000,435.81000000
16.41000000,44.92000000,1024.27000000,84.16000000,462.12000000
24.01000000,67.17000000,1007.44000000,86.87000000,443.09000000
30.28000000,67.22000000,1014.39000000,53.32000000,447.67000000
15.30000000,43.67000000,1011.75000000,95.31000000,468.14000000
24.37000000,73.42000000,1010.19000000,76.01000000,440.29000000
19.65000000,51.30000000,1014.81000000,90.23000000,452.50000000
28.68000000,73.77000000,1004.72000000,87.01000000,431.66000000
12.18000000,40.10000000,1016.67000000,91.87000000,471.49000000
31.82000000,71.29000000,1008.44000000,41.70000000,431.23000000
27.74000000,70.32000000,1009.58000000,50.29000000,433.47000000
25.31000000,67.90000000,1006.34000000,68.04000000,440.36000000
16.05000000,43.14000000,1010.67000000,79.36000000,463.06000000
25.86000000,59.07000000,1008.59000000,81.28000000,440.90000000
13.86000000,35.71000000,1015.21000000,63.16000000,471.63000000
12.08000000,49.83000000,1008.21000000,96.01000000,467.54000000
12.17000000,40.60000000,1013.59000000,88.62000000,473.76000000
20.43000000,63.09000000,1016.46000000,91.78000000,445.58000000
28.62000000,69.71000000,1009.67000000,62.12000000,437.52000000
27.23000000,66.48000000,1005.23000000,52.38000000,432.55000000
30.91000000,76.20000000,1008.53000000,58.08000000,434.94000000
24.05000000,70.40000000,1006.83000000,92.35000000,442.07000000
28.91000000,58.33000000,1013.84000000,39.72000000,437.53000000
24.44000000,47.93000000,1003.13000000,67.04000000,440.53000000
7.30000000,43.65000000,1019.33000000,67.62000000,482.96000000
13.61000000,42.34000000,1017.57000000,91.35000000,465.65000000
29.17000000,72.99000000,1006.86000000,64.92000000,430.59000000
32.37000000,67.83000000,1008.32000000,57.39000000,426.76000000
20.72000000,63.94000000,1017.17000000,59.83000000,447.69000000
8.02000000,41.92000000,1029.80000000,92.05000000,467.21000000
23.94000000,51.95000000,1008.61000000,73.42000000,448.67000000
11.40000000,52.75000000,1023.31000000,75.70000000,465.79000000
20.62000000,48.41000000,1007.37000000,87.51000000,445.40000000
29.09000000,70.98000000,1007.86000000,80.35000000,439.34000000
22.77000000,69.84000000,1005.75000000,84.26000000,436.75000000
20.79000000,50.59000000,1017.75000000,73.35000000,456.01000000
23.85000000,52.30000000,1005.90000000,70.95000000,441.99000000
14.50000000,44.47000000,1028.20000000,66.95000000,465.15000000
26.16000000,67.90000000,1005.81000000,61.02000000,444.06000000
24.78000000,58.46000000,1016.82000000,67.50000000,442.42000000
27.67000000,59.14000000,1016.51000000,61.20000000,433.37000000
15.80000000,40.66000000,1016.15000000,88.24000000,458.55000000
23.97000000,63.86000000,1018.09000000,57.62000000,441.65000000
19.31000000,44.71000000,1016.13000000,30.59000000,463.00000000
21.09000000,74.93000000,1015.11000000,81.93000000,443.51000000
21.91000000,70.32000000,1009.17000000,90.57000000,439.29000000
29.42000000,71.32000000,1002.26000000,67.13000000,437.47000000
9.28000000,41.38000000,1021.96000000,72.22000000,486.18000000
28.99000000,54.20000000,1012.79000000,41.90000000,442.60000000
32.90000000,68.51000000,1012.95000000,50.09000000,430.23000000
10.11000000,44.85000000,1014.20000000,84.81000000,478.71000000
15.50000000,39.16000000,1016.24000000,78.13000000,469.52000000
28.41000000,75.60000000,1018.48000000,56.07000000,440.28000000
9.03000000,40.71000000,1025.98000000,81.94000000,484.97000000
13.49000000,44.47000000,1030.46000000,69.49000000,466.66000000
7.77000000,41.82000000,1032.72000000,72.80000000,479.40000000
23.79000000,58.49000000,1011.00000000,75.39000000,445.87000000
17.46000000,53.29000000,1018.07000000,91.01000000,458.06000000
21.79000000,60.93000000,1006.44000000,87.68000000,443.01000000
